      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0008097	5S rRNA binding
      1 GO:0008135	translation factor activity, RNA binding
      1 GO:0008170	N-methyltransferase activity
      1 GO:0008217	regulation of blood pressure
      1 GO:0008235	metalloexopeptidase activity
      1 GO:0008236	serine-type peptidase activity
      1 GO:0008238	exopeptidase activity
      1 GO:0008276	protein methyltransferase activity
      1 GO:0008324	cation transmembrane transporter activity
      1 GO:0008333	endosome to lysosome transport
      1 GO:0008340	determination of adult lifespan
      1 GO:0008360	regulation of cell shape
      1 GO:0008380	RNA splicing
      1 GO:0008477	purine nucleosidase activity
      1 GO:0008519	ammonium transmembrane transporter activity
      1 GO:0008593	regulation of Notch signaling pathway
      1 GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage
      1 GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress
      1 GO:0008637	apoptotic mitochondrial changes
      1 GO:0008643	carbohydrate transport
      1 GO:0008860	ferredoxin-NAD+ reductase activity
      1 GO:0008962	phosphatidylglycerophosphatase activity
      1 GO:0008970	phospholipase A1 activity
      1 GO:0009062	fatty acid catabolic process
      1 GO:0009069	serine family amino acid metabolic process
      1 GO:0009072	aromatic amino acid family metabolic process
      1 GO:0009074	aromatic amino acid family catabolic process
      1 GO:0009081	branched-chain amino acid metabolic process
      1 GO:0009082	branched-chain amino acid biosynthetic process
      1 GO:0009083	branched-chain amino acid catabolic process
      1 GO:0009097	isoleucine biosynthetic process
      1 GO:0009098	leucine biosynthetic process
      1 GO:0009099	valine biosynthetic process
      1 GO:0009102	biotin biosynthetic process
      1 GO:0009110	vitamin biosynthetic process
      1 GO:0009112	nucleobase metabolic process
      1 GO:0009116	nucleoside metabolic process
      1 GO:0009150	purine ribonucleotide metabolic process
      1 GO:0009152	purine ribonucleotide biosynthetic process
      1 GO:0009163	nucleoside biosynthetic process
      1 GO:0009187	cyclic nucleotide metabolic process
      1 GO:0009190	cyclic nucleotide biosynthetic process
      1 GO:0009218	pyrimidine ribonucleotide metabolic process
      1 GO:0009220	pyrimidine ribonucleotide biosynthetic process
      1 GO:0009266	response to temperature stimulus
      1 GO:0009267	cellular response to starvation
      1 GO:0009268	response to pH
      1 GO:0009314	response to radiation
      1 GO:0009405	pathogenesis
      1 GO:0009409	response to cold
      1 GO:0009506	plasmodesma
      1 GO:0009508	plastid chromosome
      1 GO:0009561	megagametogenesis
      1 GO:0009581	detection of external stimulus
      1 GO:0009582	detection of abiotic stimulus
      1 GO:0009590	detection of gravity
      1 GO:0009593	detection of chemical stimulus
      1 GO:0009606	tropism
      1 GO:0009629	response to gravity
      1 GO:0009630	gravitropism
      1 GO:0009635	response to herbicide
      1 GO:0009658	chloroplast organization
      1 GO:0009660	amyloplast organization
      1 GO:0009668	plastid membrane organization
      1 GO:0009705	plant-type vacuole membrane
      1 GO:0009737	response to abscisic acid
      1 GO:0009744	response to sucrose
      1 GO:0009755	hormone-mediated signaling pathway
      1 GO:0009838	abscission
      1 GO:0009853	photorespiration
      1 GO:0009856	pollination
      1 GO:0009860	pollen tube growth
      1 GO:0009895	negative regulation of catabolic process
      1 GO:0009908	flower development
      1 GO:0009909	regulation of flower development
      1 GO:0009932	cell tip growth
      1 GO:0009934	regulation of meristem structural organization
      1 GO:0009959	negative gravitropism
      1 GO:0009975	cyclase activity
      1 GO:0009988	cell-cell recognition
      1 GO:0010016	shoot system morphogenesis
      1 GO:0010027	thylakoid membrane organization
      1 GO:0010032	meiotic chromosome condensation
      1 GO:0010042	response to manganese ion
      1 GO:0010043	response to zinc ion
      1 GO:0010051	xylem and phloem pattern formation
      1 GO:0010103	stomatal complex morphogenesis
      1 GO:0010119	regulation of stomatal movement
      1 GO:0010181	FMN binding
      1 GO:0010212	response to ionizing radiation
      1 GO:0010227	floral organ abscission
      1 GO:0010259	multicellular organism aging
      1 GO:0010287	plastoglobule
      1 GO:0010305	leaf vascular tissue pattern formation
      1 GO:0010332	response to gamma radiation
      1 GO:0010374	stomatal complex development
      1 GO:0010376	stomatal complex formation
      1 GO:0010389	regulation of G2/M transition of mitotic cell cycle
      1 GO:0010440	stomatal lineage progression
      1 GO:0010444	guard mother cell differentiation
      1 GO:0010494	cytoplasmic stress granule
      1 GO:0010508	positive regulation of autophagy
      1 GO:0010608	posttranscriptional regulation of gene expression
      1 GO:0010639	negative regulation of organelle organization
      1 GO:0010660	regulation of muscle cell apoptotic process
      1 GO:0010661	positive regulation of muscle cell apoptotic process
      1 GO:0010668	ectodermal cell differentiation
      1 GO:0010717	regulation of epithelial to mesenchymal transition
      1 GO:0010718	positive regulation of epithelial to mesenchymal transition
      1 GO:0010721	negative regulation of cell development
      1 GO:0010769	regulation of cell morphogenesis involved in differentiation
      1 GO:0010771	negative regulation of cell morphogenesis involved in differentiation
      1 GO:0010927	cellular component assembly involved in morphogenesis
      1 GO:0010959	regulation of metal ion transport
      1 GO:0010970	transport along microtubule
      1 GO:0010976	positive regulation of neuron projection development
      1 GO:0010977	negative regulation of neuron projection development
      1 GO:0012501	programmed cell death
      1 GO:0012506	vesicle membrane
      1 GO:0014009	glial cell proliferation
      1 GO:0014010	Schwann cell proliferation
      1 GO:0014013	regulation of gliogenesis
      1 GO:0014065	phosphatidylinositol 3-kinase signaling
      1 GO:0014823	response to activity
      1 GO:0014834	skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration
      1 GO:0014887	cardiac muscle adaptation
      1 GO:0014888	striated muscle adaptation
      1 GO:0014896	muscle hypertrophy
      1 GO:0014897	striated muscle hypertrophy
      1 GO:0014898	cardiac muscle hypertrophy in response to stress
      1 GO:0015036	disulfide oxidoreductase activity
      1 GO:0015039	NADPH-adrenodoxin reductase activity
      1 GO:0015101	organic cation transmembrane transporter activity
      1 GO:0015144	carbohydrate transmembrane transporter activity
      1 GO:0015174	basic amino acid transmembrane transporter activity
      1 GO:0015181	arginine transmembrane transporter activity
      1 GO:0015184	L-cystine transmembrane transporter activity
      1 GO:0015189	L-lysine transmembrane transporter activity
      1 GO:0015227	acyl carnitine transmembrane transporter activity
      1 GO:0015485	cholesterol binding
      1 GO:0015629	actin cytoskeleton
      1 GO:0015651	quaternary ammonium group transmembrane transporter activity
      1 GO:0015665	alcohol transmembrane transporter activity
      1 GO:0015695	organic cation transport
      1 GO:0015696	ammonium transport
      1 GO:0015697	quaternary ammonium group transport
      1 GO:0015718	monocarboxylic acid transport
      1 GO:0015802	basic amino acid transport
      1 GO:0015804	neutral amino acid transport
      1 GO:0015809	arginine transport
      1 GO:0015811	L-cystine transport
      1 GO:0015822	ornithine transport
      1 GO:0015850	organic hydroxy compound transport
      1 GO:0015919	peroxisomal membrane transport
      1 GO:0015931	nucleobase-containing compound transport
      1 GO:0015934	large ribosomal subunit
      1 GO:0015935	small ribosomal subunit
      1 GO:0015949	nucleobase-containing small molecule interconversion
      1 GO:0016006	Nebenkern
      1 GO:0016042	lipid catabolic process
      1 GO:0016075	rRNA catabolic process
      1 GO:0016226	iron-sulfur cluster assembly
      1 GO:0016239	positive regulation of macroautophagy
      1 GO:0016259	selenocysteine metabolic process
      1 GO:0016272	prefoldin complex
      1 GO:0016278	lysine N-methyltransferase activity
      1 GO:0016279	protein-lysine N-methyltransferase activity
      1 GO:0016281	eukaryotic translation initiation factor 4F complex
      1 GO:0016298	lipase activity
      1 GO:0016409	palmitoyltransferase activity
      1 GO:0016417	S-acyltransferase activity
      1 GO:0016558	protein import into peroxisome matrix
      1 GO:0016572	histone phosphorylation
      1 GO:0016573	histone acetylation
      1 GO:0016574	histone ubiquitination
      1 GO:0016607	nuclear speck
      1 GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
      1 GO:0016635	oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor
      1 GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
      1 GO:0016670	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor
      1 GO:0016721	oxidoreductase activity, acting on superoxide radicals as acceptor
      1 GO:0016730	oxidoreductase activity, acting on iron-sulfur proteins as donors
      1 GO:0016731	oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor
      1 GO:0016746	transferase activity, transferring acyl groups
      1 GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
      1 GO:0016782	transferase activity, transferring sulfur-containing groups
      1 GO:0016783	sulfurtransferase activity
      1 GO:0016798	hydrolase activity, acting on glycosyl bonds
      1 GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
      1 GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds
      1 GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances
      1 GO:0016846	carbon-sulfur lyase activity
      1 GO:0016849	phosphorus-oxygen lyase activity
      1 GO:0016853	isomerase activity
      1 GO:0016860	intramolecular oxidoreductase activity
      1 GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds
      1 GO:0016971	flavin-linked sulfhydryl oxidase activity
      1 GO:0016972	thiol oxidase activity
      1 GO:0017001	antibiotic catabolic process
      1 GO:0017069	snRNA binding
      1 GO:0017070	U6 snRNA binding
      1 GO:0017119	Golgi transport complex
      1 GO:0017148	negative regulation of translation
      1 GO:0017171	serine hydrolase activity
      1 GO:0018024	histone-lysine N-methyltransferase activity
      1 GO:0018393	internal peptidyl-lysine acetylation
      1 GO:0018394	peptidyl-lysine acetylation
      1 GO:0019001	guanyl nucleotide binding
      1 GO:0019098	reproductive behavior
      1 GO:0019199	transmembrane receptor protein kinase activity
      1 GO:0019336	phenol-containing compound catabolic process
      1 GO:0019362	pyridine nucleotide metabolic process
      1 GO:0019395	fatty acid oxidation
      1 GO:0019430	removal of superoxide radicals
      1 GO:0019706	protein-cysteine S-palmitoyltransferase activity
      1 GO:0019707	protein-cysteine S-acyltransferase activity
      1 GO:0019825	oxygen binding
      1 GO:0019843	rRNA binding
      1 GO:0019856	pyrimidine nucleobase biosynthetic process
      1 GO:0019867	outer membrane
      1 GO:0019900	kinase binding
      1 GO:0019902	phosphatase binding
      1 GO:0019905	syntaxin binding
      1 GO:0019985	translesion synthesis
      1 GO:0021695	cerebellar cortex development
      1 GO:0022406	membrane docking
      1 GO:0022411	cellular component disassembly
      1 GO:0022622	root system development
      1 GO:0022625	cytosolic large ribosomal subunit
      1 GO:0022626	cytosolic ribosome
      1 GO:0022627	cytosolic small ribosomal subunit
      1 GO:0030004	cellular monovalent inorganic cation homeostasis
      1 GO:0030054	cell junction
      1 GO:0030100	regulation of endocytosis
      1 GO:0030111	regulation of Wnt signaling pathway
      1 GO:0030134	COPII-coated ER to Golgi transport vesicle
      1 GO:0030135	coated vesicle
      1 GO:0030139	endocytic vesicle
      1 GO:0030141	secretory granule
      1 GO:0030173	integral component of Golgi membrane
      1 GO:0030178	negative regulation of Wnt signaling pathway
      1 GO:0030258	lipid modification
      1 GO:0030261	chromosome condensation
      1 GO:0030307	positive regulation of cell growth
      1 GO:0030308	negative regulation of cell growth
      1 GO:0030335	positive regulation of cell migration
      1 GO:0030426	growth cone
      1 GO:0030435	sporulation resulting in formation of a cellular spore
      1 GO:0030436	asexual sporulation
      1 GO:0030466	silent mating-type cassette heterochromatin assembly
      1 GO:0030479	actin cortical patch
      1 GO:0030532	small nuclear ribonucleoprotein complex
      1 GO:0030629	U6 snRNA 3'-end binding
      1 GO:0030641	regulation of cellular pH
      1 GO:0030659	cytoplasmic vesicle membrane
      1 GO:0030687	preribosome, large subunit precursor
      1 GO:0030705	cytoskeleton-dependent intracellular transport
      1 GO:0030707	ovarian follicle cell development
      1 GO:0030855	epithelial cell differentiation
      1 GO:0030856	regulation of epithelial cell differentiation
      1 GO:0030857	negative regulation of epithelial cell differentiation
      1 GO:0030863	cortical cytoskeleton
      1 GO:0030864	cortical actin cytoskeleton
      1 GO:0030865	cortical cytoskeleton organization
      1 GO:0030866	cortical actin cytoskeleton organization
      1 GO:0030867	rough endoplasmic reticulum membrane
      1 GO:0030970	retrograde protein transport, ER to cytosol
      1 GO:0031000	response to caffeine
      1 GO:0031032	actomyosin structure organization
      1 GO:0031060	regulation of histone methylation
      1 GO:0031062	positive regulation of histone methylation
      1 GO:0031099	regeneration
      1 GO:0031100	animal organ regeneration
      1 GO:0031101	fin regeneration
      1 GO:0031110	regulation of microtubule polymerization or depolymerization
      1 GO:0031112	positive regulation of microtubule polymerization or depolymerization
      1 GO:0031113	regulation of microtubule polymerization
      1 GO:0031116	positive regulation of microtubule polymerization
      1 GO:0031163	metallo-sulfur cluster assembly
      1 GO:0031201	SNARE complex
      1 GO:0031226	intrinsic component of plasma membrane
      1 GO:0031228	intrinsic component of Golgi membrane
      1 GO:0031231	intrinsic component of peroxisomal membrane
      1 GO:0031248	protein acetyltransferase complex
      1 GO:0031253	cell projection membrane
      1 GO:0031256	leading edge membrane
      1 GO:0031288	sorocarp morphogenesis
      1 GO:0031330	negative regulation of cellular catabolic process
      1 GO:0031334	positive regulation of protein-containing complex assembly
      1 GO:0031345	negative regulation of cell projection organization
      1 GO:0031346	positive regulation of cell projection organization
      1 GO:0031347	regulation of defense response
      1 GO:0031348	negative regulation of defense response
      1 GO:0031371	ubiquitin conjugating enzyme complex
      1 GO:0031396	regulation of protein ubiquitination
      1 GO:0031397	negative regulation of protein ubiquitination
      1 GO:0031400	negative regulation of protein modification process
      1 GO:0031461	cullin-RING ubiquitin ligase complex
      1 GO:0031490	chromatin DNA binding
      1 GO:0031491	nucleosome binding
      1 GO:0031498	chromatin disassembly
      1 GO:0031503	protein-containing complex localization
      1 GO:0031519	PcG protein complex
      1 GO:0031593	polyubiquitin modification-dependent protein binding
      1 GO:0031594	neuromuscular junction
      1 GO:0031616	spindle pole centrosome
      1 GO:0031902	late endosome membrane
      1 GO:0031903	microbody membrane
      1 GO:0031968	organelle outer membrane
      1 GO:0031970	organelle envelope lumen
      1 GO:0031985	Golgi cisterna
      1 GO:0032006	regulation of TOR signaling
      1 GO:0032008	positive regulation of TOR signaling
      1 GO:0032048	cardiolipin metabolic process
      1 GO:0032049	cardiolipin biosynthetic process
      1 GO:0032101	regulation of response to external stimulus
      1 GO:0032102	negative regulation of response to external stimulus
      1 GO:0032154	cleavage furrow
      1 GO:0032155	obsolete cell division site part
      1 GO:0032156	septin cytoskeleton
      1 GO:0032168	hyphal septin ring
      1 GO:0032182	ubiquitin-like protein binding
      1 GO:0032183	SUMO binding
      1 GO:0032204	regulation of telomere maintenance
      1 GO:0032206	positive regulation of telomere maintenance
      1 GO:0032210	regulation of telomere maintenance via telomerase
      1 GO:0032212	positive regulation of telomere maintenance via telomerase
      1 GO:0032271	regulation of protein polymerization
