      1 GO:0000002	mitochondrial genome maintenance
      1 GO:0006695	cholesterol biosynthetic process
      1 GO:0006720	isoprenoid metabolic process
      1 GO:0006734	NADH metabolic process
      1 GO:0006739	NADP metabolic process
      1 GO:0006749	glutathione metabolic process
      1 GO:0006766	vitamin metabolic process
      1 GO:0006767	water-soluble vitamin metabolic process
      1 GO:0006771	riboflavin metabolic process
      1 GO:0006778	porphyrin-containing compound metabolic process
      1 GO:0006787	porphyrin-containing compound catabolic process
      1 GO:0006788	heme oxidation
      1 GO:0006797	polyphosphate metabolic process
      1 GO:0006799	polyphosphate biosynthetic process
      1 GO:0006821	chloride transport
      1 GO:0006839	mitochondrial transport
      1 GO:0006862	nucleotide transport
      1 GO:0006864	pyrimidine nucleotide transport
      1 GO:0006865	amino acid transport
      1 GO:0006873	cellular ion homeostasis
      1 GO:0006875	cellular metal ion homeostasis
      1 GO:0006879	cellular iron ion homeostasis
      1 GO:0006887	exocytosis
      1 GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
      1 GO:0006892	post-Golgi vesicle-mediated transport
      1 GO:0006896	Golgi to vacuole transport
      1 GO:0006909	phagocytosis
      1 GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process
      1 GO:0006959	humoral immune response
      1 GO:0006997	nucleus organization
      1 GO:0006998	nuclear envelope organization
      1 GO:0007029	endoplasmic reticulum organization
      1 GO:0007033	vacuole organization
      1 GO:0007056	spindle assembly involved in female meiosis
      1 GO:0007062	sister chromatid cohesion
      1 GO:0007065	male meiosis sister chromatid cohesion
      1 GO:0007076	mitotic chromosome condensation
      1 GO:0007079	mitotic chromosome movement towards spindle pole
      1 GO:0007080	mitotic metaphase plate congression
      1 GO:0007097	nuclear migration
      1 GO:0007098	centrosome cycle
      1 GO:0007129	homologous chromosome pairing at meiosis
      1 GO:0007130	synaptonemal complex assembly
      1 GO:0007135	meiosis II
      1 GO:0007141	male meiosis I
      1 GO:0007143	female meiotic nuclear division
      1 GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway
      1 GO:0007267	cell-cell signaling
      1 GO:0007283	spermatogenesis
      1 GO:0007297	ovarian follicle cell migration
      1 GO:0007300	ovarian nurse cell to oocyte transport
      1 GO:0007303	cytoplasmic transport, nurse cell to oocyte
      1 GO:0007398	ectoderm development
      1 GO:0007422	peripheral nervous system development
      1 GO:0007423	sensory organ development
      1 GO:0007439	ectodermal digestive tract development
      1 GO:0007492	endoderm development
      1 GO:0007498	mesoderm development
      1 GO:0007530	sex determination
      1 GO:0007531	mating type determination
      1 GO:0007532	regulation of mating-type specific transcription, DNA-templated
      1 GO:0007548	sex differentiation
      1 GO:0007568	aging
      1 GO:0007588	excretion
      1 GO:0007591	molting cycle, chitin-based cuticle
      1 GO:0007593	chitin-based cuticle sclerotization
      1 GO:0007602	phototransduction
      1 GO:0008015	blood circulation
      1 GO:0008017	microtubule binding
      1 GO:0008022	protein C-terminus binding
      1 GO:0008074	guanylate cyclase complex, soluble
      1 GO:0008079	translation termination factor activity
      1 GO:0008081	phosphoric diester hydrolase activity
      1 GO:0008092	cytoskeletal protein binding
      1 GO:0008094	DNA-dependent ATPase activity
      1 GO:0008097	5S rRNA binding
      1 GO:0008135	translation factor activity, RNA binding
      1 GO:0008170	N-methyltransferase activity
      1 GO:0008171	O-methyltransferase activity
      1 GO:0008173	RNA methyltransferase activity
      1 GO:0008194	UDP-glycosyltransferase activity
      1 GO:0008202	steroid metabolic process
      1 GO:0008203	cholesterol metabolic process
      1 GO:0008217	regulation of blood pressure
      1 GO:0008234	cysteine-type peptidase activity
      1 GO:0008237	metallopeptidase activity
      1 GO:0008270	zinc ion binding
      1 GO:0008276	protein methyltransferase activity
      1 GO:0008289	lipid binding
      1 GO:0008299	isoprenoid biosynthetic process
      1 GO:0008308	voltage-gated anion channel activity
      1 GO:0008315	G2/MI transition of meiotic cell cycle
      1 GO:0008320	protein transmembrane transporter activity
      1 GO:0008324	cation transmembrane transporter activity
      1 GO:0008333	endosome to lysosome transport
      1 GO:0008340	determination of adult lifespan
      1 GO:0008365	adult chitin-based cuticle development
      1 GO:0008378	galactosyltransferase activity
      1 GO:0008406	gonad development
      1 GO:0008408	3'-5' exonuclease activity
      1 GO:0008514	organic anion transmembrane transporter activity
      1 GO:0008519	ammonium transmembrane transporter activity
      1 GO:0008565	obsolete protein transporter activity
      1 GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage
      1 GO:0008649	rRNA methyltransferase activity
      1 GO:0008652	cellular amino acid biosynthetic process
      1 GO:0008654	phospholipid biosynthetic process
      1 GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
      1 GO:0008832	dGTPase activity
      1 GO:0008977	prephenate dehydrogenase (NAD+) activity
      1 GO:0009063	cellular amino acid catabolic process
      1 GO:0009069	serine family amino acid metabolic process
      1 GO:0009072	aromatic amino acid family metabolic process
      1 GO:0009073	aromatic amino acid family biosynthetic process
      1 GO:0009095	aromatic amino acid family biosynthetic process, prephenate pathway
      1 GO:0009100	glycoprotein metabolic process
      1 GO:0009101	glycoprotein biosynthetic process
      1 GO:0009108	obsolete coenzyme biosynthetic process
      1 GO:0009109	obsolete coenzyme catabolic process
      1 GO:0009110	vitamin biosynthetic process
      1 GO:0009123	nucleoside monophosphate metabolic process
      1 GO:0009126	purine nucleoside monophosphate metabolic process
      1 GO:0009143	nucleoside triphosphate catabolic process
      1 GO:0009146	purine nucleoside triphosphate catabolic process
      1 GO:0009151	purine deoxyribonucleotide metabolic process
      1 GO:0009155	purine deoxyribonucleotide catabolic process
      1 GO:0009161	ribonucleoside monophosphate metabolic process
      1 GO:0009167	purine ribonucleoside monophosphate metabolic process
      1 GO:0009199	ribonucleoside triphosphate metabolic process
      1 GO:0009200	deoxyribonucleoside triphosphate metabolic process
      1 GO:0009204	deoxyribonucleoside triphosphate catabolic process
      1 GO:0009205	purine ribonucleoside triphosphate metabolic process
      1 GO:0009215	purine deoxyribonucleoside triphosphate metabolic process
      1 GO:0009217	purine deoxyribonucleoside triphosphate catabolic process
      1 GO:0009231	riboflavin biosynthetic process
      1 GO:0009240	isopentenyl diphosphate biosynthetic process
      1 GO:0009247	glycolipid biosynthetic process
      1 GO:0009250	glucan biosynthetic process
      1 GO:0009262	deoxyribonucleotide metabolic process
      1 GO:0009264	deoxyribonucleotide catabolic process
      1 GO:0009268	response to pH
      1 GO:0009272	fungal-type cell wall biogenesis
      1 GO:0009306	protein secretion
      1 GO:0009394	2'-deoxyribonucleotide metabolic process
      1 GO:0009404	toxin metabolic process
      1 GO:0009405	pathogenesis
      1 GO:0009409	response to cold
      1 GO:0009527	plastid outer membrane
      1 GO:0009528	plastid inner membrane
      1 GO:0009533	chloroplast stromal thylakoid
      1 GO:0009534	chloroplast thylakoid
      1 GO:0009555	pollen development
      1 GO:0009581	detection of external stimulus
      1 GO:0009582	detection of abiotic stimulus
      1 GO:0009583	detection of light stimulus
      1 GO:0009585	red, far-red light phototransduction
      1 GO:0009615	response to virus
      1 GO:0009624	response to nematode
      1 GO:0009639	response to red or far red light
      1 GO:0009642	response to light intensity
      1 GO:0009644	response to high light intensity
      1 GO:0009658	chloroplast organization
      1 GO:0009706	chloroplast inner membrane
      1 GO:0009707	chloroplast outer membrane
      1 GO:0009753	response to jasmonic acid
      1 GO:0009755	hormone-mediated signaling pathway
      1 GO:0009793	embryo development ending in seed dormancy
      1 GO:0009826	unidimensional cell growth
      1 GO:0009832	plant-type cell wall biogenesis
      1 GO:0009856	pollination
      1 GO:0009860	pollen tube growth
      1 GO:0009867	jasmonic acid mediated signaling pathway
      1 GO:0009909	regulation of flower development
      1 GO:0009911	positive regulation of flower development
      1 GO:0009932	cell tip growth
      1 GO:0009969	xyloglucan biosynthetic process
      1 GO:0009986	cell surface
      1 GO:0010017	red or far-red light signaling pathway
      1 GO:0010026	trichome differentiation
      1 GO:0010039	response to iron ion
      1 GO:0010053	root epidermal cell differentiation
      1 GO:0010087	phloem or xylem histogenesis
      1 GO:0010088	phloem development
      1 GO:0010090	trichome morphogenesis
      1 GO:0010091	trichome branching
      1 GO:0010101	post-embryonic root morphogenesis
      1 GO:0010102	lateral root morphogenesis
      1 GO:0010109	regulation of photosynthesis
      1 GO:0010114	response to red light
      1 GO:0010218	response to far red light
      1 GO:0010229	inflorescence development
      1 GO:0010259	multicellular organism aging
      1 GO:0010269	response to selenium ion
      1 GO:0010311	lateral root formation
      1 GO:0010369	chromocenter
      1 GO:0010383	cell wall polysaccharide metabolic process
      1 GO:0010410	hemicellulose metabolic process
      1 GO:0010411	xyloglucan metabolic process
      1 GO:0010469	regulation of signaling receptor activity
      1 GO:0010565	regulation of cellular ketone metabolic process
      1 GO:0010594	regulation of endothelial cell migration
      1 GO:0010595	positive regulation of endothelial cell migration
      1 GO:0010631	epithelial cell migration
      1 GO:0010632	regulation of epithelial cell migration
      1 GO:0010634	positive regulation of epithelial cell migration
      1 GO:0010656	negative regulation of muscle cell apoptotic process
      1 GO:0010660	regulation of muscle cell apoptotic process
      1 GO:0010668	ectodermal cell differentiation
      1 GO:0010675	regulation of cellular carbohydrate metabolic process
      1 GO:0010824	regulation of centrosome duplication
      1 GO:0010825	positive regulation of centrosome duplication
      1 GO:0010876	lipid localization
      1 GO:0010918	positive regulation of mitochondrial membrane potential
      1 GO:0010927	cellular component assembly involved in morphogenesis
      1 GO:0010950	positive regulation of endopeptidase activity
      1 GO:0010952	positive regulation of peptidase activity
      1 GO:0010959	regulation of metal ion transport
      1 GO:0010962	regulation of glucan biosynthetic process
      1 GO:0010981	regulation of cell wall macromolecule metabolic process
      1 GO:0012506	vesicle membrane
      1 GO:0014070	response to organic cyclic compound
      1 GO:0014074	response to purine-containing compound
      1 GO:0014805	smooth muscle adaptation
      1 GO:0014806	smooth muscle hyperplasia
      1 GO:0014900	muscle hyperplasia
      1 GO:0015035	protein disulfide oxidoreductase activity
      1 GO:0015037	peptide disulfide oxidoreductase activity
      1 GO:0015038	glutathione disulfide oxidoreductase activity
      1 GO:0015103	inorganic anion transmembrane transporter activity
      1 GO:0015108	chloride transmembrane transporter activity
      1 GO:0015171	amino acid transmembrane transporter activity
      1 GO:0015179	L-amino acid transmembrane transporter activity
      1 GO:0015203	polyamine transmembrane transporter activity
      1 GO:0015215	nucleotide transmembrane transporter activity
      1 GO:0015218	pyrimidine nucleotide transmembrane transporter activity
      1 GO:0015267	channel activity
      1 GO:0015297	antiporter activity
      1 GO:0015398	high-affinity secondary active ammonium transmembrane transporter activity
      1 GO:0015399	primary active transmembrane transporter activity
      1 GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
      1 GO:0015605	organophosphate ester transmembrane transporter activity
      1 GO:0015616	DNA translocase activity
      1 GO:0015631	tubulin binding
      1 GO:0015698	inorganic anion transport
      1 GO:0015711	organic anion transport
      1 GO:0015748	organophosphate ester transport
      1 GO:0015807	L-amino acid transport
      1 GO:0015837	amine transport
      1 GO:0015839	cadaverine transport
      1 GO:0015843	methylammonium transport
      1 GO:0015846	polyamine transport
      1 GO:0015849	organic acid transport
      1 GO:0015932	nucleobase-containing compound transmembrane transporter activity
      1 GO:0015936	coenzyme A metabolic process
      1 GO:0015937	coenzyme A biosynthetic process
      1 GO:0015949	nucleobase-containing small molecule interconversion
      1 GO:0015959	diadenosine polyphosphate metabolic process
      1 GO:0015961	diadenosine polyphosphate catabolic process
      1 GO:0015962	diadenosine triphosphate metabolic process
      1 GO:0015964	diadenosine triphosphate catabolic process
      1 GO:0015979	photosynthesis
      1 GO:0015980	energy derivation by oxidation of organic compounds
      1 GO:0016032	viral process
      1 GO:0016036	cellular response to phosphate starvation
      1 GO:0016051	carbohydrate biosynthetic process
      1 GO:0016053	organic acid biosynthetic process
      1 GO:0016054	organic acid catabolic process
      1 GO:0016075	rRNA catabolic process
      1 GO:0016125	sterol metabolic process
      1 GO:0016126	sterol biosynthetic process
      1 GO:0016151	nickel cation binding
      1 GO:0016236	macroautophagy
      1 GO:0016237	lysosomal microautophagy
      1 GO:0016242	negative regulation of macroautophagy
      1 GO:0016259	selenocysteine metabolic process
      1 GO:0016278	lysine N-methyltransferase activity
      1 GO:0016279	protein-lysine N-methyltransferase activity
      1 GO:0016298	lipase activity
      1 GO:0016324	apical plasma membrane
      1 GO:0016435	rRNA (guanine) methyltransferase activity
      1 GO:0016441	posttranscriptional gene silencing
      1 GO:0016504	peptidase activator activity
      1 GO:0016567	protein ubiquitination
      1 GO:0016572	histone phosphorylation
      1 GO:0016579	protein deubiquitination
      1 GO:0016584	nucleosome positioning
      1 GO:0016592	mediator complex
      1 GO:0016604	nuclear body
      1 GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
      1 GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
      1 GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
      1 GO:0016670	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor
      1 GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
      1 GO:0016757	transferase activity, transferring glycosyl groups
      1 GO:0016758	transferase activity, transferring hexosyl groups
      1 GO:0016779	nucleotidyltransferase activity
      1 GO:0016793	triphosphoric monoester hydrolase activity
      1 GO:0016798	hydrolase activity, acting on glycosyl bonds
      1 GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
      1 GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
      1 GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
      1 GO:0016819	hydrolase activity, acting on acid anhydrides, in sulfonyl-containing anhydrides
      1 GO:0016846	carbon-sulfur lyase activity
      1 GO:0016854	racemase and epimerase activity
      1 GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
      1 GO:0016860	intramolecular oxidoreductase activity
      1 GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds
      1 GO:0016866	intramolecular transferase activity
      1 GO:0016868	intramolecular transferase activity, phosphotransferases
      1 GO:0016874	ligase activity
      1 GO:0016875	ligase activity, forming carbon-oxygen bonds
      1 GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters
      1 GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
      1 GO:0016971	flavin-linked sulfhydryl oxidase activity
      1 GO:0016972	thiol oxidase activity
      1 GO:0017000	antibiotic biosynthetic process
      1 GO:0017004	cytochrome complex assembly
      1 GO:0017038	protein import
      1 GO:0017053	transcription repressor complex
      1 GO:0017062	respiratory chain complex III assembly
      1 GO:0017101	aminoacyl-tRNA synthetase multienzyme complex
      1 GO:0017102	methionyl glutamyl tRNA synthetase complex
      1 GO:0017145	stem cell division
      1 GO:0017148	negative regulation of translation
      1 GO:0017157	regulation of exocytosis
      1 GO:0018024	histone-lysine N-methyltransferase activity
      1 GO:0018149	peptide cross-linking
      1 GO:0018196	peptidyl-asparagine modification
      1 GO:0018279	protein N-linked glycosylation via asparagine
      1 GO:0018958	phenol-containing compound metabolic process
      1 GO:0019058	viral life cycle
      1 GO:0019079	viral genome replication
      1 GO:0019199	transmembrane receptor protein kinase activity
      1 GO:0019207	kinase regulator activity
      1 GO:0019209	kinase activator activity
      1 GO:0019217	regulation of fatty acid metabolic process
      1 GO:0019287	isopentenyl diphosphate biosynthetic process, mevalonate pathway
      1 GO:0019374	galactolipid metabolic process
      1 GO:0019430	removal of superoxide radicals
      1 GO:0019674	NAD metabolic process
      1 GO:0019684	photosynthesis, light reaction
      1 GO:0019692	deoxyribose phosphate metabolic process
      1 GO:0019730	antimicrobial humoral response
      1 GO:0019748	secondary metabolic process
      1 GO:0019755	one-carbon compound transport
      1 GO:0019783	ubiquitin-like protein-specific protease activity
      1 GO:0019827	stem cell population maintenance
      1 GO:0019838	growth factor binding
      1 GO:0019842	vitamin binding
      1 GO:0019843	rRNA binding
      1 GO:0019887	protein kinase regulator activity
      1 GO:0019902	phosphatase binding
      1 GO:0019903	protein phosphatase binding
      1 GO:0019905	syntaxin binding
      1 GO:0019915	lipid storage
      1 GO:0019932	second-messenger-mediated signaling
      1 GO:0019934	cGMP-mediated signaling
      1 GO:0019935	cyclic-nucleotide-mediated signaling
      1 GO:0019985	translesion synthesis
      1 GO:0021537	telencephalon development
      1 GO:0021543	pallium development
      1 GO:0021700	developmental maturation
      1 GO:0021846	cell proliferation in forebrain
      1 GO:0021987	cerebral cortex development
      1 GO:0022027	interkinetic nuclear migration
      1 GO:0022413	reproductive process in single-celled organism
      1 GO:0022616	DNA strand elongation
      1 GO:0022803	passive transmembrane transporter activity
      1 GO:0022832	voltage-gated channel activity
      1 GO:0022836	gated channel activity
      1 GO:0022839	ion gated channel activity
      1 GO:0022884	macromolecule transmembrane transporter activity
      1 GO:0030001	metal ion transport
      1 GO:0030003	cellular cation homeostasis
      1 GO:0030016	myofibril
      1 GO:0030017	sarcomere
      1 GO:0030031	cell projection assembly
      1 GO:0030097	hemopoiesis
      1 GO:0030098	lymphocyte differentiation
      1 GO:0030111	regulation of Wnt signaling pathway
      1 GO:0030141	secretory granule
      1 GO:0030153	bacteriocin immunity
      1 GO:0030170	pyridoxal phosphate binding
      1 GO:0030173	integral component of Golgi membrane
      1 GO:0030177	positive regulation of Wnt signaling pathway
