      1 GO:0000001	mitochondrion inheritance
      1 GO:0000971	tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate
      1 GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
      1 GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
      1 GO:0000990	obsolete transcription factor activity, core RNA polymerase binding
      1 GO:0000991	obsolete transcription factor activity, core RNA polymerase II binding
      1 GO:0001015	snoRNA transcription by RNA polymerase II
      1 GO:0001046	core promoter sequence-specific DNA binding
      1 GO:0001100	negative regulation of exit from mitosis
      1 GO:0001128	obsolete RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
      1 GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter
      1 GO:0001191	obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding
      1 GO:0001192	maintenance of transcriptional fidelity during DNA-templated transcription elongation
      1 GO:0001195	maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase III promoter
      1 GO:0001196	regulation of mating-type specific transcription from RNA polymerase II promoter
      1 GO:0001198	negative regulation of mating-type specific transcription from RNA polymerase II promoter
      1 GO:0001207	histone displacement
      1 GO:0001208	histone H2A-H2B dimer displacement
      1 GO:0001221	transcription cofactor binding
      1 GO:0001222	transcription corepressor binding
      1 GO:0001306	age-dependent response to oxidative stress
      1 GO:0001315	age-dependent response to reactive oxygen species
      1 GO:0001316	age-dependent response to reactive oxygen species involved in replicative cell aging
      1 GO:0001317	accumulation of oxidatively modified proteins involved in replicative cell aging
      1 GO:0001319	inheritance of oxidatively modified proteins involved in replicative cell aging
      1 GO:0001321	age-dependent general metabolic decline involved in replicative cell aging
      1 GO:0001322	age-dependent response to oxidative stress involved in replicative cell aging
      1 GO:0001325	formation of extrachromosomal circular DNA
      1 GO:0001405	PAM complex, Tim23 associated import motor
      1 GO:0001410	chlamydospore formation
      1 GO:0001508	action potential
      1 GO:0001514	selenocysteine incorporation
      1 GO:0001539	cilium or flagellum-dependent cell motility
      1 GO:0001546	preantral ovarian follicle growth
      1 GO:0001547	antral ovarian follicle growth
      1 GO:0001553	luteinization
      1 GO:0001555	oocyte growth
      1 GO:0001560	regulation of cell growth by extracellular stimulus
      1 GO:0001562	response to protozoan
      1 GO:0001578	microtubule bundle formation
      1 GO:0001649	osteoblast differentiation
      1 GO:0001651	dense fibrillar component
      1 GO:0001652	granular component
      1 GO:0001657	ureteric bud development
      1 GO:0001659	temperature homeostasis
      1 GO:0001673	male germ cell nucleus
      1 GO:0001682	tRNA 5'-leader removal
      1 GO:0001703	gastrulation with mouth forming first
      1 GO:0001705	ectoderm formation
      1 GO:0001707	mesoderm formation
      1 GO:0001712	ectodermal cell fate commitment
      1 GO:0001715	ectodermal cell fate specification
      1 GO:0001736	establishment of planar polarity
      1 GO:0001738	morphogenesis of a polarized epithelium
      1 GO:0001740	Barr body
      1 GO:0001752	compound eye photoreceptor fate commitment
      1 GO:0001755	neural crest cell migration
      1 GO:0001772	immunological synapse
      1 GO:0001786	phosphatidylserine binding
      1 GO:0001816	cytokine production
      1 GO:0001823	mesonephros development
      1 GO:0001825	blastocyst formation
      1 GO:0001826	inner cell mass cell differentiation
      1 GO:0001829	trophectodermal cell differentiation
      1 GO:0001885	endothelial cell development
      1 GO:0001887	selenium compound metabolic process
      1 GO:0001893	maternal placenta development
      1 GO:0001914	regulation of T cell mediated cytotoxicity
      1 GO:0001916	positive regulation of T cell mediated cytotoxicity
      1 GO:0001927	exocyst assembly
      1 GO:0001937	negative regulation of endothelial cell proliferation
      1 GO:0001953	negative regulation of cell-matrix adhesion
      1 GO:0001954	positive regulation of cell-matrix adhesion
      1 GO:0001958	endochondral ossification
      1 GO:0001960	negative regulation of cytokine-mediated signaling pathway
      1 GO:0001963	synaptic transmission, dopaminergic
      1 GO:0001965	G-protein alpha-subunit binding
      1 GO:0001975	response to amphetamine
      1 GO:0002021	response to dietary excess
      1 GO:0002028	regulation of sodium ion transport
      1 GO:0002039	p53 binding
      1 GO:0002040	sprouting angiogenesis
      1 GO:0002051	osteoblast fate commitment
      1 GO:0002052	positive regulation of neuroblast proliferation
      1 GO:0002068	glandular epithelial cell development
      1 GO:0002076	osteoblast development
      1 GO:0002088	lens development in camera-type eye
      1 GO:0002094	polyprenyltransferase activity
      1 GO:0002100	tRNA wobble adenosine to inosine editing
      1 GO:0002101	tRNA wobble cytosine modification
      1 GO:0002143	tRNA wobble position uridine thiolation
      1 GO:0002200	somatic diversification of immune receptors
      1 GO:0002225	positive regulation of antimicrobial peptide production
      1 GO:0002260	lymphocyte homeostasis
      1 GO:0002262	myeloid cell homeostasis
      1 GO:0002296	T-helper 1 cell lineage commitment
      1 GO:0002526	acute inflammatory response
      1 GO:0002676	regulation of chronic inflammatory response
      1 GO:0002677	negative regulation of chronic inflammatory response
      1 GO:0002686	negative regulation of leukocyte migration
      1 GO:0002687	positive regulation of leukocyte migration
      1 GO:0002688	regulation of leukocyte chemotaxis
      1 GO:0002689	negative regulation of leukocyte chemotaxis
      1 GO:0002695	negative regulation of leukocyte activation
      1 GO:0002701	negative regulation of production of molecular mediator of immune response
      1 GO:0002702	positive regulation of production of molecular mediator of immune response
      1 GO:0002704	negative regulation of leukocyte mediated immunity
      1 GO:0002707	negative regulation of lymphocyte mediated immunity
      1 GO:0002708	positive regulation of lymphocyte mediated immunity
      1 GO:0002710	negative regulation of T cell mediated immunity
      1 GO:0002711	positive regulation of T cell mediated immunity
      1 GO:0002718	regulation of cytokine production involved in immune response
      1 GO:0002719	negative regulation of cytokine production involved in immune response
      1 GO:0002724	regulation of T cell cytokine production
      1 GO:0002725	negative regulation of T cell cytokine production
      1 GO:0002759	regulation of antimicrobial humoral response
      1 GO:0002760	positive regulation of antimicrobial humoral response
      1 GO:0002784	regulation of antimicrobial peptide production
      1 GO:0002805	regulation of antimicrobial peptide biosynthetic process
      1 GO:0002807	positive regulation of antimicrobial peptide biosynthetic process
      1 GO:0002820	negative regulation of adaptive immune response
      1 GO:0002821	positive regulation of adaptive immune response
      1 GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
      1 GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
      1 GO:0002828	regulation of type 2 immune response
      1 GO:0002829	negative regulation of type 2 immune response
      1 GO:0002920	regulation of humoral immune response
      1 GO:0002922	positive regulation of humoral immune response
      1 GO:0002939	tRNA N1-guanine methylation
      1 GO:0002940	tRNA N2-guanine methylation
      1 GO:0002943	tRNA dihydrouridine synthesis
      1 GO:0003205	cardiac chamber development
      1 GO:0003231	cardiac ventricle development
      1 GO:0003323	type B pancreatic cell development
      1 GO:0003330	regulation of extracellular matrix constituent secretion
      1 GO:0003331	positive regulation of extracellular matrix constituent secretion
      1 GO:0003352	regulation of cilium movement
      1 GO:0003360	brainstem development
      1 GO:0003365	establishment of cell polarity involved in ameboidal cell migration
      1 GO:0003371	establishment or maintenance of cytoskeleton polarity involved in ameboidal cell migration
      1 GO:0003373	dynamin family protein polymerization involved in membrane fission
      1 GO:0003374	dynamin family protein polymerization involved in mitochondrial fission
      1 GO:0003379	establishment of cell polarity involved in gastrulation cell migration
      1 GO:0003380	establishment or maintenance of cytoskeleton polarity involved in gastrulation
      1 GO:0003381	epithelial cell morphogenesis involved in gastrulation
      1 GO:0003382	epithelial cell morphogenesis
      1 GO:0003383	apical constriction
      1 GO:0003384	apical constriction involved in gastrulation
      1 GO:0003400	regulation of COPII vesicle coating
      1 GO:0003680	minor groove of adenine-thymine-rich DNA binding
      1 GO:0003689	DNA clamp loader activity
      1 GO:0003691	double-stranded telomeric DNA binding
      1 GO:0003823	antigen binding
      1 GO:0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
      1 GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
      1 GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity
      1 GO:0003852	2-isopropylmalate synthase activity
      1 GO:0003853	2-methylacyl-CoA dehydrogenase activity
      1 GO:0003856	3-dehydroquinate synthase activity
      1 GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
      1 GO:0003872	6-phosphofructokinase activity
      1 GO:0003873	6-phosphofructo-2-kinase activity
      1 GO:0003880	protein C-terminal carboxyl O-methyltransferase activity
      1 GO:0003883	CTP synthase activity
      1 GO:0003884	D-amino-acid oxidase activity
      1 GO:0003904	deoxyribodipyrimidine photo-lyase activity
      1 GO:0003905	alkylbase DNA N-glycosylase activity
      1 GO:0003909	DNA ligase activity
      1 GO:0003910	DNA ligase (ATP) activity
      1 GO:0003913	DNA photolyase activity
      1 GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
      1 GO:0003921	GMP synthase activity
      1 GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
      1 GO:0003933	GTP cyclohydrolase activity
      1 GO:0003934	GTP cyclohydrolase I activity
      1 GO:0003937	IMP cyclohydrolase activity
      1 GO:0003938	IMP dehydrogenase activity
      1 GO:0003956	NAD(P)+-protein-arginine ADP-ribosyltransferase activity
      1 GO:0003958	NADPH-hemoprotein reductase activity
      1 GO:0003972	RNA ligase (ATP) activity
      1 GO:0003973	(S)-2-hydroxy-acid oxidase activity
      1 GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity
      1 GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
      1 GO:0004000	adenosine deaminase activity
      1 GO:0004014	adenosylmethionine decarboxylase activity
      1 GO:0004017	adenylate kinase activity
      1 GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity
      1 GO:0004044	amidophosphoribosyltransferase activity
      1 GO:0004049	anthranilate synthase activity
      1 GO:0004053	arginase activity
      1 GO:0004057	arginyltransferase activity
      1 GO:0004064	arylesterase activity
      1 GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
      1 GO:0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
      1 GO:0004089	carbonate dehydratase activity
      1 GO:0004103	choline kinase activity
      1 GO:0004104	cholinesterase activity
      1 GO:0004106	chorismate mutase activity
      1 GO:0004107	chorismate synthase activity
      1 GO:0004127	cytidylate kinase activity
      1 GO:0004129	cytochrome-c oxidase activity
      1 GO:0004131	cytosine deaminase activity
      1 GO:0004132	dCMP deaminase activity
      1 GO:0004142	diacylglycerol cholinephosphotransferase activity
      1 GO:0004147	dihydrolipoamide branched chain acyltransferase activity
      1 GO:0004159	dihydrouracil dehydrogenase (NAD+) activity
      1 GO:0004164	diphthine synthase activity
      1 GO:0004170	dUTP diphosphatase activity
      1 GO:0004174	electron-transferring-flavoprotein dehydrogenase activity
      1 GO:0004198	calcium-dependent cysteine-type endopeptidase activity
      1 GO:0004252	serine-type endopeptidase activity
      1 GO:0004301	epoxide hydrolase activity
      1 GO:0004305	ethanolamine kinase activity
      1 GO:0004310	farnesyl-diphosphate farnesyltransferase activity
      1 GO:0004311	farnesyltranstransferase activity
      1 GO:0004312	fatty acid synthase activity
      1 GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
      1 GO:0004324	ferredoxin-NADP+ reductase activity
      1 GO:0004331	fructose-2,6-bisphosphate 2-phosphatase activity
      1 GO:0004347	glucose-6-phosphate isomerase activity
      1 GO:0004358	glutamate N-acetyltransferase activity
      1 GO:0004359	glutaminase activity
      1 GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
      1 GO:0004364	glutathione transferase activity
      1 GO:0004366	glycerol-3-phosphate O-acyltransferase activity
      1 GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
      1 GO:0004371	glycerone kinase activity
      1 GO:0004372	glycine hydroxymethyltransferase activity
      1 GO:0004376	glycolipid mannosyltransferase activity
      1 GO:0004378	GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity
      1 GO:0004395	hexaprenyldihydroxybenzoate methyltransferase activity
      1 GO:0004407	histone deacetylase activity
      1 GO:0004416	hydroxyacylglutathione hydrolase activity
      1 GO:0004424	imidazoleglycerol-phosphate dehydratase activity
      1 GO:0004425	indole-3-glycerol-phosphate synthase activity
      1 GO:0004427	inorganic diphosphatase activity
      1 GO:0004457	lactate dehydrogenase activity
      1 GO:0004458	D-lactate dehydrogenase (cytochrome) activity
      1 GO:0004466	long-chain-acyl-CoA dehydrogenase activity
      1 GO:0004467	long-chain fatty acid-CoA ligase activity
      1 GO:0004468	lysine N-acetyltransferase activity, acting on acetyl phosphate as donor
      1 GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity
      1 GO:0004496	mevalonate kinase activity
      1 GO:0004505	phenylalanine 4-monooxygenase activity
      1 GO:0004510	tryptophan 5-monooxygenase activity
      1 GO:0004511	tyrosine 3-monooxygenase activity
      1 GO:0004523	RNA-DNA hybrid ribonuclease activity
      1 GO:0004525	ribonuclease III activity
      1 GO:0004526	ribonuclease P activity
      1 GO:0004549	tRNA-specific ribonuclease activity
      1 GO:0004559	alpha-mannosidase activity
      1 GO:0004568	chitinase activity
      1 GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
      1 GO:0004577	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity
      1 GO:0004583	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity
      1 GO:0004585	ornithine carbamoyltransferase activity
      1 GO:0004586	ornithine decarboxylase activity
      1 GO:0004596	peptide alpha-N-acetyltransferase activity
      1 GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity
      1 GO:0004605	phosphatidate cytidylyltransferase activity
      1 GO:0004607	phosphatidylcholine-sterol O-acyltransferase activity
      1 GO:0004622	lysophospholipase activity
      1 GO:0004623	phospholipase A2 activity
      1 GO:0004630	phospholipase D activity
      1 GO:0004640	phosphoribosylanthranilate isomerase activity
      1 GO:0004642	phosphoribosylformylglycinamidine synthase activity
      1 GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
      1 GO:0004645	1,4-alpha-oligoglucan phosphorylase activity
      1 GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity
      1 GO:0004661	protein geranylgeranyltransferase activity
      1 GO:0004662	CAAX-protein geranylgeranyltransferase activity
      1 GO:0004663	Rab geranylgeranyltransferase activity
      1 GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
      1 GO:0004677	DNA-dependent protein kinase activity
      1 GO:0004679	AMP-activated protein kinase activity
      1 GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity
      1 GO:0004704	NF-kappaB-inducing kinase activity
      1 GO:0004712	protein serine/threonine/tyrosine kinase activity
      1 GO:0004713	protein tyrosine kinase activity
      1 GO:0004725	protein tyrosine phosphatase activity
      1 GO:0004727	prenylated protein tyrosine phosphatase activity
      1 GO:0004730	pseudouridylate synthase activity
      1 GO:0004733	pyridoxamine-phosphate oxidase activity
      1 GO:0004736	pyruvate carboxylase activity
      1 GO:0004743	pyruvate kinase activity
      1 GO:0004746	riboflavin synthase activity
      1 GO:0004765	shikimate kinase activity
      1 GO:0004766	spermidine synthase activity
      1 GO:0004767	sphingomyelin phosphodiesterase activity
      1 GO:0004771	sterol esterase activity
      1 GO:0004794	L-threonine ammonia-lyase activity
      1 GO:0004798	thymidylate kinase activity
      1 GO:0004801	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
      1 GO:0004807	triose-phosphate isomerase activity
      1 GO:0004809	tRNA (guanine-N2-)-methyltransferase activity
      1 GO:0004816	asparagine-tRNA ligase activity
      1 GO:0004818	glutamate-tRNA ligase activity
      1 GO:0004820	glycine-tRNA ligase activity
      1 GO:0004821	histidine-tRNA ligase activity
      1 GO:0004823	leucine-tRNA ligase activity
      1 GO:0004824	lysine-tRNA ligase activity
      1 GO:0004825	methionine-tRNA ligase activity
      1 GO:0004827	proline-tRNA ligase activity
      1 GO:0004829	threonine-tRNA ligase activity
      1 GO:0004834	tryptophan synthase activity
      1 GO:0004839	ubiquitin activating enzyme activity
      1 GO:0004859	phospholipase inhibitor activity
      1 GO:0004865	protein serine/threonine phosphatase inhibitor activity
      1 GO:0004930	G protein-coupled receptor activity
      1 GO:0005034	osmosensor activity
      1 GO:0005049	nuclear export signal receptor activity
      1 GO:0005052	peroxisome matrix targeting signal-1 binding
      1 GO:0005104	fibroblast growth factor receptor binding
      1 GO:0005125	cytokine activity
      1 GO:0005126	cytokine receptor binding
      1 GO:0005172	vascular endothelial growth factor receptor binding
      1 GO:0005242	inward rectifier potassium channel activity
      1 GO:0005251	delayed rectifier potassium channel activity
      1 GO:0005283	amino acid:sodium symporter activity
      1 GO:0005313	L-glutamate transmembrane transporter activity
      1 GO:0005314	high-affinity glutamate transmembrane transporter activity
      1 GO:0005326	neurotransmitter transmembrane transporter activity
      1 GO:0005328	neurotransmitter:sodium symporter activity
      1 GO:0005343	organic acid:sodium symporter activity
      1 GO:0005347	ATP transmembrane transporter activity
      1 GO:0005351	carbohydrate:proton symporter activity
      1 GO:0005355	glucose transmembrane transporter activity
      1 GO:0005371	tricarboxylate secondary active transmembrane transporter activity
      1 GO:0005372	water transmembrane transporter activity
      1 GO:0005381	iron ion transmembrane transporter activity
      1 GO:0005385	zinc ion transmembrane transporter activity
      1 GO:0005402	carbohydrate:cation symporter activity
      1 GO:0005416	amino acid:cation symporter activity
      1 GO:0005451	monovalent cation:proton antiporter activity
      1 GO:0005457	GDP-fucose transmembrane transporter activity
      1 GO:0005462	UDP-N-acetylglucosamine transmembrane transporter activity
      1 GO:0005463	UDP-N-acetylgalactosamine transmembrane transporter activity
      1 GO:0005469	succinate:fumarate antiporter activity
      1 GO:0005471	ATP:ADP antiporter activity
      1 GO:0005477	pyruvate secondary active transmembrane transporter activity
      1 GO:0005501	retinoid binding
      1 GO:0005518	collagen binding
      1 GO:0005522	profilin binding
      1 GO:0005523	tropomyosin binding
      1 GO:0005544	calcium-dependent phospholipid binding
      1 GO:0005546	phosphatidylinositol-4,5-bisphosphate binding
      1 GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding
      1 GO:0005638	lamin filament
      1 GO:0005639	integral component of nuclear inner membrane
      1 GO:0005655	nucleolar ribonuclease P complex
      1 GO:0005662	DNA replication factor A complex
      1 GO:0005664	nuclear origin of replication recognition complex
      1 GO:0005665	RNA polymerase II, core complex
      1 GO:0005687	U4 snRNP
      1 GO:0005703	polytene chromosome puff
      1 GO:0005705	polytene chromosome interband
      1 GO:0005719	nuclear euchromatin
      1 GO:0005745	m-AAA complex
      1 GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
      1 GO:0005750	mitochondrial respiratory chain complex III
      1 GO:0005762	mitochondrial large ribosomal subunit
      1 GO:0005771	multivesicular body
      1 GO:0005784	Sec61 translocon complex
      1 GO:0005786	signal recognition particle, endoplasmic reticulum targeting
      1 GO:0005787	signal peptidase complex
      1 GO:0005822	inner plaque of spindle pole body
      1 GO:0005825	half bridge of spindle pole body
      1 GO:0005827	polar microtubule
      1 GO:0005834	heterotrimeric G-protein complex
      1 GO:0005853	eukaryotic translation elongation factor 1 complex
      1 GO:0005858	axonemal dynein complex
      1 GO:0005865	striated muscle thin filament
      1 GO:0005885	Arp2/3 protein complex
      1 GO:0005901	caveola
      1 GO:0005902	microvillus
      1 GO:0005934	cellular bud tip
      1 GO:0005940	septin ring
      1 GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex
      1 GO:0005950	anthranilate synthase complex
      1 GO:0005951	carbamoyl-phosphate synthase complex
      1 GO:0005952	cAMP-dependent protein kinase complex
      1 GO:0005953	CAAX-protein geranylgeranyltransferase complex
      1 GO:0005956	protein kinase CK2 complex
      1 GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex
      1 GO:0005978	glycogen biosynthetic process
      1 GO:0005980	glycogen catabolic process
      1 GO:0005982	starch metabolic process
      1 GO:0005984	disaccharide metabolic process
      1 GO:0005991	trehalose metabolic process
      1 GO:0005997	xylulose metabolic process
      1 GO:0005999	xylulose biosynthetic process
      1 GO:0006001	fructose catabolic process
      1 GO:0006003	fructose 2,6-bisphosphate metabolic process
      1 GO:0006011	UDP-glucose metabolic process
      1 GO:0006012	galactose metabolic process
      1 GO:0006020	inositol metabolic process
      1 GO:0006021	inositol biosynthetic process
      1 GO:0006024	glycosaminoglycan biosynthetic process
      1 GO:0006026	aminoglycan catabolic process
      1 GO:0006029	proteoglycan metabolic process
      1 GO:0006031	chitin biosynthetic process
      1 GO:0006032	chitin catabolic process
      1 GO:0006037	cell wall chitin metabolic process
      1 GO:0006038	cell wall chitin biosynthetic process
      1 GO:0006041	glucosamine metabolic process
      1 GO:0006042	glucosamine biosynthetic process
      1 GO:0006044	N-acetylglucosamine metabolic process
      1 GO:0006046	N-acetylglucosamine catabolic process
      1 GO:0006049	UDP-N-acetylglucosamine catabolic process
      1 GO:0006054	N-acetylneuraminate metabolic process
      1 GO:0006056	mannoprotein metabolic process
      1 GO:0006058	mannoprotein catabolic process
      1 GO:0006072	glycerol-3-phosphate metabolic process
      1 GO:0006086	acetyl-CoA biosynthetic process from pyruvate
      1 GO:0006098	pentose-phosphate shunt
      1 GO:0006104	succinyl-CoA metabolic process
      1 GO:0006105	succinate metabolic process
      1 GO:0006110	regulation of glycolytic process
      1 GO:0006121	mitochondrial electron transport, succinate to ubiquinone
      1 GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
      1 GO:0006127	glycerophosphate shuttle
      1 GO:0006148	inosine catabolic process
      1 GO:0006152	purine nucleoside catabolic process
      1 GO:0006177	GMP biosynthetic process
      1 GO:0006190	inosine salvage
      1 GO:0006203	dGTP catabolic process
      1 GO:0006226	dUMP biosynthetic process
      1 GO:0006227	dUDP biosynthetic process
      1 GO:0006231	dTMP biosynthetic process
      1 GO:0006233	dTDP biosynthetic process
      1 GO:0006235	dTTP biosynthetic process
      1 GO:0006241	CTP biosynthetic process
      1 GO:0006264	mitochondrial DNA replication
      1 GO:0006266	DNA ligation
      1 GO:0006285	base-excision repair, AP site formation
      1 GO:0006286	base-excision repair, base-free sugar-phosphate removal
      1 GO:0006287	base-excision repair, gap-filling
      1 GO:0006305	DNA alkylation
      1 GO:0006306	DNA methylation
      1 GO:0006308	DNA catabolic process
      1 GO:0006309	apoptotic DNA fragmentation
      1 GO:0006335	DNA replication-dependent nucleosome assembly
      1 GO:0006382	adenosine to inosine editing
      1 GO:0006385	transcription elongation from RNA polymerase III promoter
      1 GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation
      1 GO:0006392	transcription elongation from mitochondrial promoter
      1 GO:0006398	mRNA 3'-end processing by stem-loop binding and cleavage
      1 GO:0006409	tRNA export from nucleus
      1 GO:0006421	asparaginyl-tRNA aminoacylation
      1 GO:0006424	glutamyl-tRNA aminoacylation
      1 GO:0006426	glycyl-tRNA aminoacylation
      1 GO:0006427	histidyl-tRNA aminoacylation
      1 GO:0006429	leucyl-tRNA aminoacylation
      1 GO:0006430	lysyl-tRNA aminoacylation
      1 GO:0006431	methionyl-tRNA aminoacylation
      1 GO:0006433	prolyl-tRNA aminoacylation
      1 GO:0006435	threonyl-tRNA aminoacylation
