      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0005290	L-histidine transmembrane transporter activity
      1 GO:0005292	high-affinity lysine transmembrane transporter activity
      1 GO:0005319	lipid transporter activity
      1 GO:0005342	organic acid transmembrane transporter activity
      1 GO:0005484	SNAP receptor activity
      1 GO:0005496	steroid binding
      1 GO:0005548	phospholipid transporter activity
      1 GO:0005618	cell wall
      1 GO:0005628	prospore membrane
      1 GO:0005681	spliceosomal complex
      1 GO:0005688	U6 snRNP
      1 GO:0005697	telomerase holoenzyme complex
      1 GO:0005732	small nucleolar ribonucleoprotein complex
      1 GO:0005758	mitochondrial intermembrane space
      1 GO:0005791	rough endoplasmic reticulum
      1 GO:0005797	Golgi medial cisterna
      1 GO:0005798	Golgi-associated vesicle
      1 GO:0005801	cis-Golgi network
      1 GO:0005813	centrosome
      1 GO:0005875	microtubule associated complex
      1 GO:0005880	nuclear microtubule
      1 GO:0005901	caveola
      1 GO:0005911	cell-cell junction
      1 GO:0005929	cilium
      1 GO:0005940	septin ring
      1 GO:0006066	alcohol metabolic process
      1 GO:0006071	glycerol metabolic process
      1 GO:0006072	glycerol-3-phosphate metabolic process
      1 GO:0006077	(1->6)-beta-D-glucan metabolic process
      1 GO:0006078	(1->6)-beta-D-glucan biosynthetic process
      1 GO:0006090	pyruvate metabolic process
      1 GO:0006094	gluconeogenesis
      1 GO:0006107	oxaloacetate metabolic process
      1 GO:0006109	regulation of carbohydrate metabolic process
      1 GO:0006110	regulation of glycolytic process
      1 GO:0006112	energy reserve metabolic process
      1 GO:0006206	pyrimidine nucleobase metabolic process
      1 GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
      1 GO:0006213	pyrimidine nucleoside metabolic process
      1 GO:0006220	pyrimidine nucleotide metabolic process
      1 GO:0006221	pyrimidine nucleotide biosynthetic process
      1 GO:0006271	DNA strand elongation involved in DNA replication
      1 GO:0006273	lagging strand elongation
      1 GO:0006275	regulation of DNA replication
      1 GO:0006298	mismatch repair
      1 GO:0006302	double-strand break repair
      1 GO:0006304	DNA modification
      1 GO:0006305	DNA alkylation
      1 GO:0006306	DNA methylation
      1 GO:0006310	DNA recombination
      1 GO:0006312	mitotic recombination
      1 GO:0006334	nucleosome assembly
      1 GO:0006336	DNA replication-independent nucleosome assembly
      1 GO:0006337	nucleosome disassembly
      1 GO:0006351	transcription, DNA-templated
      1 GO:0006354	DNA-templated transcription, elongation
      1 GO:0006356	regulation of transcription by RNA polymerase I
      1 GO:0006390	mitochondrial transcription
      1 GO:0006392	transcription elongation from mitochondrial promoter
      1 GO:0006406	mRNA export from nucleus
      1 GO:0006414	translational elongation
      1 GO:0006418	tRNA aminoacylation for protein translation
      1 GO:0006437	tyrosyl-tRNA aminoacylation
      1 GO:0006448	regulation of translational elongation
      1 GO:0006451	translational readthrough
      1 GO:0006497	protein lipidation
      1 GO:0006525	arginine metabolic process
      1 GO:0006526	arginine biosynthetic process
      1 GO:0006531	aspartate metabolic process
      1 GO:0006534	cysteine metabolic process
      1 GO:0006553	lysine metabolic process
      1 GO:0006560	proline metabolic process
      1 GO:0006561	proline biosynthetic process
      1 GO:0006566	threonine metabolic process
      1 GO:0006568	tryptophan metabolic process
      1 GO:0006570	tyrosine metabolic process
      1 GO:0006572	tyrosine catabolic process
      1 GO:0006576	cellular biogenic amine metabolic process
      1 GO:0006586	indolalkylamine metabolic process
      1 GO:0006606	protein import into nucleus
      1 GO:0006636	unsaturated fatty acid biosynthetic process
      1 GO:0006637	acyl-CoA metabolic process
      1 GO:0006641	triglyceride metabolic process
      1 GO:0006650	glycerophospholipid metabolic process
      1 GO:0006651	diacylglycerol biosynthetic process
      1 GO:0006658	phosphatidylserine metabolic process
      1 GO:0006664	glycolipid metabolic process
      1 GO:0006665	sphingolipid metabolic process
      1 GO:0006692	prostanoid metabolic process
      1 GO:0006693	prostaglandin metabolic process
      1 GO:0006694	steroid biosynthetic process
      1 GO:0006723	cuticle hydrocarbon biosynthetic process
      1 GO:0006733	obsolete oxidoreduction coenzyme metabolic process
      1 GO:0006734	NADH metabolic process
      1 GO:0006750	glutathione biosynthetic process
      1 GO:0006760	folic acid-containing compound metabolic process
      1 GO:0006778	porphyrin-containing compound metabolic process
      1 GO:0006787	porphyrin-containing compound catabolic process
      1 GO:0006788	heme oxidation
      1 GO:0006798	polyphosphate catabolic process
      1 GO:0006839	mitochondrial transport
      1 GO:0006844	acyl carnitine transport
      1 GO:0006855	drug transmembrane transport
      1 GO:0006865	amino acid transport
      1 GO:0006873	cellular ion homeostasis
      1 GO:0006875	cellular metal ion homeostasis
      1 GO:0006879	cellular iron ion homeostasis
      1 GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
      1 GO:0006891	intra-Golgi vesicle-mediated transport
      1 GO:0006893	Golgi to plasma membrane transport
      1 GO:0006896	Golgi to vacuole transport
      1 GO:0006897	endocytosis
      1 GO:0006903	vesicle targeting
      1 GO:0006904	vesicle docking involved in exocytosis
      1 GO:0006906	vesicle fusion
      1 GO:0006909	phagocytosis
      1 GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process
      1 GO:0006959	humoral immune response
      1 GO:0006972	hyperosmotic response
      1 GO:0006984	ER-nucleus signaling pathway
      1 GO:0006986	response to unfolded protein
      1 GO:0006991	response to sterol depletion
      1 GO:0006995	cellular response to nitrogen starvation
      1 GO:0007000	nucleolus organization
      1 GO:0007006	mitochondrial membrane organization
      1 GO:0007007	inner mitochondrial membrane organization
      1 GO:0007010	cytoskeleton organization
      1 GO:0007032	endosome organization
      1 GO:0007040	lysosome organization
      1 GO:0007088	regulation of mitotic nuclear division
      1 GO:0007093	mitotic cell cycle checkpoint
      1 GO:0007096	regulation of exit from mitosis
      1 GO:0007114	cell budding
      1 GO:0007117	budding cell bud growth
      1 GO:0007167	enzyme linked receptor protein signaling pathway
      1 GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway
      1 GO:0007186	G protein-coupled receptor signaling pathway
      1 GO:0007215	glutamate receptor signaling pathway
      1 GO:0007216	G protein-coupled glutamate receptor signaling pathway
      1 GO:0007254	JNK cascade
      1 GO:0007256	activation of JNKK activity
      1 GO:0007286	spermatid development
      1 GO:0007289	spermatid nucleus differentiation
      1 GO:0007292	female gamete generation
      1 GO:0007297	ovarian follicle cell migration
      1 GO:0007300	ovarian nurse cell to oocyte transport
      1 GO:0007303	cytoplasmic transport, nurse cell to oocyte
      1 GO:0007338	single fertilization
      1 GO:0007389	pattern specification process
      1 GO:0007398	ectoderm development
      1 GO:0007405	neuroblast proliferation
      1 GO:0007409	axonogenesis
      1 GO:0007411	axon guidance
      1 GO:0007422	peripheral nervous system development
      1 GO:0007439	ectodermal digestive tract development
      1 GO:0007565	female pregnancy
      1 GO:0007569	cell aging
      1 GO:0007571	age-dependent general metabolic decline
      1 GO:0007588	excretion
      1 GO:0007589	body fluid secretion
      1 GO:0007595	lactation
      1 GO:0007611	learning or memory
      1 GO:0007613	memory
      1 GO:0007617	mating behavior
      1 GO:0007618	mating
      1 GO:0007619	courtship behavior
      1 GO:0007626	locomotory behavior
      1 GO:0007631	feeding behavior
      1 GO:0008017	microtubule binding
      1 GO:0008049	male courtship behavior
      1 GO:0008092	cytoskeletal protein binding
      1 GO:0008097	5S rRNA binding
      1 GO:0008170	N-methyltransferase activity
      1 GO:0008175	tRNA methyltransferase activity
      1 GO:0008186	RNA-dependent ATPase activity
      1 GO:0008194	UDP-glycosyltransferase activity
      1 GO:0008195	phosphatidate phosphatase activity
      1 GO:0008202	steroid metabolic process
      1 GO:0008235	metalloexopeptidase activity
      1 GO:0008238	exopeptidase activity
      1 GO:0008276	protein methyltransferase activity
      1 GO:0008378	galactosyltransferase activity
      1 GO:0008417	fucosyltransferase activity
      1 GO:0008432	JUN kinase binding
      1 GO:0008483	transaminase activity
      1 GO:0008509	anion transmembrane transporter activity
      1 GO:0008514	organic anion transmembrane transporter activity
      1 GO:0008526	phosphatidylinositol transfer activity
      1 GO:0008544	epidermis development
      1 GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress
      1 GO:0008637	apoptotic mitochondrial changes
      1 GO:0008649	rRNA methyltransferase activity
      1 GO:0008654	phospholipid biosynthetic process
      1 GO:0008663	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity
      1 GO:0008970	phospholipase A1 activity
      1 GO:0009073	aromatic amino acid family biosynthetic process
      1 GO:0009074	aromatic amino acid family catabolic process
      1 GO:0009085	lysine biosynthetic process
      1 GO:0009088	threonine biosynthetic process
      1 GO:0009089	lysine biosynthetic process via diaminopimelate
      1 GO:0009090	homoserine biosynthetic process
      1 GO:0009102	biotin biosynthetic process
      1 GO:0009109	obsolete coenzyme catabolic process
      1 GO:0009110	vitamin biosynthetic process
      1 GO:0009112	nucleobase metabolic process
      1 GO:0009116	nucleoside metabolic process
      1 GO:0009123	nucleoside monophosphate metabolic process
      1 GO:0009126	purine nucleoside monophosphate metabolic process
      1 GO:0009141	nucleoside triphosphate metabolic process
      1 GO:0009144	purine nucleoside triphosphate metabolic process
      1 GO:0009161	ribonucleoside monophosphate metabolic process
      1 GO:0009163	nucleoside biosynthetic process
      1 GO:0009166	nucleotide catabolic process
      1 GO:0009167	purine ribonucleoside monophosphate metabolic process
      1 GO:0009199	ribonucleoside triphosphate metabolic process
      1 GO:0009205	purine ribonucleoside triphosphate metabolic process
      1 GO:0009218	pyrimidine ribonucleotide metabolic process
      1 GO:0009220	pyrimidine ribonucleotide biosynthetic process
      1 GO:0009247	glycolipid biosynthetic process
      1 GO:0009268	response to pH
      1 GO:0009295	nucleoid
      1 GO:0009306	protein secretion
      1 GO:0009308	amine metabolic process
      1 GO:0009309	amine biosynthetic process
      1 GO:0009374	biotin binding
      1 GO:0009396	folic acid-containing compound biosynthetic process
      1 GO:0009403	toxin biosynthetic process
      1 GO:0009405	pathogenesis
      1 GO:0009409	response to cold
      1 GO:0009506	plasmodesma
      1 GO:0009555	pollen development
      1 GO:0009566	fertilization
      1 GO:0009585	red, far-red light phototransduction
      1 GO:0009590	detection of gravity
      1 GO:0009606	tropism
      1 GO:0009612	response to mechanical stimulus
      1 GO:0009629	response to gravity
      1 GO:0009630	gravitropism
      1 GO:0009635	response to herbicide
      1 GO:0009639	response to red or far red light
      1 GO:0009660	amyloplast organization
      1 GO:0009705	plant-type vacuole membrane
      1 GO:0009720	detection of hormone stimulus
      1 GO:0009723	response to ethylene
      1 GO:0009726	detection of endogenous stimulus
      1 GO:0009729	detection of brassinosteroid stimulus
      1 GO:0009733	response to auxin
      1 GO:0009737	response to abscisic acid
      1 GO:0009741	response to brassinosteroid
      1 GO:0009742	brassinosteroid mediated signaling pathway
      1 GO:0009743	response to carbohydrate
      1 GO:0009832	plant-type cell wall biogenesis
      1 GO:0009838	abscission
      1 GO:0009856	pollination
      1 GO:0009860	pollen tube growth
      1 GO:0009908	flower development
      1 GO:0009909	regulation of flower development
      1 GO:0009911	positive regulation of flower development
      1 GO:0009914	hormone transport
      1 GO:0009926	auxin polar transport
      1 GO:0009932	cell tip growth
      1 GO:0009933	meristem structural organization
      1 GO:0009934	regulation of meristem structural organization
      1 GO:0009959	negative gravitropism
      1 GO:0009969	xyloglucan biosynthetic process
      1 GO:0009986	cell surface
      1 GO:0010008	endosome membrane
      1 GO:0010014	meristem initiation
      1 GO:0010015	root morphogenesis
      1 GO:0010017	red or far-red light signaling pathway
      1 GO:0010026	trichome differentiation
      1 GO:0010042	response to manganese ion
      1 GO:0010043	response to zinc ion
      1 GO:0010051	xylem and phloem pattern formation
      1 GO:0010053	root epidermal cell differentiation
      1 GO:0010072	primary shoot apical meristem specification
      1 GO:0010087	phloem or xylem histogenesis
      1 GO:0010089	xylem development
      1 GO:0010090	trichome morphogenesis
      1 GO:0010091	trichome branching
      1 GO:0010103	stomatal complex morphogenesis
      1 GO:0010114	response to red light
      1 GO:0010181	FMN binding
      1 GO:0010212	response to ionizing radiation
      1 GO:0010218	response to far red light
      1 GO:0010227	floral organ abscission
      1 GO:0010256	endomembrane system organization
      1 GO:0010262	somatic embryogenesis
      1 GO:0010269	response to selenium ion
      1 GO:0010332	response to gamma radiation
      1 GO:0010374	stomatal complex development
      1 GO:0010376	stomatal complex formation
      1 GO:0010383	cell wall polysaccharide metabolic process
      1 GO:0010389	regulation of G2/M transition of mitotic cell cycle
      1 GO:0010410	hemicellulose metabolic process
      1 GO:0010411	xyloglucan metabolic process
      1 GO:0010440	stomatal lineage progression
      1 GO:0010444	guard mother cell differentiation
      1 GO:0010487	thermospermine synthase activity
      1 GO:0010494	cytoplasmic stress granule
      1 GO:0010501	RNA secondary structure unwinding
      1 GO:0010507	negative regulation of autophagy
      1 GO:0010563	negative regulation of phosphorus metabolic process
      1 GO:0010594	regulation of endothelial cell migration
      1 GO:0010595	positive regulation of endothelial cell migration
      1 GO:0010631	epithelial cell migration
      1 GO:0010632	regulation of epithelial cell migration
      1 GO:0010634	positive regulation of epithelial cell migration
      1 GO:0010635	regulation of mitochondrial fusion
      1 GO:0010637	negative regulation of mitochondrial fusion
      1 GO:0010656	negative regulation of muscle cell apoptotic process
      1 GO:0010661	positive regulation of muscle cell apoptotic process
      1 GO:0010668	ectodermal cell differentiation
      1 GO:0010717	regulation of epithelial to mesenchymal transition
      1 GO:0010718	positive regulation of epithelial to mesenchymal transition
      1 GO:0010738	regulation of protein kinase A signaling
      1 GO:0010739	positive regulation of protein kinase A signaling
      1 GO:0010760	negative regulation of macrophage chemotaxis
      1 GO:0010823	negative regulation of mitochondrion organization
      1 GO:0010827	regulation of glucose transmembrane transport
      1 GO:0010828	positive regulation of glucose transmembrane transport
      1 GO:0010883	regulation of lipid storage
      1 GO:0010918	positive regulation of mitochondrial membrane potential
      1 GO:0010927	cellular component assembly involved in morphogenesis
      1 GO:0010950	positive regulation of endopeptidase activity
      1 GO:0010952	positive regulation of peptidase activity
      1 GO:0014009	glial cell proliferation
      1 GO:0014010	Schwann cell proliferation
      1 GO:0014015	positive regulation of gliogenesis
      1 GO:0014805	smooth muscle adaptation
      1 GO:0014806	smooth muscle hyperplasia
      1 GO:0014823	response to activity
      1 GO:0014834	skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration
      1 GO:0014887	cardiac muscle adaptation
      1 GO:0014888	striated muscle adaptation
      1 GO:0014896	muscle hypertrophy
      1 GO:0014897	striated muscle hypertrophy
      1 GO:0014898	cardiac muscle hypertrophy in response to stress
      1 GO:0014900	muscle hyperplasia
      1 GO:0014910	regulation of smooth muscle cell migration
      1 GO:0014911	positive regulation of smooth muscle cell migration
      1 GO:0015171	amino acid transmembrane transporter activity
      1 GO:0015174	basic amino acid transmembrane transporter activity
      1 GO:0015179	L-amino acid transmembrane transporter activity
      1 GO:0015181	arginine transmembrane transporter activity
      1 GO:0015189	L-lysine transmembrane transporter activity
      1 GO:0015203	polyamine transmembrane transporter activity
      1 GO:0015204	urea transmembrane transporter activity
      1 GO:0015227	acyl carnitine transmembrane transporter activity
      1 GO:0015291	secondary active transmembrane transporter activity
      1 GO:0015293	symporter activity
      1 GO:0015318	inorganic molecular entity transmembrane transporter activity
      1 GO:0015485	cholesterol binding
      1 GO:0015489	putrescine transmembrane transporter activity
      1 GO:0015606	spermidine transmembrane transporter activity
      1 GO:0015631	tubulin binding
      1 GO:0015645	fatty acid ligase activity
      1 GO:0015651	quaternary ammonium group transmembrane transporter activity
      1 GO:0015697	quaternary ammonium group transport
      1 GO:0015748	organophosphate ester transport
      1 GO:0015802	basic amino acid transport
      1 GO:0015807	L-amino acid transport
      1 GO:0015809	arginine transport
      1 GO:0015822	ornithine transport
      1 GO:0015840	urea transport
      1 GO:0015846	polyamine transport
      1 GO:0015847	putrescine transport
      1 GO:0015848	spermidine transport
      1 GO:0015849	organic acid transport
      1 GO:0015893	drug transport
      1 GO:0015914	phospholipid transport
      1 GO:0015926	glucosidase activity
      1 GO:0015936	coenzyme A metabolic process
      1 GO:0015937	coenzyme A biosynthetic process
      1 GO:0016006	Nebenkern
      1 GO:0016036	cellular response to phosphate starvation
      1 GO:0016042	lipid catabolic process
      1 GO:0016052	carbohydrate catabolic process
      1 GO:0016075	rRNA catabolic process
      1 GO:0016125	sterol metabolic process
      1 GO:0016126	sterol biosynthetic process
      1 GO:0016236	macroautophagy
      1 GO:0016242	negative regulation of macroautophagy
      1 GO:0016263	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity
      1 GO:0016278	lysine N-methyltransferase activity
      1 GO:0016279	protein-lysine N-methyltransferase activity
      1 GO:0016405	CoA-ligase activity
      1 GO:0016504	peptidase activator activity
      1 GO:0016572	histone phosphorylation
      1 GO:0016574	histone ubiquitination
      1 GO:0016592	mediator complex
      1 GO:0016607	nuclear speck
      1 GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
      1 GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
      1 GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
      1 GO:0016635	oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor
      1 GO:0016652	oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor
      1 GO:0016667	oxidoreductase activity, acting on a sulfur group of donors
      1 GO:0016670	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor
      1 GO:0016706	2-oxoglutarate-dependent dioxygenase activity
      1 GO:0016721	oxidoreductase activity, acting on superoxide radicals as acceptor
      1 GO:0016763	transferase activity, transferring pentosyl groups
      1 GO:0016768	spermine synthase activity
      1 GO:0016769	transferase activity, transferring nitrogenous groups
      1 GO:0016774	phosphotransferase activity, carboxyl group as acceptor
      1 GO:0016779	nucleotidyltransferase activity
      1 GO:0016798	hydrolase activity, acting on glycosyl bonds
      1 GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds
      1 GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances
      1 GO:0016854	racemase and epimerase activity
      1 GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
      1 GO:0016862	intramolecular oxidoreductase activity, interconverting keto- and enol-groups
      1 GO:0016863	intramolecular oxidoreductase activity, transposing C=C bonds
      1 GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds
      1 GO:0016875	ligase activity, forming carbon-oxygen bonds
      1 GO:0016877	ligase activity, forming carbon-sulfur bonds
      1 GO:0016878	acid-thiol ligase activity
