      1 GO:0000018	regulation of DNA recombination
      1 GO:0002283	neutrophil activation involved in immune response
      1 GO:0002366	leukocyte activation involved in immune response
      1 GO:0002443	leukocyte mediated immunity
      1 GO:0002444	myeloid leukocyte mediated immunity
      1 GO:0002446	neutrophil mediated immunity
      1 GO:0002520	immune system development
      1 GO:0002684	positive regulation of immune system process
      1 GO:0002685	regulation of leukocyte migration
      1 GO:0002686	negative regulation of leukocyte migration
      1 GO:0002694	regulation of leukocyte activation
      1 GO:0002695	negative regulation of leukocyte activation
      1 GO:0002697	regulation of immune effector process
      1 GO:0002698	negative regulation of immune effector process
      1 GO:0002699	positive regulation of immune effector process
      1 GO:0002700	regulation of production of molecular mediator of immune response
      1 GO:0002701	negative regulation of production of molecular mediator of immune response
      1 GO:0002703	regulation of leukocyte mediated immunity
      1 GO:0002704	negative regulation of leukocyte mediated immunity
      1 GO:0002718	regulation of cytokine production involved in immune response
      1 GO:0002719	negative regulation of cytokine production involved in immune response
      1 GO:0002790	peptide secretion
      1 GO:0002886	regulation of myeloid leukocyte mediated immunity
      1 GO:0002887	negative regulation of myeloid leukocyte mediated immunity
      1 GO:0003007	heart morphogenesis
      1 GO:0003032	detection of oxygen
      1 GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal
      1 GO:0003068	regulation of systemic arterial blood pressure by acetylcholine
      1 GO:0003069	acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure
      1 GO:0003070	regulation of systemic arterial blood pressure by neurotransmitter
      1 GO:0003073	regulation of systemic arterial blood pressure
      1 GO:0003085	negative regulation of systemic arterial blood pressure
      1 GO:0003299	muscle hypertrophy in response to stress
      1 GO:0003300	cardiac muscle hypertrophy
      1 GO:0003360	brainstem development
      1 GO:0003682	chromatin binding
      1 GO:0003684	damaged DNA binding
      1 GO:0003714	transcription corepressor activity
      1 GO:0003724	RNA helicase activity
      1 GO:0003743	translation initiation factor activity
      1 GO:0003756	protein disulfide isomerase activity
      1 GO:0003905	alkylbase DNA N-glycosylase activity
      1 GO:0003937	IMP cyclohydrolase activity
      1 GO:0003962	cystathionine gamma-synthase activity
      1 GO:0003978	UDP-glucose 4-epimerase activity
      1 GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
      1 GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
      1 GO:0004072	aspartate kinase activity
      1 GO:0004121	cystathionine beta-lyase activity
      1 GO:0004123	cystathionine gamma-lyase activity
      1 GO:0004130	cytochrome-c peroxidase activity
      1 GO:0004152	dihydroorotate dehydrogenase activity
      1 GO:0004309	exopolyphosphatase activity
      1 GO:0004326	tetrahydrofolylpolyglutamate synthase activity
      1 GO:0004334	fumarylacetoacetase activity
      1 GO:0004370	glycerol kinase activity
      1 GO:0004386	helicase activity
      1 GO:0004392	heme oxygenase (decyclizing) activity
      1 GO:0004427	inorganic diphosphatase activity
      1 GO:0004465	lipoprotein lipase activity
      1 GO:0004520	endodeoxyribonuclease activity
      1 GO:0004521	endoribonuclease activity
      1 GO:0004523	RNA-DNA hybrid ribonuclease activity
      1 GO:0004536	deoxyribonuclease activity
      1 GO:0004540	ribonuclease activity
      1 GO:0004630	phospholipase D activity
      1 GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
      1 GO:0004693	cyclin-dependent protein serine/threonine kinase activity
      1 GO:0004706	JUN kinase kinase kinase activity
      1 GO:0004709	MAP kinase kinase kinase activity
      1 GO:0004713	protein tyrosine kinase activity
      1 GO:0004784	superoxide dismutase activity
      1 GO:0004843	thiol-dependent ubiquitin-specific protease activity
      1 GO:0004857	enzyme inhibitor activity
      1 GO:0005216	ion channel activity
      1 GO:0005244	voltage-gated ion channel activity
      1 GO:0005247	voltage-gated chloride channel activity
      1 GO:0005253	anion channel activity
      1 GO:0005254	chloride channel activity
      1 GO:0005287	high-affinity basic amino acid transmembrane transporter activity
      1 GO:0005289	high-affinity arginine transmembrane transporter activity
      1 GO:0005290	L-histidine transmembrane transporter activity
      1 GO:0005292	high-affinity lysine transmembrane transporter activity
      1 GO:0005484	SNAP receptor activity
      1 GO:0005764	lysosome
      1 GO:0005765	lysosomal membrane
      1 GO:0005770	late endosome
      1 GO:0005791	rough endoplasmic reticulum
      1 GO:0005797	Golgi medial cisterna
      1 GO:0005798	Golgi-associated vesicle
      1 GO:0005801	cis-Golgi network
      1 GO:0005811	lipid droplet
      1 GO:0005816	spindle pole body
      1 GO:0005819	spindle
      1 GO:0005875	microtubule associated complex
      1 GO:0005876	spindle microtubule
      1 GO:0005901	caveola
      1 GO:0005929	cilium
      1 GO:0005934	cellular bud tip
      1 GO:0005935	cellular bud neck
      1 GO:0005938	cell cortex
      1 GO:0005976	polysaccharide metabolic process
      1 GO:0006066	alcohol metabolic process
      1 GO:0006071	glycerol metabolic process
      1 GO:0006072	glycerol-3-phosphate metabolic process
      1 GO:0006073	cellular glucan metabolic process
      1 GO:0006112	energy reserve metabolic process
      1 GO:0006140	regulation of nucleotide metabolic process
      1 GO:0006188	IMP biosynthetic process
      1 GO:0006189	'de novo' IMP biosynthetic process
      1 GO:0006206	pyrimidine nucleobase metabolic process
      1 GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
      1 GO:0006213	pyrimidine nucleoside metabolic process
      1 GO:0006220	pyrimidine nucleotide metabolic process
      1 GO:0006221	pyrimidine nucleotide biosynthetic process
      1 GO:0006271	DNA strand elongation involved in DNA replication
      1 GO:0006273	lagging strand elongation
      1 GO:0006275	regulation of DNA replication
      1 GO:0006282	regulation of DNA repair
      1 GO:0006284	base-excision repair
      1 GO:0006285	base-excision repair, AP site formation
      1 GO:0006298	mismatch repair
      1 GO:0006301	postreplication repair
      1 GO:0006305	DNA alkylation
      1 GO:0006306	DNA methylation
      1 GO:0006307	DNA dealkylation involved in DNA repair
      1 GO:0006310	DNA recombination
      1 GO:0006356	regulation of transcription by RNA polymerase I
      1 GO:0006397	mRNA processing
      1 GO:0006403	RNA localization
      1 GO:0006405	RNA export from nucleus
      1 GO:0006406	mRNA export from nucleus
      1 GO:0006448	regulation of translational elongation
      1 GO:0006482	protein demethylation
      1 GO:0006497	protein lipidation
      1 GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
      1 GO:0006525	arginine metabolic process
      1 GO:0006526	arginine biosynthetic process
      1 GO:0006531	aspartate metabolic process
      1 GO:0006534	cysteine metabolic process
      1 GO:0006553	lysine metabolic process
      1 GO:0006560	proline metabolic process
      1 GO:0006561	proline biosynthetic process
      1 GO:0006566	threonine metabolic process
      1 GO:0006570	tyrosine metabolic process
      1 GO:0006572	tyrosine catabolic process
      1 GO:0006611	protein export from nucleus
      1 GO:0006633	fatty acid biosynthetic process
      1 GO:0006637	acyl-CoA metabolic process
      1 GO:0006641	triglyceride metabolic process
      1 GO:0006643	membrane lipid metabolic process
      1 GO:0006644	phospholipid metabolic process
      1 GO:0006651	diacylglycerol biosynthetic process
      1 GO:0006664	glycolipid metabolic process
      1 GO:0006690	icosanoid metabolic process
      1 GO:0006723	cuticle hydrocarbon biosynthetic process
      1 GO:0006733	obsolete oxidoreduction coenzyme metabolic process
      1 GO:0006734	NADH metabolic process
      1 GO:0006750	glutathione biosynthetic process
      1 GO:0006768	biotin metabolic process
      1 GO:0006778	porphyrin-containing compound metabolic process
      1 GO:0006787	porphyrin-containing compound catabolic process
      1 GO:0006788	heme oxidation
      1 GO:0006798	polyphosphate catabolic process
      1 GO:0006799	polyphosphate biosynthetic process
      1 GO:0006821	chloride transport
      1 GO:0006844	acyl carnitine transport
      1 GO:0006862	nucleotide transport
      1 GO:0006873	cellular ion homeostasis
      1 GO:0006875	cellular metal ion homeostasis
      1 GO:0006879	cellular iron ion homeostasis
      1 GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
      1 GO:0006891	intra-Golgi vesicle-mediated transport
      1 GO:0006892	post-Golgi vesicle-mediated transport
      1 GO:0006896	Golgi to vacuole transport
      1 GO:0006900	vesicle budding from membrane
      1 GO:0006901	vesicle coating
      1 GO:0006904	vesicle docking involved in exocytosis
      1 GO:0006909	phagocytosis
      1 GO:0006913	nucleocytoplasmic transport
      1 GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process
      1 GO:0006954	inflammatory response
      1 GO:0006959	humoral immune response
      1 GO:0006972	hyperosmotic response
      1 GO:0006986	response to unfolded protein
      1 GO:0006995	cellular response to nitrogen starvation
      1 GO:0007010	cytoskeleton organization
      1 GO:0007018	microtubule-based movement
      1 GO:0007020	microtubule nucleation
      1 GO:0007030	Golgi organization
      1 GO:0007032	endosome organization
      1 GO:0007040	lysosome organization
      1 GO:0007051	spindle organization
      1 GO:0007059	chromosome segregation
      1 GO:0007088	regulation of mitotic nuclear division
      1 GO:0007093	mitotic cell cycle checkpoint
      1 GO:0007096	regulation of exit from mitosis
      1 GO:0007127	meiosis I
      1 GO:0007129	homologous chromosome pairing at meiosis
      1 GO:0007163	establishment or maintenance of cell polarity
      1 GO:0007164	establishment of tissue polarity
      1 GO:0007186	G protein-coupled receptor signaling pathway
      1 GO:0007215	glutamate receptor signaling pathway
      1 GO:0007216	G protein-coupled glutamate receptor signaling pathway
      1 GO:0007254	JNK cascade
      1 GO:0007256	activation of JNKK activity
      1 GO:0007398	ectoderm development
      1 GO:0007405	neuroblast proliferation
      1 GO:0007422	peripheral nervous system development
      1 GO:0007423	sensory organ development
      1 GO:0007439	ectodermal digestive tract development
      1 GO:0007446	imaginal disc growth
      1 GO:0007528	neuromuscular junction development
      1 GO:0007555	regulation of ecdysteroid secretion
      1 GO:0007562	eclosion
      1 GO:0007565	female pregnancy
      1 GO:0007571	age-dependent general metabolic decline
      1 GO:0007588	excretion
      1 GO:0007589	body fluid secretion
      1 GO:0007595	lactation
      1 GO:0007622	rhythmic behavior
      1 GO:0007623	circadian rhythm
      1 GO:0008017	microtubule binding
      1 GO:0008047	enzyme activator activity
      1 GO:0008062	eclosion rhythm
      1 GO:0008064	regulation of actin polymerization or depolymerization
      1 GO:0008081	phosphoric diester hydrolase activity
      1 GO:0008088	axo-dendritic transport
      1 GO:0008092	cytoskeletal protein binding
      1 GO:0008097	5S rRNA binding
      1 GO:0008135	translation factor activity, RNA binding
      1 GO:0008170	N-methyltransferase activity
      1 GO:0008173	RNA methyltransferase activity
      1 GO:0008175	tRNA methyltransferase activity
      1 GO:0008186	RNA-dependent ATPase activity
      1 GO:0008194	UDP-glycosyltransferase activity
      1 GO:0008195	phosphatidate phosphatase activity
      1 GO:0008214	protein dealkylation
      1 GO:0008234	cysteine-type peptidase activity
      1 GO:0008270	zinc ion binding
      1 GO:0008276	protein methyltransferase activity
      1 GO:0008289	lipid binding
      1 GO:0008308	voltage-gated anion channel activity
      1 GO:0008378	galactosyltransferase activity
      1 GO:0008417	fucosyltransferase activity
      1 GO:0008432	JUN kinase binding
      1 GO:0008483	transaminase activity
      1 GO:0008544	epidermis development
      1 GO:0008608	attachment of spindle microtubules to kinetochore
      1 GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress
      1 GO:0008637	apoptotic mitochondrial changes
      1 GO:0008725	DNA-3-methyladenine glycosylase activity
      1 GO:0008821	crossover junction endodeoxyribonuclease activity
      1 GO:0008970	phospholipase A1 activity
      1 GO:0009060	aerobic respiration
      1 GO:0009072	aromatic amino acid family metabolic process
      1 GO:0009074	aromatic amino acid family catabolic process
      1 GO:0009085	lysine biosynthetic process
      1 GO:0009088	threonine biosynthetic process
      1 GO:0009089	lysine biosynthetic process via diaminopimelate
      1 GO:0009090	homoserine biosynthetic process
      1 GO:0009102	biotin biosynthetic process
      1 GO:0009109	obsolete coenzyme catabolic process
      1 GO:0009110	vitamin biosynthetic process
      1 GO:0009112	nucleobase metabolic process
      1 GO:0009124	nucleoside monophosphate biosynthetic process
      1 GO:0009127	purine nucleoside monophosphate biosynthetic process
      1 GO:0009141	nucleoside triphosphate metabolic process
      1 GO:0009144	purine nucleoside triphosphate metabolic process
      1 GO:0009156	ribonucleoside monophosphate biosynthetic process
      1 GO:0009163	nucleoside biosynthetic process
      1 GO:0009166	nucleotide catabolic process
      1 GO:0009168	purine ribonucleoside monophosphate biosynthetic process
      1 GO:0009199	ribonucleoside triphosphate metabolic process
      1 GO:0009205	purine ribonucleoside triphosphate metabolic process
      1 GO:0009218	pyrimidine ribonucleotide metabolic process
      1 GO:0009220	pyrimidine ribonucleotide biosynthetic process
      1 GO:0009235	cobalamin metabolic process
      1 GO:0009247	glycolipid biosynthetic process
      1 GO:0009250	glucan biosynthetic process
      1 GO:0009268	response to pH
      1 GO:0009295	nucleoid
      1 GO:0009306	protein secretion
      1 GO:0009403	toxin biosynthetic process
      1 GO:0009405	pathogenesis
      1 GO:0009408	response to heat
      1 GO:0009409	response to cold
      1 GO:0009533	chloroplast stromal thylakoid
      1 GO:0009534	chloroplast thylakoid
      1 GO:0009553	embryo sac development
      1 GO:0009555	pollen development
      1 GO:0009561	megagametogenesis
      1 GO:0009585	red, far-red light phototransduction
      1 GO:0009590	detection of gravity
      1 GO:0009593	detection of chemical stimulus
      1 GO:0009606	tropism
      1 GO:0009629	response to gravity
      1 GO:0009630	gravitropism
      1 GO:0009635	response to herbicide
      1 GO:0009639	response to red or far red light
      1 GO:0009660	amyloplast organization
      1 GO:0009668	plastid membrane organization
      1 GO:0009705	plant-type vacuole membrane
      1 GO:0009723	response to ethylene
      1 GO:0009737	response to abscisic acid
      1 GO:0009741	response to brassinosteroid
      1 GO:0009743	response to carbohydrate
      1 GO:0009753	response to jasmonic acid
      1 GO:0009832	plant-type cell wall biogenesis
      1 GO:0009838	abscission
      1 GO:0009856	pollination
      1 GO:0009860	pollen tube growth
      1 GO:0009867	jasmonic acid mediated signaling pathway
      1 GO:0009908	flower development
      1 GO:0009909	regulation of flower development
      1 GO:0009911	positive regulation of flower development
      1 GO:0009913	epidermal cell differentiation
      1 GO:0009914	hormone transport
      1 GO:0009926	auxin polar transport
      1 GO:0009932	cell tip growth
      1 GO:0009934	regulation of meristem structural organization
      1 GO:0009959	negative gravitropism
      1 GO:0009969	xyloglucan biosynthetic process
      1 GO:0010015	root morphogenesis
      1 GO:0010016	shoot system morphogenesis
      1 GO:0010017	red or far-red light signaling pathway
      1 GO:0010026	trichome differentiation
      1 GO:0010027	thylakoid membrane organization
      1 GO:0010042	response to manganese ion
      1 GO:0010043	response to zinc ion
      1 GO:0010053	root epidermal cell differentiation
      1 GO:0010087	phloem or xylem histogenesis
      1 GO:0010089	xylem development
      1 GO:0010090	trichome morphogenesis
      1 GO:0010091	trichome branching
      1 GO:0010103	stomatal complex morphogenesis
      1 GO:0010109	regulation of photosynthesis
      1 GO:0010114	response to red light
      1 GO:0010181	FMN binding
      1 GO:0010212	response to ionizing radiation
      1 GO:0010218	response to far red light
      1 GO:0010227	floral organ abscission
      1 GO:0010228	vegetative to reproductive phase transition of meristem
      1 GO:0010269	response to selenium ion
      1 GO:0010332	response to gamma radiation
      1 GO:0010374	stomatal complex development
      1 GO:0010376	stomatal complex formation
      1 GO:0010383	cell wall polysaccharide metabolic process
      1 GO:0010410	hemicellulose metabolic process
      1 GO:0010411	xyloglucan metabolic process
      1 GO:0010440	stomatal lineage progression
      1 GO:0010444	guard mother cell differentiation
      1 GO:0010487	thermospermine synthase activity
      1 GO:0010494	cytoplasmic stress granule
      1 GO:0010501	RNA secondary structure unwinding
      1 GO:0010507	negative regulation of autophagy
      1 GO:0010520	regulation of reciprocal meiotic recombination
      1 GO:0010563	negative regulation of phosphorus metabolic process
      1 GO:0010570	regulation of filamentous growth
      1 GO:0010594	regulation of endothelial cell migration
      1 GO:0010595	positive regulation of endothelial cell migration
      1 GO:0010632	regulation of epithelial cell migration
      1 GO:0010634	positive regulation of epithelial cell migration
      1 GO:0010656	negative regulation of muscle cell apoptotic process
      1 GO:0010661	positive regulation of muscle cell apoptotic process
      1 GO:0010668	ectodermal cell differentiation
      1 GO:0010717	regulation of epithelial to mesenchymal transition
      1 GO:0010718	positive regulation of epithelial to mesenchymal transition
      1 GO:0010721	negative regulation of cell development
      1 GO:0010769	regulation of cell morphogenesis involved in differentiation
      1 GO:0010771	negative regulation of cell morphogenesis involved in differentiation
      1 GO:0010845	positive regulation of reciprocal meiotic recombination
      1 GO:0010918	positive regulation of mitochondrial membrane potential
      1 GO:0010927	cellular component assembly involved in morphogenesis
      1 GO:0010950	positive regulation of endopeptidase activity
      1 GO:0010952	positive regulation of peptidase activity
      1 GO:0010959	regulation of metal ion transport
      1 GO:0010970	transport along microtubule
      1 GO:0010976	positive regulation of neuron projection development
      1 GO:0010977	negative regulation of neuron projection development
      1 GO:0014015	positive regulation of gliogenesis
      1 GO:0014805	smooth muscle adaptation
      1 GO:0014806	smooth muscle hyperplasia
      1 GO:0014823	response to activity
      1 GO:0014834	skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration
      1 GO:0014887	cardiac muscle adaptation
      1 GO:0014888	striated muscle adaptation
      1 GO:0014896	muscle hypertrophy
      1 GO:0014897	striated muscle hypertrophy
      1 GO:0014898	cardiac muscle hypertrophy in response to stress
      1 GO:0014900	muscle hyperplasia
      1 GO:0015103	inorganic anion transmembrane transporter activity
      1 GO:0015108	chloride transmembrane transporter activity
      1 GO:0015174	basic amino acid transmembrane transporter activity
      1 GO:0015181	arginine transmembrane transporter activity
      1 GO:0015184	L-cystine transmembrane transporter activity
      1 GO:0015189	L-lysine transmembrane transporter activity
      1 GO:0015203	polyamine transmembrane transporter activity
      1 GO:0015204	urea transmembrane transporter activity
      1 GO:0015215	nucleotide transmembrane transporter activity
      1 GO:0015227	acyl carnitine transmembrane transporter activity
      1 GO:0015234	thiamine transmembrane transporter activity
      1 GO:0015267	channel activity
      1 GO:0015293	symporter activity
      1 GO:0015297	antiporter activity
      1 GO:0015489	putrescine transmembrane transporter activity
      1 GO:0015605	organophosphate ester transmembrane transporter activity
      1 GO:0015606	spermidine transmembrane transporter activity
      1 GO:0015631	tubulin binding
      1 GO:0015645	fatty acid ligase activity
      1 GO:0015651	quaternary ammonium group transmembrane transporter activity
      1 GO:0015697	quaternary ammonium group transport
      1 GO:0015698	inorganic anion transport
      1 GO:0015748	organophosphate ester transport
      1 GO:0015802	basic amino acid transport
      1 GO:0015804	neutral amino acid transport
      1 GO:0015809	arginine transport
      1 GO:0015811	L-cystine transport
      1 GO:0015822	ornithine transport
      1 GO:0015840	urea transport
      1 GO:0015846	polyamine transport
      1 GO:0015847	putrescine transport
      1 GO:0015848	spermidine transport
      1 GO:0015932	nucleobase-containing compound transmembrane transporter activity
      1 GO:0015935	small ribosomal subunit
      1 GO:0015979	photosynthesis
      1 GO:0016032	viral process
      1 GO:0016036	cellular response to phosphate starvation
      1 GO:0016042	lipid catabolic process
      1 GO:0016051	carbohydrate biosynthetic process
      1 GO:0016052	carbohydrate catabolic process
      1 GO:0016055	Wnt signaling pathway
      1 GO:0016237	lysosomal microautophagy
      1 GO:0016242	negative regulation of macroautophagy
      1 GO:0016263	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity
      1 GO:0016278	lysine N-methyltransferase activity
      1 GO:0016279	protein-lysine N-methyltransferase activity
      1 GO:0016281	eukaryotic translation initiation factor 4F complex
      1 GO:0016405	CoA-ligase activity
      1 GO:0016504	peptidase activator activity
      1 GO:0016572	histone phosphorylation
      1 GO:0016574	histone ubiquitination
      1 GO:0016577	histone demethylation
      1 GO:0016579	protein deubiquitination
      1 GO:0016592	mediator complex
      1 GO:0016607	nuclear speck
      1 GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
      1 GO:0016635	oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor
      1 GO:0016670	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor
      1 GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
      1 GO:0016706	2-oxoglutarate-dependent dioxygenase activity
      1 GO:0016721	oxidoreductase activity, acting on superoxide radicals as acceptor
      1 GO:0016742	hydroxymethyl-, formyl- and related transferase activity
      1 GO:0016763	transferase activity, transferring pentosyl groups
      1 GO:0016768	spermine synthase activity
      1 GO:0016769	transferase activity, transferring nitrogenous groups
      1 GO:0016774	phosphotransferase activity, carboxyl group as acceptor
      1 GO:0016798	hydrolase activity, acting on glycosyl bonds
      1 GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
      1 GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
      1 GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
      1 GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds
      1 GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances
      1 GO:0016854	racemase and epimerase activity
      1 GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
      1 GO:0016860	intramolecular oxidoreductase activity
      1 GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds
      1 GO:0016877	ligase activity, forming carbon-sulfur bonds
      1 GO:0016878	acid-thiol ligase activity
      1 GO:0016879	ligase activity, forming carbon-nitrogen bonds
      1 GO:0016881	acid-amino acid ligase activity
      1 GO:0016889	endodeoxyribonuclease activity, producing 3'-phosphomonoesters
      1 GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters
      1 GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
      1 GO:0016894	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters
      1 GO:0016971	flavin-linked sulfhydryl oxidase activity
      1 GO:0016972	thiol oxidase activity
      1 GO:0017001	antibiotic catabolic process
      1 GO:0017148	negative regulation of translation
      1 GO:0017157	regulation of exocytosis
      1 GO:0018024	histone-lysine N-methyltransferase activity
      1 GO:0018065	obsolete protein-cofactor linkage
      1 GO:0018108	peptidyl-tyrosine phosphorylation
      1 GO:0018196	peptidyl-asparagine modification
      1 GO:0018212	peptidyl-tyrosine modification
      1 GO:0018272	protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine
      1 GO:0018279	protein N-linked glycosylation via asparagine
      1 GO:0018345	protein palmitoylation
      1 GO:0018352	protein-pyridoxal-5-phosphate linkage
      1 GO:0019058	viral life cycle
      1 GO:0019079	viral genome replication
      1 GO:0019104	DNA N-glycosylase activity
      1 GO:0019184	nonribosomal peptide biosynthetic process
      1 GO:0019202	amino acid kinase activity
      1 GO:0019238	cyclohydrolase activity
      1 GO:0019336	phenol-containing compound catabolic process
      1 GO:0019343	cysteine biosynthetic process via cystathionine
      1 GO:0019344	cysteine biosynthetic process
      1 GO:0019346	transsulfuration
      1 GO:0019362	pyridine nucleotide metabolic process
      1 GO:0019369	arachidonic acid metabolic process
      1 GO:0019400	alditol metabolic process
      1 GO:0019405	alditol catabolic process
      1 GO:0019430	removal of superoxide radicals
      1 GO:0019509	L-methionine salvage from methylthioadenosine
      1 GO:0019563	glycerol catabolic process
      1 GO:0019627	urea metabolic process
      1 GO:0019674	NAD metabolic process
      1 GO:0019684	photosynthesis, light reaction
      1 GO:0019730	antimicrobial humoral response
      1 GO:0019751	polyol metabolic process
      1 GO:0019755	one-carbon compound transport
      1 GO:0019783	ubiquitin-like protein-specific protease activity
      1 GO:0019825	oxygen binding
      1 GO:0019843	rRNA binding
      1 GO:0019856	pyrimidine nucleobase biosynthetic process
      1 GO:0019900	kinase binding
      1 GO:0019901	protein kinase binding
      1 GO:0019902	phosphatase binding
      1 GO:0019903	protein phosphatase binding
