      1 GO:0000001	mitochondrion inheritance
      1 GO:0003384	apical constriction involved in gastrulation
      1 GO:0003420	regulation of growth plate cartilage chondrocyte proliferation
      1 GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
      1 GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
      1 GO:0003921	GMP synthase activity
      1 GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
      1 GO:0003933	GTP cyclohydrolase activity
      1 GO:0003935	GTP cyclohydrolase II activity
      1 GO:0003941	L-serine ammonia-lyase activity
      1 GO:0003950	NAD+ ADP-ribosyltransferase activity
      1 GO:0003951	NAD+ kinase activity
      1 GO:0003956	NAD(P)+-protein-arginine ADP-ribosyltransferase activity
      1 GO:0003959	NADPH dehydrogenase activity
      1 GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
      1 GO:0003976	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
      1 GO:0003978	UDP-glucose 4-epimerase activity
      1 GO:0003987	acetate-CoA ligase activity
      1 GO:0003988	acetyl-CoA C-acyltransferase activity
      1 GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
      1 GO:0003993	acid phosphatase activity
      1 GO:0004000	adenosine deaminase activity
      1 GO:0004013	adenosylhomocysteinase activity
      1 GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
      1 GO:0004017	adenylate kinase activity
      1 GO:0004020	adenylylsulfate kinase activity
      1 GO:0004032	alditol:NADP+ 1-oxidoreductase activity
      1 GO:0004033	aldo-keto reductase (NADP) activity
      1 GO:0004045	aminoacyl-tRNA hydrolase activity
      1 GO:0004057	arginyltransferase activity
      1 GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
      1 GO:0004070	aspartate carbamoyltransferase activity
      1 GO:0004085	butyryl-CoA dehydrogenase activity
      1 GO:0004087	carbamoyl-phosphate synthase (ammonia) activity
      1 GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
      1 GO:0004112	cyclic-nucleotide phosphodiesterase activity
      1 GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
      1 GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity
      1 GO:0004123	cystathionine gamma-lyase activity
      1 GO:0004127	cytidylate kinase activity
      1 GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
      1 GO:0004129	cytochrome-c oxidase activity
      1 GO:0004132	dCMP deaminase activity
      1 GO:0004140	dephospho-CoA kinase activity
      1 GO:0004141	dethiobiotin synthase activity
      1 GO:0004143	diacylglycerol kinase activity
      1 GO:0004148	dihydrolipoyl dehydrogenase activity
      1 GO:0004150	dihydroneopterin aldolase activity
      1 GO:0004151	dihydroorotase activity
      1 GO:0004156	dihydropteroate synthase activity
      1 GO:0004164	diphthine synthase activity
      1 GO:0004165	dodecenoyl-CoA delta-isomerase activity
      1 GO:0004252	serine-type endopeptidase activity
      1 GO:0004303	estradiol 17-beta-dehydrogenase activity
      1 GO:0004306	ethanolamine-phosphate cytidylyltransferase activity
      1 GO:0004310	farnesyl-diphosphate farnesyltransferase activity
      1 GO:0004311	farnesyltranstransferase activity
      1 GO:0004321	fatty-acyl-CoA synthase activity
      1 GO:0004332	fructose-bisphosphate aldolase activity
      1 GO:0004337	geranyltranstransferase activity
      1 GO:0004347	glucose-6-phosphate isomerase activity
      1 GO:0004353	glutamate dehydrogenase [NAD(P)+] activity
      1 GO:0004354	glutamate dehydrogenase (NADP+) activity
      1 GO:0004359	glutaminase activity
      1 GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
      1 GO:0004383	guanylate cyclase activity
      1 GO:0004400	histidinol-phosphate transaminase activity
      1 GO:0004402	histone acetyltransferase activity
      1 GO:0004416	hydroxyacylglutathione hydrolase activity
      1 GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
      1 GO:0004451	isocitrate lyase activity
      1 GO:0004465	lipoprotein lipase activity
      1 GO:0004466	long-chain-acyl-CoA dehydrogenase activity
      1 GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity
      1 GO:0004516	nicotinate phosphoribosyltransferase activity
      1 GO:0004535	poly(A)-specific ribonuclease activity
      1 GO:0004551	nucleotide diphosphatase activity
      1 GO:0004565	beta-galactosidase activity
      1 GO:0004576	oligosaccharyl transferase activity
      1 GO:0004577	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity
      1 GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
      1 GO:0004582	dolichyl-phosphate beta-D-mannosyltransferase activity
      1 GO:0004583	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity
      1 GO:0004585	ornithine carbamoyltransferase activity
      1 GO:0004587	ornithine-oxo-acid transaminase activity
      1 GO:0004594	pantothenate kinase activity
      1 GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity
      1 GO:0004610	phosphoacetylglucosamine mutase activity
      1 GO:0004611	phosphoenolpyruvate carboxykinase activity
      1 GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity
      1 GO:0004614	phosphoglucomutase activity
      1 GO:0004615	phosphomannomutase activity
      1 GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
      1 GO:0004620	phospholipase activity
      1 GO:0004622	lysophospholipase activity
      1 GO:0004654	polyribonucleotide nucleotidyltransferase activity
      1 GO:0004690	cyclic nucleotide-dependent protein kinase activity
      1 GO:0004691	cAMP-dependent protein kinase activity
      1 GO:0004703	G protein-coupled receptor kinase activity
      1 GO:0004715	non-membrane spanning protein tyrosine kinase activity
      1 GO:0004725	protein tyrosine phosphatase activity
      1 GO:0004730	pseudouridylate synthase activity
      1 GO:0004733	pyridoxamine-phosphate oxidase activity
      1 GO:0004743	pyruvate kinase activity
      1 GO:0004746	riboflavin synthase activity
      1 GO:0004779	sulfate adenylyltransferase activity
      1 GO:0004781	sulfate adenylyltransferase (ATP) activity
      1 GO:0004788	thiamine diphosphokinase activity
      1 GO:0004791	thioredoxin-disulfide reductase activity
      1 GO:0004792	thiosulfate sulfurtransferase activity
      1 GO:0004794	L-threonine ammonia-lyase activity
      1 GO:0004795	threonine synthase activity
      1 GO:0004798	thymidylate kinase activity
      1 GO:0004802	transketolase activity
      1 GO:0004806	triglyceride lipase activity
      1 GO:0004816	asparagine-tRNA ligase activity
      1 GO:0004817	cysteine-tRNA ligase activity
      1 GO:0004821	histidine-tRNA ligase activity
      1 GO:0004823	leucine-tRNA ligase activity
      1 GO:0004825	methionine-tRNA ligase activity
      1 GO:0004826	phenylalanine-tRNA ligase activity
      1 GO:0004866	endopeptidase inhibitor activity
      1 GO:0005052	peroxisome matrix targeting signal-1 binding
      1 GO:0005086	ARF guanyl-nucleotide exchange factor activity
      1 GO:0005092	GDP-dissociation inhibitor activity
      1 GO:0005126	cytokine receptor binding
      1 GO:0005134	interleukin-2 receptor binding
      1 GO:0005244	voltage-gated ion channel activity
      1 GO:0005245	voltage-gated calcium channel activity
      1 GO:0005262	calcium channel activity
      1 GO:0005283	amino acid:sodium symporter activity
      1 GO:0005290	L-histidine transmembrane transporter activity
      1 GO:0005315	inorganic phosphate transmembrane transporter activity
      1 GO:0005319	lipid transporter activity
      1 GO:0005326	neurotransmitter transmembrane transporter activity
      1 GO:0005343	organic acid:sodium symporter activity
      1 GO:0005351	carbohydrate:proton symporter activity
      1 GO:0005355	glucose transmembrane transporter activity
      1 GO:0005381	iron ion transmembrane transporter activity
      1 GO:0005402	carbohydrate:cation symporter activity
      1 GO:0005416	amino acid:cation symporter activity
      1 GO:0005451	monovalent cation:proton antiporter activity
      1 GO:0005458	GDP-mannose transmembrane transporter activity
      1 GO:0005459	UDP-galactose transmembrane transporter activity
      1 GO:0005471	ATP:ADP antiporter activity
      1 GO:0005476	carnitine:acyl carnitine antiporter activity
      1 GO:0005496	steroid binding
      1 GO:0005504	fatty acid binding
      1 GO:0005518	collagen binding
      1 GO:0005521	lamin binding
      1 GO:0005523	tropomyosin binding
      1 GO:0005527	macrolide binding
      1 GO:0005528	FK506 binding
      1 GO:0005537	mannose binding
      1 GO:0005540	hyaluronic acid binding
      1 GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding
      1 GO:0005548	phospholipid transporter activity
      1 GO:0005628	prospore membrane
      1 GO:0005639	integral component of nuclear inner membrane
      1 GO:0005640	nuclear outer membrane
      1 GO:0005642	annulate lamellae
      1 GO:0005663	DNA replication factor C complex
      1 GO:0005671	Ada2/Gcn5/Ada3 transcription activator complex
      1 GO:0005673	transcription factor TFIIE complex
      1 GO:0005680	anaphase-promoting complex
      1 GO:0005683	U7 snRNP
      1 GO:0005687	U4 snRNP
      1 GO:0005701	polytene chromosome chromocenter
      1 GO:0005726	perichromatin fibrils
      1 GO:0005727	extrachromosomal circular DNA
      1 GO:0005729	2-micrometer circle DNA
      1 GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
      1 GO:0005750	mitochondrial respiratory chain complex III
      1 GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core
      1 GO:0005756	mitochondrial proton-transporting ATP synthase, central stalk
      1 GO:0005757	mitochondrial permeability transition pore complex
      1 GO:0005767	secondary lysosome
      1 GO:0005818	aster
      1 GO:0005827	polar microtubule
      1 GO:0005828	kinetochore microtubule
      1 GO:0005846	nuclear cap binding complex
      1 GO:0005850	eukaryotic translation initiation factor 2 complex
      1 GO:0005858	axonemal dynein complex
      1 GO:0005865	striated muscle thin filament
      1 GO:0005871	kinesin complex
      1 GO:0005885	Arp2/3 protein complex
      1 GO:0005912	adherens junction
      1 GO:0005924	obsolete cell-substrate adherens junction
      1 GO:0005925	focal adhesion
      1 GO:0005930	axoneme
      1 GO:0005940	septin ring
      1 GO:0005952	cAMP-dependent protein kinase complex
      1 GO:0005956	protein kinase CK2 complex
      1 GO:0005982	starch metabolic process
      1 GO:0005985	sucrose metabolic process
      1 GO:0005987	sucrose catabolic process
      1 GO:0005988	lactose metabolic process
      1 GO:0005990	lactose catabolic process
      1 GO:0005993	trehalose catabolic process
      1 GO:0006002	fructose 6-phosphate metabolic process
      1 GO:0006007	glucose catabolic process
      1 GO:0006013	mannose metabolic process
      1 GO:0006042	glucosamine biosynthetic process
      1 GO:0006097	glyoxylate cycle
      1 GO:0006099	tricarboxylic acid cycle
      1 GO:0006101	citrate metabolic process
      1 GO:0006108	malate metabolic process
      1 GO:0006120	mitochondrial electron transport, NADH to ubiquinone
      1 GO:0006121	mitochondrial electron transport, succinate to ubiquinone
      1 GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
      1 GO:0006144	purine nucleobase metabolic process
      1 GO:0006152	purine nucleoside catabolic process
      1 GO:0006172	ADP biosynthetic process
      1 GO:0006177	GMP biosynthetic process
      1 GO:0006182	cGMP biosynthetic process
      1 GO:0006188	IMP biosynthetic process
      1 GO:0006189	'de novo' IMP biosynthetic process
      1 GO:0006198	cAMP catabolic process
      1 GO:0006206	pyrimidine nucleobase metabolic process
      1 GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
      1 GO:0006226	dUMP biosynthetic process
      1 GO:0006227	dUDP biosynthetic process
      1 GO:0006231	dTMP biosynthetic process
      1 GO:0006233	dTDP biosynthetic process
      1 GO:0006235	dTTP biosynthetic process
      1 GO:0006272	leading strand elongation
      1 GO:0006273	lagging strand elongation
      1 GO:0006277	DNA amplification
      1 GO:0006279	premeiotic DNA replication
      1 GO:0006297	nucleotide-excision repair, DNA gap filling
      1 GO:0006307	DNA dealkylation involved in DNA repair
      1 GO:0006308	DNA catabolic process
      1 GO:0006309	apoptotic DNA fragmentation
      1 GO:0006337	nucleosome disassembly
      1 GO:0006346	DNA methylation-dependent heterochromatin assembly
      1 GO:0006382	adenosine to inosine editing
      1 GO:0006386	termination of RNA polymerase III transcription
      1 GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation
      1 GO:0006391	transcription initiation from mitochondrial promoter
      1 GO:0006392	transcription elongation from mitochondrial promoter
      1 GO:0006408	snRNA export from nucleus
      1 GO:0006409	tRNA export from nucleus
      1 GO:0006421	asparaginyl-tRNA aminoacylation
      1 GO:0006423	cysteinyl-tRNA aminoacylation
      1 GO:0006427	histidyl-tRNA aminoacylation
      1 GO:0006429	leucyl-tRNA aminoacylation
      1 GO:0006431	methionyl-tRNA aminoacylation
      1 GO:0006432	phenylalanyl-tRNA aminoacylation
      1 GO:0006452	translational frameshifting
      1 GO:0006471	protein ADP-ribosylation
      1 GO:0006489	dolichyl diphosphate biosynthetic process
      1 GO:0006522	alanine metabolic process
      1 GO:0006527	arginine catabolic process
      1 GO:0006529	asparagine biosynthetic process
      1 GO:0006530	asparagine catabolic process
      1 GO:0006531	aspartate metabolic process
      1 GO:0006532	aspartate biosynthetic process
      1 GO:0006533	aspartate catabolic process
      1 GO:0006537	glutamate biosynthetic process
      1 GO:0006539	glutamate catabolic process via 2-oxoglutarate
      1 GO:0006543	glutamine catabolic process
      1 GO:0006544	glycine metabolic process
      1 GO:0006547	histidine metabolic process
      1 GO:0006560	proline metabolic process
      1 GO:0006561	proline biosynthetic process
      1 GO:0006564	L-serine biosynthetic process
      1 GO:0006565	L-serine catabolic process
      1 GO:0006567	threonine catabolic process
      1 GO:0006576	cellular biogenic amine metabolic process
      1 GO:0006577	amino-acid betaine metabolic process
      1 GO:0006582	melanin metabolic process
      1 GO:0006584	catecholamine metabolic process
      1 GO:0006624	vacuolar protein processing
      1 GO:0006646	phosphatidylethanolamine biosynthetic process
      1 GO:0006655	phosphatidylglycerol biosynthetic process
      1 GO:0006658	phosphatidylserine metabolic process
      1 GO:0006662	glycerol ether metabolic process
      1 GO:0006666	3-keto-sphinganine metabolic process
      1 GO:0006667	sphinganine metabolic process
      1 GO:0006677	glycosylceramide metabolic process
      1 GO:0006678	glucosylceramide metabolic process
      1 GO:0006679	glucosylceramide biosynthetic process
      1 GO:0006714	sesquiterpenoid metabolic process
      1 GO:0006735	NADH regeneration
      1 GO:0006741	NADP biosynthetic process
      1 GO:0006750	glutathione biosynthetic process
      1 GO:0006756	AMP phosphorylation
      1 GO:0006777	Mo-molybdopterin cofactor biosynthetic process
      1 GO:0006784	heme A biosynthetic process
      1 GO:0006787	porphyrin-containing compound catabolic process
      1 GO:0006797	polyphosphate metabolic process
      1 GO:0006798	polyphosphate catabolic process
      1 GO:0006805	xenobiotic metabolic process
      1 GO:0006825	copper ion transport
      1 GO:0006835	dicarboxylic acid transport
      1 GO:0006837	serotonin transport
      1 GO:0006844	acyl carnitine transport
      1 GO:0006848	pyruvate transport
      1 GO:0006850	mitochondrial pyruvate transmembrane transport
      1 GO:0006857	oligopeptide transport
      1 GO:0006867	asparagine transport
      1 GO:0006868	glutamine transport
      1 GO:0006878	cellular copper ion homeostasis
      1 GO:0006880	intracellular sequestering of iron ion
      1 GO:0006882	cellular zinc ion homeostasis
      1 GO:0006921	cellular component disassembly involved in execution phase of apoptosis
      1 GO:0006924	activation-induced cell death of T cells
      1 GO:0006936	muscle contraction
      1 GO:0006942	regulation of striated muscle contraction
      1 GO:0006953	acute-phase response
      1 GO:0006968	cellular defense response
      1 GO:0006983	ER overload response
      1 GO:0006999	nuclear pore organization
      1 GO:0007000	nucleolus organization
      1 GO:0007042	lysosomal lumen acidification
      1 GO:0007044	cell-substrate junction assembly
      1 GO:0007053	spindle assembly involved in male meiosis
      1 GO:0007060	male meiosis chromosome segregation
      1 GO:0007076	mitotic chromosome condensation
      1 GO:0007079	mitotic chromosome movement towards spindle pole
      1 GO:0007097	nuclear migration
      1 GO:0007105	cytokinesis, site selection
      1 GO:0007107	membrane addition at site of cytokinesis
      1 GO:0007118	budding cell apical bud growth
      1 GO:0007124	pseudohyphal growth
      1 GO:0007135	meiosis II
      1 GO:0007159	leukocyte cell-cell adhesion
