      1 GO:0000027	ribosomal large subunit assembly
      1 GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
      1 GO:0004016	adenylate cyclase activity
      1 GO:0004048	anthranilate phosphoribosyltransferase activity
      1 GO:0004072	aspartate kinase activity
      1 GO:0004084	branched-chain-amino-acid transaminase activity
      1 GO:0004112	cyclic-nucleotide phosphodiesterase activity
      1 GO:0004121	cystathionine beta-lyase activity
      1 GO:0004123	cystathionine gamma-lyase activity
      1 GO:0004152	dihydroorotate dehydrogenase activity
      1 GO:0004180	carboxypeptidase activity
      1 GO:0004181	metallocarboxypeptidase activity
      1 GO:0004309	exopolyphosphatase activity
      1 GO:0004334	fumarylacetoacetase activity
      1 GO:0004370	glycerol kinase activity
      1 GO:0004386	helicase activity
      1 GO:0004392	heme oxygenase (decyclizing) activity
      1 GO:0004427	inorganic diphosphatase activity
      1 GO:0004465	lipoprotein lipase activity
      1 GO:0004519	endonuclease activity
      1 GO:0004521	endoribonuclease activity
      1 GO:0004523	RNA-DNA hybrid ribonuclease activity
      1 GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
      1 GO:0004630	phospholipase D activity
      1 GO:0004647	phosphoserine phosphatase activity
      1 GO:0004693	cyclin-dependent protein serine/threonine kinase activity
      1 GO:0004706	JUN kinase kinase kinase activity
      1 GO:0004709	MAP kinase kinase kinase activity
      1 GO:0004784	superoxide dismutase activity
      1 GO:0004812	aminoacyl-tRNA ligase activity
      1 GO:0004822	isoleucine-tRNA ligase activity
      1 GO:0004857	enzyme inhibitor activity
      1 GO:0005287	high-affinity basic amino acid transmembrane transporter activity
      1 GO:0005289	high-affinity arginine transmembrane transporter activity
      1 GO:0005290	L-histidine transmembrane transporter activity
      1 GO:0005292	high-affinity lysine transmembrane transporter activity
      1 GO:0005319	lipid transporter activity
      1 GO:0005338	nucleotide-sugar transmembrane transporter activity
      1 GO:0005462	UDP-N-acetylglucosamine transmembrane transporter activity
      1 GO:0005484	SNAP receptor activity
      1 GO:0005522	profilin binding
      1 GO:0005524	ATP binding
      1 GO:0005525	GTP binding
      1 GO:0005548	phospholipid transporter activity
      1 GO:0005618	cell wall
      1 GO:0005628	prospore membrane
      1 GO:0005681	spliceosomal complex
      1 GO:0005688	U6 snRNP
      1 GO:0005697	telomerase holoenzyme complex
      1 GO:0005732	small nucleolar ribonucleoprotein complex
      1 GO:0005758	mitochondrial intermembrane space
      1 GO:0005764	lysosome
      1 GO:0005765	lysosomal membrane
      1 GO:0005770	late endosome
      1 GO:0005791	rough endoplasmic reticulum
      1 GO:0005797	Golgi medial cisterna
      1 GO:0005801	cis-Golgi network
      1 GO:0005811	lipid droplet
      1 GO:0005813	centrosome
      1 GO:0005874	microtubule
      1 GO:0005875	microtubule associated complex
      1 GO:0005901	caveola
      1 GO:0005911	cell-cell junction
      1 GO:0005929	cilium
      1 GO:0005933	cellular bud
      1 GO:0005938	cell cortex
      1 GO:0005996	monosaccharide metabolic process
      1 GO:0006006	glucose metabolic process
      1 GO:0006040	amino sugar metabolic process
      1 GO:0006047	UDP-N-acetylglucosamine metabolic process
      1 GO:0006066	alcohol metabolic process
      1 GO:0006071	glycerol metabolic process
      1 GO:0006072	glycerol-3-phosphate metabolic process
      1 GO:0006073	cellular glucan metabolic process
      1 GO:0006112	energy reserve metabolic process
      1 GO:0006171	cAMP biosynthetic process
      1 GO:0006206	pyrimidine nucleobase metabolic process
      1 GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
      1 GO:0006213	pyrimidine nucleoside metabolic process
      1 GO:0006220	pyrimidine nucleotide metabolic process
      1 GO:0006221	pyrimidine nucleotide biosynthetic process
      1 GO:0006271	DNA strand elongation involved in DNA replication
      1 GO:0006273	lagging strand elongation
      1 GO:0006275	regulation of DNA replication
      1 GO:0006298	mismatch repair
      1 GO:0006301	postreplication repair
      1 GO:0006304	DNA modification
      1 GO:0006305	DNA alkylation
      1 GO:0006306	DNA methylation
      1 GO:0006323	DNA packaging
      1 GO:0006342	chromatin silencing
      1 GO:0006351	transcription, DNA-templated
      1 GO:0006354	DNA-templated transcription, elongation
      1 GO:0006356	regulation of transcription by RNA polymerase I
      1 GO:0006390	mitochondrial transcription
      1 GO:0006392	transcription elongation from mitochondrial promoter
      1 GO:0006400	tRNA modification
      1 GO:0006406	mRNA export from nucleus
      1 GO:0006418	tRNA aminoacylation for protein translation
      1 GO:0006428	isoleucyl-tRNA aminoacylation
      1 GO:0006448	regulation of translational elongation
      1 GO:0006451	translational readthrough
      1 GO:0006488	dolichol-linked oligosaccharide biosynthetic process
      1 GO:0006490	oligosaccharide-lipid intermediate biosynthetic process
      1 GO:0006513	protein monoubiquitination
      1 GO:0006525	arginine metabolic process
      1 GO:0006526	arginine biosynthetic process
      1 GO:0006531	aspartate metabolic process
      1 GO:0006534	cysteine metabolic process
      1 GO:0006549	isoleucine metabolic process
      1 GO:0006550	isoleucine catabolic process
      1 GO:0006551	leucine metabolic process
      1 GO:0006553	lysine metabolic process
      1 GO:0006560	proline metabolic process
      1 GO:0006561	proline biosynthetic process
      1 GO:0006563	L-serine metabolic process
      1 GO:0006564	L-serine biosynthetic process
      1 GO:0006566	threonine metabolic process
      1 GO:0006568	tryptophan metabolic process
      1 GO:0006570	tyrosine metabolic process
      1 GO:0006572	tyrosine catabolic process
      1 GO:0006573	valine metabolic process
      1 GO:0006576	cellular biogenic amine metabolic process
      1 GO:0006586	indolalkylamine metabolic process
      1 GO:0006633	fatty acid biosynthetic process
      1 GO:0006637	acyl-CoA metabolic process
      1 GO:0006641	triglyceride metabolic process
      1 GO:0006650	glycerophospholipid metabolic process
      1 GO:0006651	diacylglycerol biosynthetic process
      1 GO:0006658	phosphatidylserine metabolic process
      1 GO:0006690	icosanoid metabolic process
      1 GO:0006702	androgen biosynthetic process
      1 GO:0006720	isoprenoid metabolic process
      1 GO:0006723	cuticle hydrocarbon biosynthetic process
      1 GO:0006750	glutathione biosynthetic process
      1 GO:0006766	vitamin metabolic process
      1 GO:0006767	water-soluble vitamin metabolic process
      1 GO:0006768	biotin metabolic process
      1 GO:0006778	porphyrin-containing compound metabolic process
      1 GO:0006787	porphyrin-containing compound catabolic process
      1 GO:0006788	heme oxidation
      1 GO:0006797	polyphosphate metabolic process
      1 GO:0006798	polyphosphate catabolic process
      1 GO:0006812	cation transport
      1 GO:0006839	mitochondrial transport
      1 GO:0006844	acyl carnitine transport
      1 GO:0006855	drug transmembrane transport
      1 GO:0006875	cellular metal ion homeostasis
      1 GO:0006879	cellular iron ion homeostasis
      1 GO:0006885	regulation of pH
      1 GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum
      1 GO:0006891	intra-Golgi vesicle-mediated transport
      1 GO:0006893	Golgi to plasma membrane transport
      1 GO:0006896	Golgi to vacuole transport
      1 GO:0006903	vesicle targeting
      1 GO:0006904	vesicle docking involved in exocytosis
      1 GO:0006906	vesicle fusion
      1 GO:0006907	pinocytosis
      1 GO:0006909	phagocytosis
      1 GO:0006954	inflammatory response
      1 GO:0006959	humoral immune response
      1 GO:0006972	hyperosmotic response
      1 GO:0006984	ER-nucleus signaling pathway
      1 GO:0006986	response to unfolded protein
      1 GO:0006991	response to sterol depletion
      1 GO:0006997	nucleus organization
      1 GO:0007006	mitochondrial membrane organization
      1 GO:0007007	inner mitochondrial membrane organization
      1 GO:0007010	cytoskeleton organization
      1 GO:0007015	actin filament organization
      1 GO:0007021	tubulin complex assembly
      1 GO:0007030	Golgi organization
      1 GO:0007040	lysosome organization
      1 GO:0007059	chromosome segregation
      1 GO:0007076	mitotic chromosome condensation
      1 GO:0007088	regulation of mitotic nuclear division
      1 GO:0007093	mitotic cell cycle checkpoint
      1 GO:0007096	regulation of exit from mitosis
      1 GO:0007127	meiosis I
      1 GO:0007129	homologous chromosome pairing at meiosis
      1 GO:0007130	synaptonemal complex assembly
      1 GO:0007186	G protein-coupled receptor signaling pathway
      1 GO:0007215	glutamate receptor signaling pathway
      1 GO:0007216	G protein-coupled glutamate receptor signaling pathway
      1 GO:0007254	JNK cascade
      1 GO:0007256	activation of JNKK activity
      1 GO:0007264	small GTPase mediated signal transduction
      1 GO:0007389	pattern specification process
      1 GO:0007398	ectoderm development
      1 GO:0007405	neuroblast proliferation
      1 GO:0007417	central nervous system development
      1 GO:0007420	brain development
      1 GO:0007423	sensory organ development
      1 GO:0007439	ectodermal digestive tract development
      1 GO:0007528	neuromuscular junction development
      1 GO:0007548	sex differentiation
      1 GO:0007565	female pregnancy
      1 GO:0007571	age-dependent general metabolic decline
      1 GO:0007588	excretion
      1 GO:0007602	phototransduction
      1 GO:0007617	mating behavior
      1 GO:0007618	mating
      1 GO:0007619	courtship behavior
      1 GO:0007626	locomotory behavior
      1 GO:0008033	tRNA processing
      1 GO:0008049	male courtship behavior
      1 GO:0008061	chitin binding
      1 GO:0008088	axo-dendritic transport
      1 GO:0008097	5S rRNA binding
      1 GO:0008170	N-methyltransferase activity
      1 GO:0008186	RNA-dependent ATPase activity
      1 GO:0008194	UDP-glycosyltransferase activity
      1 GO:0008195	phosphatidate phosphatase activity
      1 GO:0008207	C21-steroid hormone metabolic process
      1 GO:0008209	androgen metabolic process
      1 GO:0008235	metalloexopeptidase activity
      1 GO:0008238	exopeptidase activity
      1 GO:0008272	sulfate transport
      1 GO:0008276	protein methyltransferase activity
      1 GO:0008299	isoprenoid biosynthetic process
      1 GO:0008324	cation transmembrane transporter activity
      1 GO:0008333	endosome to lysosome transport
      1 GO:0008406	gonad development
      1 GO:0008417	fucosyltransferase activity
      1 GO:0008432	JUN kinase binding
      1 GO:0008477	purine nucleosidase activity
      1 GO:0008519	ammonium transmembrane transporter activity
      1 GO:0008526	phosphatidylinositol transfer activity
      1 GO:0008584	male gonad development
      1 GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress
      1 GO:0008637	apoptotic mitochondrial changes
      1 GO:0008654	phospholipid biosynthetic process
      1 GO:0008663	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity
      1 GO:0008970	phospholipase A1 activity
      1 GO:0009060	aerobic respiration
      1 GO:0009073	aromatic amino acid family biosynthetic process
      1 GO:0009074	aromatic amino acid family catabolic process
      1 GO:0009081	branched-chain amino acid metabolic process
      1 GO:0009082	branched-chain amino acid biosynthetic process
      1 GO:0009083	branched-chain amino acid catabolic process
      1 GO:0009085	lysine biosynthetic process
      1 GO:0009088	threonine biosynthetic process
      1 GO:0009089	lysine biosynthetic process via diaminopimelate
      1 GO:0009090	homoserine biosynthetic process
      1 GO:0009097	isoleucine biosynthetic process
      1 GO:0009098	leucine biosynthetic process
      1 GO:0009099	valine biosynthetic process
      1 GO:0009102	biotin biosynthetic process
      1 GO:0009110	vitamin biosynthetic process
      1 GO:0009112	nucleobase metabolic process
      1 GO:0009116	nucleoside metabolic process
      1 GO:0009163	nucleoside biosynthetic process
      1 GO:0009187	cyclic nucleotide metabolic process
      1 GO:0009190	cyclic nucleotide biosynthetic process
      1 GO:0009218	pyrimidine ribonucleotide metabolic process
      1 GO:0009220	pyrimidine ribonucleotide biosynthetic process
      1 GO:0009225	nucleotide-sugar metabolic process
      1 GO:0009250	glucan biosynthetic process
      1 GO:0009251	glucan catabolic process
      1 GO:0009267	cellular response to starvation
      1 GO:0009268	response to pH
      1 GO:0009277	fungal-type cell wall
      1 GO:0009295	nucleoid
      1 GO:0009308	amine metabolic process
      1 GO:0009309	amine biosynthetic process
      1 GO:0009403	toxin biosynthetic process
      1 GO:0009404	toxin metabolic process
      1 GO:0009405	pathogenesis
      1 GO:0009408	response to heat
      1 GO:0009409	response to cold
      1 GO:0009416	response to light stimulus
      1 GO:0009506	plasmodesma
      1 GO:0009534	chloroplast thylakoid
      1 GO:0009535	chloroplast thylakoid membrane
      1 GO:0009555	pollen development
      1 GO:0009579	thylakoid
      1 GO:0009583	detection of light stimulus
      1 GO:0009590	detection of gravity
      1 GO:0009593	detection of chemical stimulus
      1 GO:0009606	tropism
      1 GO:0009612	response to mechanical stimulus
      1 GO:0009627	systemic acquired resistance
      1 GO:0009629	response to gravity
      1 GO:0009630	gravitropism
      1 GO:0009635	response to herbicide
      1 GO:0009660	amyloplast organization
      1 GO:0009705	plant-type vacuole membrane
      1 GO:0009723	response to ethylene
      1 GO:0009737	response to abscisic acid
      1 GO:0009743	response to carbohydrate
      1 GO:0009755	hormone-mediated signaling pathway
      1 GO:0009814	defense response, incompatible interaction
      1 GO:0009816	defense response to bacterium, incompatible interaction
      1 GO:0009817	defense response to fungus, incompatible interaction
      1 GO:0009832	plant-type cell wall biogenesis
      1 GO:0009838	abscission
      1 GO:0009856	pollination
      1 GO:0009860	pollen tube growth
      1 GO:0009908	flower development
      1 GO:0009914	hormone transport
      1 GO:0009917	sterol 5-alpha reductase activity
      1 GO:0009926	auxin polar transport
      1 GO:0009932	cell tip growth
      1 GO:0009934	regulation of meristem structural organization
      1 GO:0009959	negative gravitropism
      1 GO:0009969	xyloglucan biosynthetic process
      1 GO:0009975	cyclase activity
      1 GO:0010015	root morphogenesis
      1 GO:0010016	shoot system morphogenesis
      1 GO:0010032	meiotic chromosome condensation
      1 GO:0010039	response to iron ion
      1 GO:0010042	response to manganese ion
      1 GO:0010043	response to zinc ion
      1 GO:0010051	xylem and phloem pattern formation
      1 GO:0010053	root epidermal cell differentiation
      1 GO:0010087	phloem or xylem histogenesis
      1 GO:0010089	xylem development
      1 GO:0010103	stomatal complex morphogenesis
      1 GO:0010181	FMN binding
      1 GO:0010212	response to ionizing radiation
      1 GO:0010227	floral organ abscission
      1 GO:0010269	response to selenium ion
      1 GO:0010287	plastoglobule
      1 GO:0010305	leaf vascular tissue pattern formation
      1 GO:0010332	response to gamma radiation
      1 GO:0010374	stomatal complex development
      1 GO:0010376	stomatal complex formation
      1 GO:0010389	regulation of G2/M transition of mitotic cell cycle
      1 GO:0010410	hemicellulose metabolic process
      1 GO:0010411	xyloglucan metabolic process
      1 GO:0010440	stomatal lineage progression
      1 GO:0010444	guard mother cell differentiation
      1 GO:0010487	thermospermine synthase activity
      1 GO:0010501	RNA secondary structure unwinding
      1 GO:0010507	negative regulation of autophagy
      1 GO:0010563	negative regulation of phosphorus metabolic process
      1 GO:0010570	regulation of filamentous growth
      1 GO:0010594	regulation of endothelial cell migration
      1 GO:0010595	positive regulation of endothelial cell migration
      1 GO:0010632	regulation of epithelial cell migration
      1 GO:0010634	positive regulation of epithelial cell migration
      1 GO:0010635	regulation of mitochondrial fusion
      1 GO:0010637	negative regulation of mitochondrial fusion
      1 GO:0010656	negative regulation of muscle cell apoptotic process
      1 GO:0010661	positive regulation of muscle cell apoptotic process
      1 GO:0010668	ectodermal cell differentiation
      1 GO:0010717	regulation of epithelial to mesenchymal transition
      1 GO:0010718	positive regulation of epithelial to mesenchymal transition
      1 GO:0010721	negative regulation of cell development
      1 GO:0010769	regulation of cell morphogenesis involved in differentiation
      1 GO:0010771	negative regulation of cell morphogenesis involved in differentiation
      1 GO:0010823	negative regulation of mitochondrion organization
      1 GO:0010959	regulation of metal ion transport
      1 GO:0010970	transport along microtubule
      1 GO:0010976	positive regulation of neuron projection development
      1 GO:0010977	negative regulation of neuron projection development
      1 GO:0014015	positive regulation of gliogenesis
      1 GO:0014805	smooth muscle adaptation
      1 GO:0014806	smooth muscle hyperplasia
      1 GO:0014823	response to activity
      1 GO:0014834	skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration
      1 GO:0014887	cardiac muscle adaptation
      1 GO:0014888	striated muscle adaptation
      1 GO:0014896	muscle hypertrophy
      1 GO:0014897	striated muscle hypertrophy
      1 GO:0014898	cardiac muscle hypertrophy in response to stress
      1 GO:0014900	muscle hyperplasia
      1 GO:0015101	organic cation transmembrane transporter activity
      1 GO:0015103	inorganic anion transmembrane transporter activity
      1 GO:0015116	sulfate transmembrane transporter activity
      1 GO:0015165	pyrimidine nucleotide-sugar transmembrane transporter activity
      1 GO:0015174	basic amino acid transmembrane transporter activity
      1 GO:0015181	arginine transmembrane transporter activity
      1 GO:0015184	L-cystine transmembrane transporter activity
      1 GO:0015189	L-lysine transmembrane transporter activity
      1 GO:0015227	acyl carnitine transmembrane transporter activity
      1 GO:0015645	fatty acid ligase activity
      1 GO:0015651	quaternary ammonium group transmembrane transporter activity
      1 GO:0015695	organic cation transport
      1 GO:0015696	ammonium transport
      1 GO:0015697	quaternary ammonium group transport
      1 GO:0015698	inorganic anion transport
      1 GO:0015748	organophosphate ester transport
      1 GO:0015780	nucleotide-sugar transmembrane transport
      1 GO:0015802	basic amino acid transport
      1 GO:0015804	neutral amino acid transport
      1 GO:0015809	arginine transport
      1 GO:0015811	L-cystine transport
      1 GO:0015822	ornithine transport
      1 GO:0015893	drug transport
      1 GO:0015914	phospholipid transport
      1 GO:0015932	nucleobase-containing compound transmembrane transporter activity
      1 GO:0015935	small ribosomal subunit
      1 GO:0016042	lipid catabolic process
      1 GO:0016051	carbohydrate biosynthetic process
      1 GO:0016075	rRNA catabolic process
      1 GO:0016119	carotene metabolic process
      1 GO:0016120	carotene biosynthetic process
      1 GO:0016125	sterol metabolic process
      1 GO:0016126	sterol biosynthetic process
      1 GO:0016229	steroid dehydrogenase activity
      1 GO:0016242	negative regulation of macroautophagy
      1 GO:0016263	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity
      1 GO:0016272	prefoldin complex
      1 GO:0016278	lysine N-methyltransferase activity
      1 GO:0016279	protein-lysine N-methyltransferase activity
      1 GO:0016405	CoA-ligase activity
      1 GO:0016409	palmitoyltransferase activity
      1 GO:0016417	S-acyltransferase activity
      1 GO:0016545	male courtship behavior, veined wing vibration
      1 GO:0016572	histone phosphorylation
      1 GO:0016607	nuclear speck
      1 GO:0016635	oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor
      1 GO:0016652	oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor
      1 GO:0016667	oxidoreductase activity, acting on a sulfur group of donors
      1 GO:0016670	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor
      1 GO:0016706	2-oxoglutarate-dependent dioxygenase activity
      1 GO:0016721	oxidoreductase activity, acting on superoxide radicals as acceptor
      1 GO:0016746	transferase activity, transferring acyl groups
      1 GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
      1 GO:0016763	transferase activity, transferring pentosyl groups
      1 GO:0016768	spermine synthase activity
      1 GO:0016774	phosphotransferase activity, carboxyl group as acceptor
      1 GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
      1 GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds
      1 GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances
      1 GO:0016849	phosphorus-oxygen lyase activity
      1 GO:0016854	racemase and epimerase activity
      1 GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
      1 GO:0016859	cis-trans isomerase activity
      1 GO:0016860	intramolecular oxidoreductase activity
      1 GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds
      1 GO:0016875	ligase activity, forming carbon-oxygen bonds
      1 GO:0016877	ligase activity, forming carbon-sulfur bonds
      1 GO:0016878	acid-thiol ligase activity
      1 GO:0016887	ATPase activity
      1 GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters
      1 GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
      1 GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors
      1 GO:0016971	flavin-linked sulfhydryl oxidase activity
      1 GO:0016972	thiol oxidase activity
      1 GO:0017069	snRNA binding
      1 GO:0017070	U6 snRNA binding
      1 GO:0017089	glycolipid transfer activity
      1 GO:0017101	aminoacyl-tRNA synthetase multienzyme complex
      1 GO:0017148	negative regulation of translation
      1 GO:0017157	regulation of exocytosis
      1 GO:0018024	histone-lysine N-methyltransferase activity
      1 GO:0018065	obsolete protein-cofactor linkage
      1 GO:0018196	peptidyl-asparagine modification
      1 GO:0018272	protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine
      1 GO:0018279	protein N-linked glycosylation via asparagine
      1 GO:0018352	protein-pyridoxal-5-phosphate linkage
      1 GO:0019001	guanyl nucleotide binding
      1 GO:0019098	reproductive behavior
      1 GO:0019184	nonribosomal peptide biosynthetic process
      1 GO:0019202	amino acid kinase activity
      1 GO:0019216	regulation of lipid metabolic process
      1 GO:0019318	hexose metabolic process
      1 GO:0019336	phenol-containing compound catabolic process
      1 GO:0019343	cysteine biosynthetic process via cystathionine
      1 GO:0019344	cysteine biosynthetic process
      1 GO:0019346	transsulfuration
      1 GO:0019369	arachidonic acid metabolic process
      1 GO:0019400	alditol metabolic process
      1 GO:0019405	alditol catabolic process
      1 GO:0019430	removal of superoxide radicals
      1 GO:0019563	glycerol catabolic process
      1 GO:0019706	protein-cysteine S-palmitoyltransferase activity
      1 GO:0019707	protein-cysteine S-acyltransferase activity
      1 GO:0019730	antimicrobial humoral response
      1 GO:0019748	secondary metabolic process
      1 GO:0019751	polyol metabolic process
