      1 GO:0000001	mitochondrion inheritance
      1 GO:0003091	renal water homeostasis
      1 GO:0003151	outflow tract morphogenesis
      1 GO:0003158	endothelium development
      1 GO:0003170	heart valve development
      1 GO:0003179	heart valve morphogenesis
      1 GO:0003205	cardiac chamber development
      1 GO:0003206	cardiac chamber morphogenesis
      1 GO:0003231	cardiac ventricle development
      1 GO:0003241	growth involved in heart morphogenesis
      1 GO:0003245	cardiac muscle tissue growth involved in heart morphogenesis
      1 GO:0003247	post-embryonic cardiac muscle cell growth involved in heart morphogenesis
      1 GO:0003279	cardiac septum development
      1 GO:0003281	ventricular septum development
      1 GO:0003360	brainstem development
      1 GO:0003382	epithelial cell morphogenesis
      1 GO:0003420	regulation of growth plate cartilage chondrocyte proliferation
      1 GO:0003689	DNA clamp loader activity
      1 GO:0003785	actin monomer binding
      1 GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
      1 GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
      1 GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity
      1 GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
      1 GO:0003923	GPI-anchor transamidase activity
      1 GO:0003933	GTP cyclohydrolase activity
      1 GO:0003935	GTP cyclohydrolase II activity
      1 GO:0003941	L-serine ammonia-lyase activity
      1 GO:0003950	NAD+ ADP-ribosyltransferase activity
      1 GO:0003956	NAD(P)+-protein-arginine ADP-ribosyltransferase activity
      1 GO:0003960	NADPH:quinone reductase activity
      1 GO:0003972	RNA ligase (ATP) activity
      1 GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
      1 GO:0003976	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
      1 GO:0003978	UDP-glucose 4-epimerase activity
      1 GO:0003988	acetyl-CoA C-acyltransferase activity
      1 GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
      1 GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
      1 GO:0004017	adenylate kinase activity
      1 GO:0004020	adenylylsulfate kinase activity
      1 GO:0004032	alditol:NADP+ 1-oxidoreductase activity
      1 GO:0004033	aldo-keto reductase (NADP) activity
      1 GO:0004047	aminomethyltransferase activity
      1 GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
      1 GO:0004084	branched-chain-amino-acid transaminase activity
      1 GO:0004085	butyryl-CoA dehydrogenase activity
      1 GO:0004112	cyclic-nucleotide phosphodiesterase activity
      1 GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
      1 GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity
      1 GO:0004122	cystathionine beta-synthase activity
      1 GO:0004123	cystathionine gamma-lyase activity
      1 GO:0004127	cytidylate kinase activity
      1 GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
      1 GO:0004129	cytochrome-c oxidase activity
      1 GO:0004132	dCMP deaminase activity
      1 GO:0004140	dephospho-CoA kinase activity
      1 GO:0004141	dethiobiotin synthase activity
      1 GO:0004143	diacylglycerol kinase activity
      1 GO:0004148	dihydrolipoyl dehydrogenase activity
      1 GO:0004150	dihydroneopterin aldolase activity
      1 GO:0004151	dihydroorotase activity
      1 GO:0004156	dihydropteroate synthase activity
      1 GO:0004164	diphthine synthase activity
      1 GO:0004165	dodecenoyl-CoA delta-isomerase activity
      1 GO:0004180	carboxypeptidase activity
      1 GO:0004252	serine-type endopeptidase activity
      1 GO:0004303	estradiol 17-beta-dehydrogenase activity
      1 GO:0004306	ethanolamine-phosphate cytidylyltransferase activity
      1 GO:0004310	farnesyl-diphosphate farnesyltransferase activity
      1 GO:0004311	farnesyltranstransferase activity
      1 GO:0004321	fatty-acyl-CoA synthase activity
      1 GO:0004332	fructose-bisphosphate aldolase activity
      1 GO:0004337	geranyltranstransferase activity
      1 GO:0004345	glucose-6-phosphate dehydrogenase activity
      1 GO:0004347	glucose-6-phosphate isomerase activity
      1 GO:0004349	glutamate 5-kinase activity
      1 GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
      1 GO:0004353	glutamate dehydrogenase [NAD(P)+] activity
      1 GO:0004354	glutamate dehydrogenase (NADP+) activity
      1 GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
      1 GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
      1 GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
      1 GO:0004382	guanosine-diphosphatase activity
      1 GO:0004400	histidinol-phosphate transaminase activity
      1 GO:0004401	histidinol-phosphatase activity
      1 GO:0004402	histone acetyltransferase activity
      1 GO:0004416	hydroxyacylglutathione hydrolase activity
      1 GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
      1 GO:0004451	isocitrate lyase activity
      1 GO:0004465	lipoprotein lipase activity
      1 GO:0004466	long-chain-acyl-CoA dehydrogenase activity
      1 GO:0004467	long-chain fatty acid-CoA ligase activity
      1 GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity
      1 GO:0004516	nicotinate phosphoribosyltransferase activity
      1 GO:0004520	endodeoxyribonuclease activity
      1 GO:0004551	nucleotide diphosphatase activity
      1 GO:0004576	oligosaccharyl transferase activity
      1 GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
      1 GO:0004582	dolichyl-phosphate beta-D-mannosyltransferase activity
      1 GO:0004585	ornithine carbamoyltransferase activity
      1 GO:0004587	ornithine-oxo-acid transaminase activity
      1 GO:0004594	pantothenate kinase activity
      1 GO:0004596	peptide alpha-N-acetyltransferase activity
      1 GO:0004602	glutathione peroxidase activity
      1 GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity
      1 GO:0004610	phosphoacetylglucosamine mutase activity
      1 GO:0004614	phosphoglucomutase activity
      1 GO:0004615	phosphomannomutase activity
      1 GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
      1 GO:0004622	lysophospholipase activity
      1 GO:0004630	phospholipase D activity
      1 GO:0004633	phosphopantothenoylcysteine decarboxylase activity
      1 GO:0004647	phosphoserine phosphatase activity
      1 GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
      1 GO:0004652	polynucleotide adenylyltransferase activity
      1 GO:0004654	polyribonucleotide nucleotidyltransferase activity
      1 GO:0004690	cyclic nucleotide-dependent protein kinase activity
      1 GO:0004691	cAMP-dependent protein kinase activity
      1 GO:0004703	G protein-coupled receptor kinase activity
      1 GO:0004704	NF-kappaB-inducing kinase activity
      1 GO:0004715	non-membrane spanning protein tyrosine kinase activity
      1 GO:0004725	protein tyrosine phosphatase activity
      1 GO:0004733	pyridoxamine-phosphate oxidase activity
      1 GO:0004743	pyruvate kinase activity
      1 GO:0004746	riboflavin synthase activity
      1 GO:0004768	stearoyl-CoA 9-desaturase activity
      1 GO:0004779	sulfate adenylyltransferase activity
      1 GO:0004781	sulfate adenylyltransferase (ATP) activity
      1 GO:0004788	thiamine diphosphokinase activity
      1 GO:0004792	thiosulfate sulfurtransferase activity
      1 GO:0004794	L-threonine ammonia-lyase activity
      1 GO:0004795	threonine synthase activity
      1 GO:0004798	thymidylate kinase activity
      1 GO:0004799	thymidylate synthase activity
      1 GO:0004802	transketolase activity
      1 GO:0004816	asparagine-tRNA ligase activity
      1 GO:0004823	leucine-tRNA ligase activity
      1 GO:0004826	phenylalanine-tRNA ligase activity
      1 GO:0004834	tryptophan synthase activity
      1 GO:0004864	protein phosphatase inhibitor activity
      1 GO:0004866	endopeptidase inhibitor activity
      1 GO:0005034	osmosensor activity
      1 GO:0005052	peroxisome matrix targeting signal-1 binding
      1 GO:0005070	obsolete SH3/SH2 adaptor activity
      1 GO:0005086	ARF guanyl-nucleotide exchange factor activity
      1 GO:0005092	GDP-dissociation inhibitor activity
      1 GO:0005126	cytokine receptor binding
      1 GO:0005134	interleukin-2 receptor binding
      1 GO:0005247	voltage-gated chloride channel activity
      1 GO:0005253	anion channel activity
      1 GO:0005254	chloride channel activity
      1 GO:0005283	amino acid:sodium symporter activity
      1 GO:0005290	L-histidine transmembrane transporter activity
      1 GO:0005302	L-tyrosine transmembrane transporter activity
      1 GO:0005315	inorganic phosphate transmembrane transporter activity
      1 GO:0005319	lipid transporter activity
      1 GO:0005326	neurotransmitter transmembrane transporter activity
      1 GO:0005343	organic acid:sodium symporter activity
      1 GO:0005351	carbohydrate:proton symporter activity
      1 GO:0005355	glucose transmembrane transporter activity
      1 GO:0005381	iron ion transmembrane transporter activity
      1 GO:0005388	calcium transmembrane transporter activity, phosphorylative mechanism
      1 GO:0005402	carbohydrate:cation symporter activity
      1 GO:0005416	amino acid:cation symporter activity
      1 GO:0005451	monovalent cation:proton antiporter activity
      1 GO:0005458	GDP-mannose transmembrane transporter activity
      1 GO:0005459	UDP-galactose transmembrane transporter activity
      1 GO:0005471	ATP:ADP antiporter activity
      1 GO:0005476	carnitine:acyl carnitine antiporter activity
      1 GO:0005518	collagen binding
      1 GO:0005537	mannose binding
      1 GO:0005539	glycosaminoglycan binding
      1 GO:0005540	hyaluronic acid binding
      1 GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding
      1 GO:0005548	phospholipid transporter activity
      1 GO:0005628	prospore membrane
      1 GO:0005640	nuclear outer membrane
      1 GO:0005642	annulate lamellae
      1 GO:0005671	Ada2/Gcn5/Ada3 transcription activator complex
      1 GO:0005673	transcription factor TFIIE complex
      1 GO:0005683	U7 snRNP
      1 GO:0005687	U4 snRNP
      1 GO:0005689	U12-type spliceosomal complex
      1 GO:0005701	polytene chromosome chromocenter
      1 GO:0005726	perichromatin fibrils
      1 GO:0005727	extrachromosomal circular DNA
      1 GO:0005729	2-micrometer circle DNA
      1 GO:0005742	mitochondrial outer membrane translocase complex
      1 GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
      1 GO:0005750	mitochondrial respiratory chain complex III
      1 GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core
      1 GO:0005756	mitochondrial proton-transporting ATP synthase, central stalk
      1 GO:0005757	mitochondrial permeability transition pore complex
      1 GO:0005762	mitochondrial large ribosomal subunit
      1 GO:0005767	secondary lysosome
      1 GO:0005779	integral component of peroxisomal membrane
      1 GO:0005784	Sec61 translocon complex
      1 GO:0005818	aster
      1 GO:0005827	polar microtubule
      1 GO:0005828	kinetochore microtubule
      1 GO:0005846	nuclear cap binding complex
      1 GO:0005850	eukaryotic translation initiation factor 2 complex
      1 GO:0005854	nascent polypeptide-associated complex
      1 GO:0005871	kinesin complex
      1 GO:0005885	Arp2/3 protein complex
      1 GO:0005912	adherens junction
      1 GO:0005924	obsolete cell-substrate adherens junction
      1 GO:0005925	focal adhesion
      1 GO:0005940	septin ring
      1 GO:0005952	cAMP-dependent protein kinase complex
      1 GO:0005956	protein kinase CK2 complex
      1 GO:0005960	glycine cleavage complex
      1 GO:0005985	sucrose metabolic process
      1 GO:0005987	sucrose catabolic process
      1 GO:0005993	trehalose catabolic process
      1 GO:0006002	fructose 6-phosphate metabolic process
      1 GO:0006007	glucose catabolic process
      1 GO:0006013	mannose metabolic process
      1 GO:0006042	glucosamine biosynthetic process
      1 GO:0006067	ethanol metabolic process
      1 GO:0006069	ethanol oxidation
      1 GO:0006097	glyoxylate cycle
      1 GO:0006099	tricarboxylic acid cycle
      1 GO:0006101	citrate metabolic process
      1 GO:0006108	malate metabolic process
      1 GO:0006113	fermentation
      1 GO:0006121	mitochondrial electron transport, succinate to ubiquinone
      1 GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c
      1 GO:0006144	purine nucleobase metabolic process
      1 GO:0006152	purine nucleoside catabolic process
      1 GO:0006172	ADP biosynthetic process
      1 GO:0006188	IMP biosynthetic process
      1 GO:0006189	'de novo' IMP biosynthetic process
      1 GO:0006198	cAMP catabolic process
      1 GO:0006206	pyrimidine nucleobase metabolic process
      1 GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
      1 GO:0006226	dUMP biosynthetic process
      1 GO:0006227	dUDP biosynthetic process
      1 GO:0006233	dTDP biosynthetic process
      1 GO:0006235	dTTP biosynthetic process
      1 GO:0006244	pyrimidine nucleotide catabolic process
      1 GO:0006256	UDP catabolic process
      1 GO:0006273	lagging strand elongation
      1 GO:0006279	premeiotic DNA replication
      1 GO:0006290	pyrimidine dimer repair
      1 GO:0006308	DNA catabolic process
      1 GO:0006309	apoptotic DNA fragmentation
      1 GO:0006311	meiotic gene conversion
      1 GO:0006312	mitotic recombination
      1 GO:0006337	nucleosome disassembly
      1 GO:0006346	DNA methylation-dependent heterochromatin assembly
      1 GO:0006384	transcription initiation from RNA polymerase III promoter
      1 GO:0006386	termination of RNA polymerase III transcription
      1 GO:0006391	transcription initiation from mitochondrial promoter
      1 GO:0006392	transcription elongation from mitochondrial promoter
      1 GO:0006408	snRNA export from nucleus
      1 GO:0006409	tRNA export from nucleus
      1 GO:0006421	asparaginyl-tRNA aminoacylation
      1 GO:0006429	leucyl-tRNA aminoacylation
      1 GO:0006432	phenylalanyl-tRNA aminoacylation
      1 GO:0006451	translational readthrough
      1 GO:0006452	translational frameshifting
      1 GO:0006471	protein ADP-ribosylation
      1 GO:0006474	N-terminal protein amino acid acetylation
      1 GO:0006489	dolichyl diphosphate biosynthetic process
      1 GO:0006498	N-terminal protein lipidation
      1 GO:0006499	N-terminal protein myristoylation
      1 GO:0006521	regulation of cellular amino acid metabolic process
      1 GO:0006526	arginine biosynthetic process
      1 GO:0006527	arginine catabolic process
      1 GO:0006529	asparagine biosynthetic process
      1 GO:0006530	asparagine catabolic process
      1 GO:0006531	aspartate metabolic process
      1 GO:0006532	aspartate biosynthetic process
      1 GO:0006533	aspartate catabolic process
      1 GO:0006535	cysteine biosynthetic process from serine
      1 GO:0006537	glutamate biosynthetic process
      1 GO:0006539	glutamate catabolic process via 2-oxoglutarate
      1 GO:0006546	glycine catabolic process
      1 GO:0006567	threonine catabolic process
      1 GO:0006568	tryptophan metabolic process
      1 GO:0006570	tyrosine metabolic process
      1 GO:0006571	tyrosine biosynthetic process
      1 GO:0006577	amino-acid betaine metabolic process
      1 GO:0006582	melanin metabolic process
      1 GO:0006584	catecholamine metabolic process
      1 GO:0006586	indolalkylamine metabolic process
      1 GO:0006590	thyroid hormone generation
      1 GO:0006592	ornithine biosynthetic process
      1 GO:0006610	ribosomal protein import into nucleus
      1 GO:0006624	vacuolar protein processing
      1 GO:0006642	triglyceride mobilization
      1 GO:0006655	phosphatidylglycerol biosynthetic process
      1 GO:0006656	phosphatidylcholine biosynthetic process
      1 GO:0006666	3-keto-sphinganine metabolic process
      1 GO:0006667	sphinganine metabolic process
      1 GO:0006677	glycosylceramide metabolic process
      1 GO:0006678	glucosylceramide metabolic process
      1 GO:0006679	glucosylceramide biosynthetic process
      1 GO:0006714	sesquiterpenoid metabolic process
      1 GO:0006722	triterpenoid metabolic process
      1 GO:0006735	NADH regeneration
      1 GO:0006751	glutathione catabolic process
      1 GO:0006756	AMP phosphorylation
      1 GO:0006772	thiamine metabolic process
      1 GO:0006775	fat-soluble vitamin metabolic process
      1 GO:0006777	Mo-molybdopterin cofactor biosynthetic process
      1 GO:0006784	heme A biosynthetic process
      1 GO:0006787	porphyrin-containing compound catabolic process
      1 GO:0006798	polyphosphate catabolic process
      1 GO:0006799	polyphosphate biosynthetic process
      1 GO:0006808	regulation of nitrogen utilization
      1 GO:0006821	chloride transport
      1 GO:0006835	dicarboxylic acid transport
      1 GO:0006844	acyl carnitine transport
      1 GO:0006848	pyruvate transport
      1 GO:0006850	mitochondrial pyruvate transmembrane transport
      1 GO:0006858	extracellular transport
      1 GO:0006867	asparagine transport
      1 GO:0006878	cellular copper ion homeostasis
      1 GO:0006880	intracellular sequestering of iron ion
      1 GO:0006882	cellular zinc ion homeostasis
      1 GO:0006921	cellular component disassembly involved in execution phase of apoptosis
