      1 GO:0000002	mitochondrial genome maintenance
      1 GO:0006991	response to sterol depletion
      1 GO:0007032	endosome organization
      1 GO:0007040	lysosome organization
      1 GO:0007163	establishment or maintenance of cell polarity
      1 GO:0007167	enzyme linked receptor protein signaling pathway
      1 GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway
      1 GO:0007254	JNK cascade
      1 GO:0007256	activation of JNKK activity
      1 GO:0007398	ectoderm development
      1 GO:0007409	axonogenesis
      1 GO:0007411	axon guidance
      1 GO:0007439	ectodermal digestive tract development
      1 GO:0007444	imaginal disc development
      1 GO:0007472	wing disc morphogenesis
      1 GO:0007476	imaginal disc-derived wing morphogenesis
      1 GO:0007507	heart development
      1 GO:0007548	sex differentiation
      1 GO:0007552	metamorphosis
      1 GO:0007560	imaginal disc morphogenesis
      1 GO:0007571	age-dependent general metabolic decline
      1 GO:0007591	molting cycle, chitin-based cuticle
      1 GO:0007593	chitin-based cuticle sclerotization
      1 GO:0007617	mating behavior
      1 GO:0007618	mating
      1 GO:0007619	courtship behavior
      1 GO:0007626	locomotory behavior
      1 GO:0008015	blood circulation
      1 GO:0008047	enzyme activator activity
      1 GO:0008049	male courtship behavior
      1 GO:0008061	chitin binding
      1 GO:0008097	5S rRNA binding
      1 GO:0008171	O-methyltransferase activity
      1 GO:0008173	RNA methyltransferase activity
      1 GO:0008207	C21-steroid hormone metabolic process
      1 GO:0008209	androgen metabolic process
      1 GO:0008213	protein alkylation
      1 GO:0008217	regulation of blood pressure
      1 GO:0008235	metalloexopeptidase activity
      1 GO:0008238	exopeptidase activity
      1 GO:0008283	cell population proliferation
      1 GO:0008324	cation transmembrane transporter activity
      1 GO:0008333	endosome to lysosome transport
      1 GO:0008360	regulation of cell shape
      1 GO:0008365	adult chitin-based cuticle development
      1 GO:0008406	gonad development
      1 GO:0008432	JUN kinase binding
      1 GO:0008483	transaminase activity
      1 GO:0008509	anion transmembrane transporter activity
      1 GO:0008514	organic anion transmembrane transporter activity
      1 GO:0008519	ammonium transmembrane transporter activity
      1 GO:0008526	phosphatidylinositol transfer activity
      1 GO:0008584	male gonad development
      1 GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage
      1 GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress
      1 GO:0008637	apoptotic mitochondrial changes
      1 GO:0008649	rRNA methyltransferase activity
      1 GO:0008654	phospholipid biosynthetic process
      1 GO:0008725	DNA-3-methyladenine glycosylase activity
      1 GO:0008970	phospholipase A1 activity
      1 GO:0009041	uridylate kinase activity
      1 GO:0009060	aerobic respiration
      1 GO:0009073	aromatic amino acid family biosynthetic process
      1 GO:0009074	aromatic amino acid family catabolic process
      1 GO:0009085	lysine biosynthetic process
      1 GO:0009088	threonine biosynthetic process
      1 GO:0009089	lysine biosynthetic process via diaminopimelate
      1 GO:0009090	homoserine biosynthetic process
      1 GO:0009102	biotin biosynthetic process
      1 GO:0009110	vitamin biosynthetic process
      1 GO:0009116	nucleoside metabolic process
      1 GO:0009124	nucleoside monophosphate biosynthetic process
      1 GO:0009126	purine nucleoside monophosphate metabolic process
      1 GO:0009127	purine nucleoside monophosphate biosynthetic process
      1 GO:0009132	nucleoside diphosphate metabolic process
      1 GO:0009133	nucleoside diphosphate biosynthetic process
      1 GO:0009138	pyrimidine nucleoside diphosphate metabolic process
      1 GO:0009139	pyrimidine nucleoside diphosphate biosynthetic process
      1 GO:0009141	nucleoside triphosphate metabolic process
      1 GO:0009142	nucleoside triphosphate biosynthetic process
      1 GO:0009147	pyrimidine nucleoside triphosphate metabolic process
      1 GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process
      1 GO:0009150	purine ribonucleotide metabolic process
      1 GO:0009152	purine ribonucleotide biosynthetic process
      1 GO:0009156	ribonucleoside monophosphate biosynthetic process
      1 GO:0009161	ribonucleoside monophosphate metabolic process
      1 GO:0009167	purine ribonucleoside monophosphate metabolic process
      1 GO:0009168	purine ribonucleoside monophosphate biosynthetic process
      1 GO:0009186	deoxyribonucleoside diphosphate metabolic process
      1 GO:0009189	deoxyribonucleoside diphosphate biosynthetic process
      1 GO:0009196	pyrimidine deoxyribonucleoside diphosphate metabolic process
      1 GO:0009197	pyrimidine deoxyribonucleoside diphosphate biosynthetic process
      1 GO:0009200	deoxyribonucleoside triphosphate metabolic process
      1 GO:0009202	deoxyribonucleoside triphosphate biosynthetic process
      1 GO:0009211	pyrimidine deoxyribonucleoside triphosphate metabolic process
      1 GO:0009212	pyrimidine deoxyribonucleoside triphosphate biosynthetic process
      1 GO:0009219	pyrimidine deoxyribonucleotide metabolic process
      1 GO:0009221	pyrimidine deoxyribonucleotide biosynthetic process
      1 GO:0009235	cobalamin metabolic process
      1 GO:0009259	ribonucleotide metabolic process
      1 GO:0009260	ribonucleotide biosynthetic process
      1 GO:0009262	deoxyribonucleotide metabolic process
      1 GO:0009263	deoxyribonucleotide biosynthetic process
      1 GO:0009265	2'-deoxyribonucleotide biosynthetic process
      1 GO:0009268	response to pH
      1 GO:0009272	fungal-type cell wall biogenesis
      1 GO:0009295	nucleoid
      1 GO:0009308	amine metabolic process
      1 GO:0009309	amine biosynthetic process
      1 GO:0009314	response to radiation
      1 GO:0009394	2'-deoxyribonucleotide metabolic process
      1 GO:0009396	folic acid-containing compound biosynthetic process
      1 GO:0009403	toxin biosynthetic process
      1 GO:0009405	pathogenesis
      1 GO:0009410	response to xenobiotic stimulus
      1 GO:0009506	plasmodesma
      1 GO:0009581	detection of external stimulus
      1 GO:0009582	detection of abiotic stimulus
      1 GO:0009590	detection of gravity
      1 GO:0009593	detection of chemical stimulus
      1 GO:0009606	tropism
      1 GO:0009612	response to mechanical stimulus
      1 GO:0009627	systemic acquired resistance
      1 GO:0009629	response to gravity
      1 GO:0009630	gravitropism
      1 GO:0009635	response to herbicide
      1 GO:0009657	plastid organization
      1 GO:0009660	amyloplast organization
      1 GO:0009705	plant-type vacuole membrane
      1 GO:0009723	response to ethylene
      1 GO:0009737	response to abscisic acid
      1 GO:0009743	response to carbohydrate
      1 GO:0009755	hormone-mediated signaling pathway
      1 GO:0009814	defense response, incompatible interaction
      1 GO:0009816	defense response to bacterium, incompatible interaction
      1 GO:0009817	defense response to fungus, incompatible interaction
      1 GO:0009838	abscission
      1 GO:0009853	photorespiration
      1 GO:0009856	pollination
      1 GO:0009860	pollen tube growth
      1 GO:0009886	post-embryonic animal morphogenesis
      1 GO:0009895	negative regulation of catabolic process
      1 GO:0009914	hormone transport
      1 GO:0009917	sterol 5-alpha reductase activity
      1 GO:0009926	auxin polar transport
      1 GO:0009932	cell tip growth
      1 GO:0009934	regulation of meristem structural organization
      1 GO:0009959	negative gravitropism
      1 GO:0010008	endosome membrane
      1 GO:0010016	shoot system morphogenesis
      1 GO:0010042	response to manganese ion
      1 GO:0010043	response to zinc ion
      1 GO:0010088	phloem development
      1 GO:0010089	xylem development
      1 GO:0010103	stomatal complex morphogenesis
      1 GO:0010171	body morphogenesis
      1 GO:0010212	response to ionizing radiation
      1 GO:0010227	floral organ abscission
      1 GO:0010256	endomembrane system organization
      1 GO:0010269	response to selenium ion
      1 GO:0010332	response to gamma radiation
      1 GO:0010374	stomatal complex development
      1 GO:0010376	stomatal complex formation
      1 GO:0010389	regulation of G2/M transition of mitotic cell cycle
      1 GO:0010440	stomatal lineage progression
      1 GO:0010444	guard mother cell differentiation
      1 GO:0010487	thermospermine synthase activity
      1 GO:0010508	positive regulation of autophagy
      1 GO:0010563	negative regulation of phosphorus metabolic process
      1 GO:0010638	positive regulation of organelle organization
      1 GO:0010639	negative regulation of organelle organization
      1 GO:0010660	regulation of muscle cell apoptotic process
      1 GO:0010661	positive regulation of muscle cell apoptotic process
      1 GO:0010668	ectodermal cell differentiation
      1 GO:0010675	regulation of cellular carbohydrate metabolic process
      1 GO:0010720	positive regulation of cell development
      1 GO:0010821	regulation of mitochondrion organization
      1 GO:0010959	regulation of metal ion transport
      1 GO:0010962	regulation of glucan biosynthetic process
      1 GO:0010981	regulation of cell wall macromolecule metabolic process
      1 GO:0012501	programmed cell death
      1 GO:0012506	vesicle membrane
      1 GO:0014013	regulation of gliogenesis
      1 GO:0014015	positive regulation of gliogenesis
      1 GO:0014074	response to purine-containing compound
      1 GO:0014823	response to activity
      1 GO:0015075	ion transmembrane transporter activity
      1 GO:0015101	organic cation transmembrane transporter activity
      1 GO:0015171	amino acid transmembrane transporter activity
      1 GO:0015174	basic amino acid transmembrane transporter activity
      1 GO:0015179	L-amino acid transmembrane transporter activity
      1 GO:0015181	arginine transmembrane transporter activity
      1 GO:0015189	L-lysine transmembrane transporter activity
      1 GO:0015215	nucleotide transmembrane transporter activity
      1 GO:0015218	pyrimidine nucleotide transmembrane transporter activity
      1 GO:0015227	acyl carnitine transmembrane transporter activity
      1 GO:0015318	inorganic molecular entity transmembrane transporter activity
      1 GO:0015605	organophosphate ester transmembrane transporter activity
      1 GO:0015630	microtubule cytoskeleton
      1 GO:0015651	quaternary ammonium group transmembrane transporter activity
      1 GO:0015695	organic cation transport
      1 GO:0015696	ammonium transport
      1 GO:0015697	quaternary ammonium group transport
      1 GO:0015802	basic amino acid transport
      1 GO:0015807	L-amino acid transport
      1 GO:0015809	arginine transport
      1 GO:0015822	ornithine transport
      1 GO:0015849	organic acid transport
      1 GO:0015893	drug transport
      1 GO:0015914	phospholipid transport
      1 GO:0015932	nucleobase-containing compound transmembrane transporter activity
      1 GO:0016052	carbohydrate catabolic process
      1 GO:0016075	rRNA catabolic process
      1 GO:0016125	sterol metabolic process
      1 GO:0016126	sterol biosynthetic process
      1 GO:0016174	NAD(P)H oxidase H2O2-forming activity
      1 GO:0016229	steroid dehydrogenase activity
      1 GO:0016239	positive regulation of macroautophagy
      1 GO:0016241	regulation of macroautophagy
      1 GO:0016298	lipase activity
      1 GO:0016324	apical plasma membrane
      1 GO:0016435	rRNA (guanine) methyltransferase activity
      1 GO:0016458	gene silencing
      1 GO:0016545	male courtship behavior, veined wing vibration
      1 GO:0016571	histone methylation
      1 GO:0016572	histone phosphorylation
      1 GO:0016607	nuclear speck
      1 GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
      1 GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
      1 GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
      1 GO:0016651	oxidoreductase activity, acting on NAD(P)H
      1 GO:0016667	oxidoreductase activity, acting on a sulfur group of donors
      1 GO:0016670	oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor
      1 GO:0016684	oxidoreductase activity, acting on peroxide as acceptor
      1 GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
      1 GO:0016706	2-oxoglutarate-dependent dioxygenase activity
      1 GO:0016721	oxidoreductase activity, acting on superoxide radicals as acceptor
      1 GO:0016742	hydroxymethyl-, formyl- and related transferase activity
      1 GO:0016757	transferase activity, transferring glycosyl groups
      1 GO:0016763	transferase activity, transferring pentosyl groups
      1 GO:0016768	spermine synthase activity
      1 GO:0016769	transferase activity, transferring nitrogenous groups
      1 GO:0016774	phosphotransferase activity, carboxyl group as acceptor
      1 GO:0016776	phosphotransferase activity, phosphate group as acceptor
      1 GO:0016782	transferase activity, transferring sulfur-containing groups
      1 GO:0016783	sulfurtransferase activity
      1 GO:0016798	hydrolase activity, acting on glycosyl bonds
      1 GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
      1 GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
      1 GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
      1 GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds
      1 GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances
      1 GO:0016829	lyase activity
      1 GO:0016846	carbon-sulfur lyase activity
      1 GO:0016853	isomerase activity
      1 GO:0016860	intramolecular oxidoreductase activity
      1 GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds
      1 GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters
      1 GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
      1 GO:0016971	flavin-linked sulfhydryl oxidase activity
      1 GO:0016972	thiol oxidase activity
      1 GO:0017004	cytochrome complex assembly
      1 GO:0017016	Ras GTPase binding
      1 GO:0017062	respiratory chain complex III assembly
      1 GO:0017089	glycolipid transfer activity
      1 GO:0017137	Rab GTPase binding
      1 GO:0017148	negative regulation of translation
      1 GO:0018022	peptidyl-lysine methylation
      1 GO:0018065	obsolete protein-cofactor linkage
      1 GO:0018149	peptide cross-linking
      1 GO:0018272	protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine
      1 GO:0018345	protein palmitoylation
      1 GO:0018352	protein-pyridoxal-5-phosphate linkage
      1 GO:0018996	molting cycle, collagen and cuticulin-based cuticle
      1 GO:0019098	reproductive behavior
      1 GO:0019104	DNA N-glycosylase activity
      1 GO:0019184	nonribosomal peptide biosynthetic process
      1 GO:0019199	transmembrane receptor protein kinase activity
      1 GO:0019202	amino acid kinase activity
      1 GO:0019205	nucleobase-containing compound kinase activity
      1 GO:0019238	cyclohydrolase activity
      1 GO:0019336	phenol-containing compound catabolic process
      1 GO:0019343	cysteine biosynthetic process via cystathionine
      1 GO:0019344	cysteine biosynthetic process
      1 GO:0019346	transsulfuration
      1 GO:0019400	alditol metabolic process
      1 GO:0019405	alditol catabolic process
      1 GO:0019430	removal of superoxide radicals
      1 GO:0019563	glycerol catabolic process
      1 GO:0019692	deoxyribose phosphate metabolic process
      1 GO:0019693	ribose phosphate metabolic process
      1 GO:0019725	cellular homeostasis
      1 GO:0019730	antimicrobial humoral response
      1 GO:0019751	polyol metabolic process
      1 GO:0019825	oxygen binding
      1 GO:0019843	rRNA binding
      1 GO:0019867	outer membrane
      1 GO:0019900	kinase binding
      1 GO:0019901	protein kinase binding
      1 GO:0019904	protein domain specific binding
      1 GO:0019905	syntaxin binding
      1 GO:0019985	translesion synthesis
      1 GO:0020037	heme binding
      1 GO:0021537	telencephalon development
      1 GO:0021543	pallium development
      1 GO:0021549	cerebellum development
      1 GO:0021700	developmental maturation
      1 GO:0021987	cerebral cortex development
      1 GO:0022037	metencephalon development
      1 GO:0022404	molting cycle process
      1 GO:0022406	membrane docking
      1 GO:0022604	regulation of cell morphogenesis
      1 GO:0022616	DNA strand elongation
      1 GO:0022618	ribonucleoprotein complex assembly
      1 GO:0022900	electron transport chain
      1 GO:0022904	respiratory electron transport chain
      1 GO:0023014	signal transduction by protein phosphorylation
      1 GO:0030001	metal ion transport
      1 GO:0030010	establishment of cell polarity
      1 GO:0030016	myofibril
      1 GO:0030017	sarcomere
      1 GO:0030054	cell junction
      1 GO:0030097	hemopoiesis
      1 GO:0030133	transport vesicle
      1 GO:0030134	COPII-coated ER to Golgi transport vesicle
      1 GO:0030135	coated vesicle
      1 GO:0030141	secretory granule
      1 GO:0030145	manganese ion binding
      1 GO:0030153	bacteriocin immunity
      1 GO:0030173	integral component of Golgi membrane
      1 GO:0030283	testosterone dehydrogenase [NAD(P)] activity
      1 GO:0030302	deoxynucleotide transport
      1 GO:0030307	positive regulation of cell growth
      1 GO:0030332	cyclin binding
      1 GO:0030334	regulation of cell migration
      1 GO:0030335	positive regulation of cell migration
      1 GO:0030425	dendrite
      1 GO:0030427	site of polarized growth
      1 GO:0030435	sporulation resulting in formation of a cellular spore
      1 GO:0030437	ascospore formation
      1 GO:0030447	filamentous growth
      1 GO:0030534	adult behavior
      1 GO:0030539	male genitalia development
      1 GO:0030540	female genitalia development
      1 GO:0030627	pre-mRNA 5'-splice site binding
      1 GO:0030659	cytoplasmic vesicle membrane
      1 GO:0030686	90S preribosome
      1 GO:0030687	preribosome, large subunit precursor
      1 GO:0030695	GTPase regulator activity
      1 GO:0030867	rough endoplasmic reticulum membrane
      1 GO:0030900	forebrain development
      1 GO:0030902	hindbrain development
      1 GO:0030968	endoplasmic reticulum unfolded protein response
      1 GO:0030970	retrograde protein transport, ER to cytosol
      1 GO:0031056	regulation of histone modification
      1 GO:0031058	positive regulation of histone modification
      1 GO:0031098	stress-activated protein kinase signaling cascade
      1 GO:0031167	rRNA methylation
      1 GO:0031201	SNARE complex
      1 GO:0031226	intrinsic component of plasma membrane
      1 GO:0031228	intrinsic component of Golgi membrane
      1 GO:0031267	small GTPase binding
      1 GO:0031300	intrinsic component of organelle membrane
      1 GO:0031301	integral component of organelle membrane
      1 GO:0031330	negative regulation of cellular catabolic process
      1 GO:0031371	ubiquitin conjugating enzyme complex
      1 GO:0031430	M band
      1 GO:0031434	mitogen-activated protein kinase kinase binding
      1 GO:0031514	motile cilium
      1 GO:0031593	polyubiquitin modification-dependent protein binding
      1 GO:0031640	killing of cells of other organism
      1 GO:0031647	regulation of protein stability
      1 GO:0031672	A band
      1 GO:0031930	mitochondria-nucleus signaling pathway
      1 GO:0031968	organelle outer membrane
      1 GO:0031985	Golgi cisterna
      1 GO:0032088	negative regulation of NF-kappaB transcription factor activity
      1 GO:0032101	regulation of response to external stimulus
      1 GO:0032102	negative regulation of response to external stimulus
      1 GO:0032131	alkylated DNA binding
      1 GO:0032147	activation of protein kinase activity
      1 GO:0032183	SUMO binding
      1 GO:0032231	regulation of actin filament bundle assembly
