      1 GO:0000019	regulation of mitotic recombination
      1 GO:0002040	sprouting angiogenesis
      1 GO:0002089	lens morphogenesis in camera-type eye
      1 GO:0002090	regulation of receptor internalization
      1 GO:0002092	positive regulation of receptor internalization
      1 GO:0002109	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)
      1 GO:0002161	aminoacyl-tRNA editing activity
      1 GO:0002168	instar larval development
      1 GO:0002177	manchette
      1 GO:0002190	cap-independent translational initiation
      1 GO:0002191	cap-dependent translational initiation
      1 GO:0002192	IRES-dependent translational initiation of linear mRNA
      1 GO:0002199	zona pellucida receptor complex
      1 GO:0002209	behavioral defense response
      1 GO:0002213	defense response to insect
      1 GO:0002221	pattern recognition receptor signaling pathway
      1 GO:0002224	toll-like receptor signaling pathway
      1 GO:0002239	response to oomycetes
      1 GO:0002244	hematopoietic progenitor cell differentiation
      1 GO:0002278	eosinophil activation involved in immune response
      1 GO:0002286	T cell activation involved in immune response
      1 GO:0002309	T cell proliferation involved in immune response
      1 GO:0002429	immune response-activating cell surface receptor signaling pathway
      1 GO:0002437	inflammatory response to antigenic stimulus
      1 GO:0002439	chronic inflammatory response to antigenic stimulus
      1 GO:0002447	eosinophil mediated immunity
      1 GO:0002526	acute inflammatory response
      1 GO:0002544	chronic inflammatory response
      1 GO:0002548	monocyte chemotaxis
      1 GO:0002576	platelet degranulation
      1 GO:0002577	regulation of antigen processing and presentation
      1 GO:0002578	negative regulation of antigen processing and presentation
      1 GO:0002583	regulation of antigen processing and presentation of peptide antigen
      1 GO:0002584	negative regulation of antigen processing and presentation of peptide antigen
      1 GO:0002589	regulation of antigen processing and presentation of peptide antigen via MHC class I
      1 GO:0002590	negative regulation of antigen processing and presentation of peptide antigen via MHC class I
      1 GO:0002676	regulation of chronic inflammatory response
      1 GO:0002677	negative regulation of chronic inflammatory response
      1 GO:0002688	regulation of leukocyte chemotaxis
      1 GO:0002689	negative regulation of leukocyte chemotaxis
      1 GO:0002695	negative regulation of leukocyte activation
      1 GO:0002700	regulation of production of molecular mediator of immune response
      1 GO:0002701	negative regulation of production of molecular mediator of immune response
      1 GO:0002704	negative regulation of leukocyte mediated immunity
      1 GO:0002707	negative regulation of lymphocyte mediated immunity
      1 GO:0002708	positive regulation of lymphocyte mediated immunity
      1 GO:0002710	negative regulation of T cell mediated immunity
      1 GO:0002711	positive regulation of T cell mediated immunity
      1 GO:0002718	regulation of cytokine production involved in immune response
      1 GO:0002719	negative regulation of cytokine production involved in immune response
      1 GO:0002724	regulation of T cell cytokine production
      1 GO:0002725	negative regulation of T cell cytokine production
      1 GO:0002758	innate immune response-activating signal transduction
      1 GO:0002768	immune response-regulating cell surface receptor signaling pathway
      1 GO:0002820	negative regulation of adaptive immune response
      1 GO:0002821	positive regulation of adaptive immune response
      1 GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
      1 GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
      1 GO:0002861	regulation of inflammatory response to antigenic stimulus
      1 GO:0002862	negative regulation of inflammatory response to antigenic stimulus
      1 GO:0002886	regulation of myeloid leukocyte mediated immunity
      1 GO:0002888	positive regulation of myeloid leukocyte mediated immunity
      1 GO:0002949	tRNA threonylcarbamoyladenosine modification
      1 GO:0003007	heart morphogenesis
      1 GO:0003015	heart process
      1 GO:0003170	heart valve development
      1 GO:0003179	heart valve morphogenesis
      1 GO:0003205	cardiac chamber development
      1 GO:0003231	cardiac ventricle development
      1 GO:0003241	growth involved in heart morphogenesis
      1 GO:0003245	cardiac muscle tissue growth involved in heart morphogenesis
      1 GO:0003247	post-embryonic cardiac muscle cell growth involved in heart morphogenesis
      1 GO:0003279	cardiac septum development
      1 GO:0003281	ventricular septum development
      1 GO:0003420	regulation of growth plate cartilage chondrocyte proliferation
      1 GO:0003785	actin monomer binding
      1 GO:0003823	antigen binding
      1 GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity
      1 GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
      1 GO:0003873	6-phosphofructo-2-kinase activity
      1 GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
      1 GO:0003933	GTP cyclohydrolase activity
      1 GO:0003935	GTP cyclohydrolase II activity
      1 GO:0003950	NAD+ ADP-ribosyltransferase activity
      1 GO:0003951	NAD+ kinase activity
      1 GO:0003956	NAD(P)+-protein-arginine ADP-ribosyltransferase activity
      1 GO:0003958	NADPH-hemoprotein reductase activity
      1 GO:0003960	NADPH:quinone reductase activity
      1 GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
      1 GO:0003976	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
      1 GO:0003978	UDP-glucose 4-epimerase activity
      1 GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
      1 GO:0003993	acid phosphatase activity
      1 GO:0004013	adenosylhomocysteinase activity
      1 GO:0004017	adenylate kinase activity
      1 GO:0004020	adenylylsulfate kinase activity
      1 GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity
      1 GO:0004045	aminoacyl-tRNA hydrolase activity
      1 GO:0004047	aminomethyltransferase activity
      1 GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
      1 GO:0004070	aspartate carbamoyltransferase activity
      1 GO:0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
      1 GO:0004085	butyryl-CoA dehydrogenase activity
      1 GO:0004087	carbamoyl-phosphate synthase (ammonia) activity
      1 GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
      1 GO:0004122	cystathionine beta-synthase activity
      1 GO:0004123	cystathionine gamma-lyase activity
      1 GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
      1 GO:0004129	cytochrome-c oxidase activity
      1 GO:0004143	diacylglycerol kinase activity
      1 GO:0004147	dihydrolipoamide branched chain acyltransferase activity
      1 GO:0004148	dihydrolipoyl dehydrogenase activity
      1 GO:0004159	dihydrouracil dehydrogenase (NAD+) activity
      1 GO:0004164	diphthine synthase activity
      1 GO:0004180	carboxypeptidase activity
      1 GO:0004252	serine-type endopeptidase activity
      1 GO:0004303	estradiol 17-beta-dehydrogenase activity
      1 GO:0004306	ethanolamine-phosphate cytidylyltransferase activity
      1 GO:0004310	farnesyl-diphosphate farnesyltransferase activity
      1 GO:0004321	fatty-acyl-CoA synthase activity
      1 GO:0004331	fructose-2,6-bisphosphate 2-phosphatase activity
      1 GO:0004332	fructose-bisphosphate aldolase activity
      1 GO:0004337	geranyltranstransferase activity
      1 GO:0004347	glucose-6-phosphate isomerase activity
      1 GO:0004353	glutamate dehydrogenase [NAD(P)+] activity
      1 GO:0004354	glutamate dehydrogenase (NADP+) activity
      1 GO:0004358	glutamate N-acetyltransferase activity
      1 GO:0004359	glutaminase activity
      1 GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
      1 GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
      1 GO:0004366	glycerol-3-phosphate O-acyltransferase activity
      1 GO:0004371	glycerone kinase activity
      1 GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
      1 GO:0004383	guanylate cyclase activity
      1 GO:0004400	histidinol-phosphate transaminase activity
      1 GO:0004401	histidinol-phosphatase activity
      1 GO:0004416	hydroxyacylglutathione hydrolase activity
      1 GO:0004451	isocitrate lyase activity
      1 GO:0004465	lipoprotein lipase activity
      1 GO:0004466	long-chain-acyl-CoA dehydrogenase activity
      1 GO:0004516	nicotinate phosphoribosyltransferase activity
      1 GO:0004520	endodeoxyribonuclease activity
      1 GO:0004523	RNA-DNA hybrid ribonuclease activity
      1 GO:0004529	exodeoxyribonuclease activity
      1 GO:0004534	5'-3' exoribonuclease activity
      1 GO:0004550	nucleoside diphosphate kinase activity
      1 GO:0004565	beta-galactosidase activity
      1 GO:0004576	oligosaccharyl transferase activity
      1 GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
      1 GO:0004582	dolichyl-phosphate beta-D-mannosyltransferase activity
      1 GO:0004587	ornithine-oxo-acid transaminase activity
      1 GO:0004594	pantothenate kinase activity
      1 GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity
      1 GO:0004610	phosphoacetylglucosamine mutase activity
      1 GO:0004611	phosphoenolpyruvate carboxykinase activity
      1 GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity
      1 GO:0004615	phosphomannomutase activity
      1 GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
      1 GO:0004647	phosphoserine phosphatase activity
      1 GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
      1 GO:0004654	polyribonucleotide nucleotidyltransferase activity
      1 GO:0004660	protein farnesyltransferase activity
      1 GO:0004661	protein geranylgeranyltransferase activity
      1 GO:0004662	CAAX-protein geranylgeranyltransferase activity
      1 GO:0004663	Rab geranylgeranyltransferase activity
      1 GO:0004675	transmembrane receptor protein serine/threonine kinase activity
      1 GO:0004690	cyclic nucleotide-dependent protein kinase activity
      1 GO:0004691	cAMP-dependent protein kinase activity
      1 GO:0004693	cyclin-dependent protein serine/threonine kinase activity
      1 GO:0004703	G protein-coupled receptor kinase activity
      1 GO:0004704	NF-kappaB-inducing kinase activity
      1 GO:0004715	non-membrane spanning protein tyrosine kinase activity
      1 GO:0004725	protein tyrosine phosphatase activity
      1 GO:0004733	pyridoxamine-phosphate oxidase activity
      1 GO:0004743	pyruvate kinase activity
      1 GO:0004768	stearoyl-CoA 9-desaturase activity
      1 GO:0004779	sulfate adenylyltransferase activity
      1 GO:0004781	sulfate adenylyltransferase (ATP) activity
      1 GO:0004788	thiamine diphosphokinase activity
      1 GO:0004792	thiosulfate sulfurtransferase activity
      1 GO:0004795	threonine synthase activity
      1 GO:0004802	transketolase activity
      1 GO:0004807	triose-phosphate isomerase activity
      1 GO:0004816	asparagine-tRNA ligase activity
      1 GO:0004819	glutamine-tRNA ligase activity
      1 GO:0004820	glycine-tRNA ligase activity
      1 GO:0004823	leucine-tRNA ligase activity
      1 GO:0004826	phenylalanine-tRNA ligase activity
      1 GO:0004930	G protein-coupled receptor activity
      1 GO:0005052	peroxisome matrix targeting signal-1 binding
      1 GO:0005070	obsolete SH3/SH2 adaptor activity
      1 GO:0005086	ARF guanyl-nucleotide exchange factor activity
      1 GO:0005092	GDP-dissociation inhibitor activity
      1 GO:0005112	Notch binding
      1 GO:0005125	cytokine activity
      1 GO:0005134	interleukin-2 receptor binding
      1 GO:0005172	vascular endothelial growth factor receptor binding
      1 GO:0005200	structural constituent of cytoskeleton
      1 GO:0005247	voltage-gated chloride channel activity
      1 GO:0005253	anion channel activity
      1 GO:0005254	chloride channel activity
      1 GO:0005310	dicarboxylic acid transmembrane transporter activity
      1 GO:0005315	inorganic phosphate transmembrane transporter activity
      1 GO:0005319	lipid transporter activity
      1 GO:0005351	carbohydrate:proton symporter activity
      1 GO:0005355	glucose transmembrane transporter activity
      1 GO:0005388	calcium transmembrane transporter activity, phosphorylative mechanism
      1 GO:0005402	carbohydrate:cation symporter activity
      1 GO:0005451	monovalent cation:proton antiporter activity
      1 GO:0005457	GDP-fucose transmembrane transporter activity
      1 GO:0005458	GDP-mannose transmembrane transporter activity
      1 GO:0005459	UDP-galactose transmembrane transporter activity
      1 GO:0005463	UDP-N-acetylgalactosamine transmembrane transporter activity
      1 GO:0005469	succinate:fumarate antiporter activity
      1 GO:0005471	ATP:ADP antiporter activity
      1 GO:0005496	steroid binding
      1 GO:0005518	collagen binding
      1 GO:0005521	lamin binding
      1 GO:0005537	mannose binding
      1 GO:0005540	hyaluronic acid binding
      1 GO:0005548	phospholipid transporter activity
      1 GO:0005628	prospore membrane
      1 GO:0005638	lamin filament
      1 GO:0005640	nuclear outer membrane
      1 GO:0005642	annulate lamellae
      1 GO:0005663	DNA replication factor C complex
      1 GO:0005671	Ada2/Gcn5/Ada3 transcription activator complex
      1 GO:0005673	transcription factor TFIIE complex
      1 GO:0005683	U7 snRNP
      1 GO:0005687	U4 snRNP
      1 GO:0005697	telomerase holoenzyme complex
      1 GO:0005701	polytene chromosome chromocenter
      1 GO:0005727	extrachromosomal circular DNA
      1 GO:0005729	2-micrometer circle DNA
      1 GO:0005742	mitochondrial outer membrane translocase complex
      1 GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
      1 GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core
      1 GO:0005756	mitochondrial proton-transporting ATP synthase, central stalk
      1 GO:0005757	mitochondrial permeability transition pore complex
      1 GO:0005787	signal peptidase complex
      1 GO:0005846	nuclear cap binding complex
      1 GO:0005850	eukaryotic translation initiation factor 2 complex
      1 GO:0005885	Arp2/3 protein complex
      1 GO:0005902	microvillus
      1 GO:0005912	adherens junction
      1 GO:0005924	obsolete cell-substrate adherens junction
      1 GO:0005925	focal adhesion
      1 GO:0005940	septin ring
      1 GO:0005952	cAMP-dependent protein kinase complex
      1 GO:0005953	CAAX-protein geranylgeranyltransferase complex
      1 GO:0005956	protein kinase CK2 complex
      1 GO:0005960	glycine cleavage complex
      1 GO:0005965	protein farnesyltransferase complex
      1 GO:0005978	glycogen biosynthetic process
      1 GO:0005979	regulation of glycogen biosynthetic process
      1 GO:0005980	glycogen catabolic process
      1 GO:0005982	starch metabolic process
      1 GO:0005988	lactose metabolic process
      1 GO:0005990	lactose catabolic process
      1 GO:0005993	trehalose catabolic process
      1 GO:0006001	fructose catabolic process
      1 GO:0006002	fructose 6-phosphate metabolic process
      1 GO:0006003	fructose 2,6-bisphosphate metabolic process
      1 GO:0006012	galactose metabolic process
      1 GO:0006013	mannose metabolic process
      1 GO:0006042	glucosamine biosynthetic process
      1 GO:0006089	lactate metabolic process
      1 GO:0006097	glyoxylate cycle
      1 GO:0006108	malate metabolic process
      1 GO:0006121	mitochondrial electron transport, succinate to ubiquinone
      1 GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
      1 GO:0006144	purine nucleobase metabolic process
      1 GO:0006152	purine nucleoside catabolic process
      1 GO:0006172	ADP biosynthetic process
      1 GO:0006182	cGMP biosynthetic process
      1 GO:0006195	purine nucleotide catabolic process
      1 GO:0006213	pyrimidine nucleoside metabolic process
      1 GO:0006272	leading strand elongation
      1 GO:0006278	RNA-dependent DNA biosynthetic process
      1 GO:0006286	base-excision repair, base-free sugar-phosphate removal
      1 GO:0006297	nucleotide-excision repair, DNA gap filling
      1 GO:0006307	DNA dealkylation involved in DNA repair
      1 GO:0006356	regulation of transcription by RNA polymerase I
      1 GO:0006386	termination of RNA polymerase III transcription
      1 GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation
      1 GO:0006390	mitochondrial transcription
      1 GO:0006392	transcription elongation from mitochondrial promoter
      1 GO:0006408	snRNA export from nucleus
      1 GO:0006421	asparaginyl-tRNA aminoacylation
      1 GO:0006425	glutaminyl-tRNA aminoacylation
      1 GO:0006426	glycyl-tRNA aminoacylation
      1 GO:0006429	leucyl-tRNA aminoacylation
      1 GO:0006432	phenylalanyl-tRNA aminoacylation
      1 GO:0006452	translational frameshifting
      1 GO:0006465	signal peptide processing
      1 GO:0006471	protein ADP-ribosylation
      1 GO:0006489	dolichyl diphosphate biosynthetic process
      1 GO:0006498	N-terminal protein lipidation
      1 GO:0006499	N-terminal protein myristoylation
      1 GO:0006521	regulation of cellular amino acid metabolic process
      1 GO:0006527	arginine catabolic process
      1 GO:0006529	asparagine biosynthetic process
      1 GO:0006530	asparagine catabolic process
      1 GO:0006531	aspartate metabolic process
      1 GO:0006532	aspartate biosynthetic process
      1 GO:0006533	aspartate catabolic process
      1 GO:0006535	cysteine biosynthetic process from serine
      1 GO:0006539	glutamate catabolic process via 2-oxoglutarate
      1 GO:0006544	glycine metabolic process
      1 GO:0006546	glycine catabolic process
      1 GO:0006560	proline metabolic process
      1 GO:0006561	proline biosynthetic process
      1 GO:0006565	L-serine catabolic process
      1 GO:0006566	threonine metabolic process
      1 GO:0006570	tyrosine metabolic process
      1 GO:0006571	tyrosine biosynthetic process
      1 GO:0006576	cellular biogenic amine metabolic process
      1 GO:0006577	amino-acid betaine metabolic process
      1 GO:0006584	catecholamine metabolic process
      1 GO:0006592	ornithine biosynthetic process
      1 GO:0006593	ornithine catabolic process
      1 GO:0006610	ribosomal protein import into nucleus
      1 GO:0006642	triglyceride mobilization
      1 GO:0006646	phosphatidylethanolamine biosynthetic process
      1 GO:0006658	phosphatidylserine metabolic process
      1 GO:0006667	sphinganine metabolic process
      1 GO:0006677	glycosylceramide metabolic process
      1 GO:0006678	glucosylceramide metabolic process
      1 GO:0006679	glucosylceramide biosynthetic process
      1 GO:0006687	glycosphingolipid metabolic process
      1 GO:0006688	glycosphingolipid biosynthetic process
      1 GO:0006691	leukotriene metabolic process
      1 GO:0006703	estrogen biosynthetic process
      1 GO:0006706	steroid catabolic process
      1 GO:0006710	androgen catabolic process
      1 GO:0006722	triterpenoid metabolic process
      1 GO:0006726	eye pigment biosynthetic process
      1 GO:0006727	ommochrome biosynthetic process
      1 GO:0006730	one-carbon metabolic process
      1 GO:0006735	NADH regeneration
      1 GO:0006741	NADP biosynthetic process
      1 GO:0006751	glutathione catabolic process
      1 GO:0006756	AMP phosphorylation
      1 GO:0006768	biotin metabolic process
      1 GO:0006772	thiamine metabolic process
      1 GO:0006775	fat-soluble vitamin metabolic process
      1 GO:0006784	heme A biosynthetic process
      1 GO:0006797	polyphosphate metabolic process
      1 GO:0006798	polyphosphate catabolic process
      1 GO:0006801	superoxide metabolic process
      1 GO:0006809	nitric oxide biosynthetic process
      1 GO:0006814	sodium ion transport
      1 GO:0006821	chloride transport
      1 GO:0006825	copper ion transport
      1 GO:0006835	dicarboxylic acid transport
      1 GO:0006849	plasma membrane pyruvate transport
      1 GO:0006850	mitochondrial pyruvate transmembrane transport
      1 GO:0006863	purine nucleobase transport
      1 GO:0006878	cellular copper ion homeostasis
      1 GO:0006882	cellular zinc ion homeostasis
      1 GO:0006911	phagocytosis, engulfment
      1 GO:0006924	activation-induced cell death of T cells
      1 GO:0006953	acute-phase response
      1 GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator
      1 GO:0006983	ER overload response
      1 GO:0006999	nuclear pore organization
      1 GO:0007004	telomere maintenance via telomerase
      1 GO:0007042	lysosomal lumen acidification
      1 GO:0007044	cell-substrate junction assembly
      1 GO:0007053	spindle assembly involved in male meiosis
      1 GO:0007060	male meiosis chromosome segregation
      1 GO:0007064	mitotic sister chromatid cohesion
      1 GO:0007076	mitotic chromosome condensation
      1 GO:0007079	mitotic chromosome movement towards spindle pole
      1 GO:0007089	traversing start control point of mitotic cell cycle
      1 GO:0007091	metaphase/anaphase transition of mitotic cell cycle
      1 GO:0007099	centriole replication
      1 GO:0007105	cytokinesis, site selection
      1 GO:0007117	budding cell bud growth
      1 GO:0007124	pseudohyphal growth
      1 GO:0007129	homologous chromosome pairing at meiosis
      1 GO:0007130	synaptonemal complex assembly
      1 GO:0007135	meiosis II
      1 GO:0007159	leukocyte cell-cell adhesion
      1 GO:0007164	establishment of tissue polarity
      1 GO:0007175	negative regulation of epidermal growth factor-activated receptor activity
      1 GO:0007176	regulation of epidermal growth factor-activated receptor activity
      1 GO:0007179	transforming growth factor beta receptor signaling pathway
      1 GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
      1 GO:0007204	positive regulation of cytosolic calcium ion concentration
      1 GO:0007205	protein kinase C-activating G protein-coupled receptor signaling pathway
      1 GO:0007215	glutamate receptor signaling pathway
      1 GO:0007216	G protein-coupled glutamate receptor signaling pathway
      1 GO:0007218	neuropeptide signaling pathway
      1 GO:0007221	positive regulation of transcription of Notch receptor target
      1 GO:0007224	smoothened signaling pathway
      1 GO:0007266	Rho protein signal transduction
      1 GO:0007277	pole cell development
      1 GO:0007279	pole cell formation
      1 GO:0007294	germarium-derived oocyte fate determination
      1 GO:0007297	ovarian follicle cell migration
